Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0702 Holmestrand;702;Holmestrand;41,8;40,4;43,1;119;57;62;41,8;32,2;39,5;42,4;119;6;3;110
0704 Tønsberg;704;Tønsberg;40,5;39,7;41,4;435;243;192;40,5;33,8;40;41,1;435;32;20;383
0706 Sandefjord;706;Sandefjord;40,9;38,5;43,3;591;301;290;40,9;35,1;42,6;41,3;591;43;18;530
0709 Larvik;709;Larvik;40,8;39,5;42,2;495;247;248;40,8;39,1;39,1;41;495;40;13;442
0711 Svelvik;711;Svelvik;41,7;38,6;44,5;80;38;42;41,7;:;:;:;80;:;:;:
0713 Sande (Vestf.);713;Sande (Vestf.);43,3;42,9;43,9;112;62;50;43,3;44,4;.;43,3;112;3;.;109
0714 Hof;714;Hof;39,8;34,7;42,9;42;16;26;39,8;:;:;:;42;:;:;:
0716 Re;716;Re (f.o.m. 2002);37,6;34,7;40,7;113;58;55;37,6;37,7;.;37,6;113;8;.;105
0719 Andebu;719;Andebu;38,6;34,6;42;60;27;33;38,6;.;.;38,6;60;.;.;60
0720 Stokke;720;Stokke;39,1;36,2;42,4;139;74;65;39,1;32,6;39,6;39,6;139;10;4;125
0722 Nøtterøy;722;Nøtterøy;41,2;39,9;42,4;264;127;137;41,2;34,4;40,8;41,7;264;15;13;236
0723 Tjøme;723;Tjøme;38,5;36,9;40,6;58;33;25;38,5;36;.;38,6;58;4;.;54
0728 Lardal;728;Lardal;40,1;36,5;42,9;30;13;17;40,1;:;:;:;30;:;:;:
0805 Porsgrunn;805;Porsgrunn;39,3;36,9;41,5;404;200;204;39,3;34,6;36,1;39,7;404;25;16;363
0806 Skien;806;Skien;38,3;36,5;40,1;625;303;322;38,3;34,6;34,6;39;625;63;34;528
0807 Notodden;807;Notodden;40,1;39,1;41,2;127;69;58;40,1;:;:;40,7;127;:;:;116
0811 Siljan;811;Siljan;40,1;36,3;43,6;31;15;16;40,1;31,1;.;41,8;31;5;.;26
0814 Bamble;814;Bamble;37,8;37,1;39;180;112;68;37,8;:;:;38,2;180;:;:;161
0815 Kragerø;815;Kragerø;40,4;39;41,8;128;64;64;40,4;:;:;40,8;128;:;:;114
0817 Drangedal;817;Drangedal;39,1;39,3;38,9;62;30;32;39,1;40,6;.;39;62;4;.;58
0819 Nome;819;Nome;40,4;36,7;44,4;84;44;40;40,4;33,9;48,1;40,8;84;8;3;73
0821 Bø (Telemark);821;Bø (Telem.);40,8;38,4;43,4;55;28;27;40,8;38,7;37,5;41,2;55;4;3;48
0822 Sauherad;822;Sauherad;39;35,6;42,5;58;30;28;39;37,9;.;39,1;58;8;.;50
0826 Tinn;826;Tinn;41,4;37,5;44,4;72;31;41;41,4;:;:;:;72;:;:;:
0827 Hjartdal;827;Hjartdal;40,9;32,6;47;14;6;8;40,9;.;.;40,9;14;.;.;14
0828 Seljord;828;Seljord;37,7;34,7;40,9;33;17;16;37,7;:;:;:;33;:;:;:
0829 Kviteseid;829;Kviteseid;41,9;37,6;46,2;30;15;15;41,9;:;:;:;30;:;:;:
0830 Nissedal;830;Nissedal;37,4;37,6;37,2;19;8;11;37,4;:;:;:;19;:;:;:
0831 Fyresdal;831;Fyresdal;40,8;39,4;41,9;19;9;10;40,8;:;:;:;19;:;:;:
0833 Tokke;833;Tokke;41,3;41,6;40,9;37;22;15;41,3;.;.;41,3;37;.;.;37
0834 Vinje;834;Vinje;40,1;34,9;45,3;52;26;26;40,1;:;:;40,2;52;:;:;46
0901 Risør;901;Risør;39,3;38,8;39,7;96;43;53;39,3;32,2;43,3;39,6;96;6;3;87
0904 Grimstad;904;Grimstad;38,9;37;41;298;155;143;38,9;36,1;49,9;39;298;28;5;265
0906 Arendal;906;Arendal;40,1;38,2;42;519;255;264;40,1;36,8;43,1;40,3;519;37;15;467
