Kommune nr & navn;kommune_nr;"Kommune
navn";spraak.alle;spraak.minoritet;spraak.ikke_minoritet;spraak.minoritet;
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;
1824 Vefsn;1824;Vefsn;47;10;37;21,3;
1825 Grane;1825;Grane;3;.;.;.;
1826 Hattfjelldal;1826;Hattfjelldal;:;:;:;:;
1827 Dønna;1827;Dønna;5;.;.;.;
1828 Nesna;1828;Nesna;12;5;7;41,7;
1832 Hemnes;1832;Hemnes;14;3;11;21,4;
1833 Rana;1833;Rana;154;23;131;14,9;
1834 Lurøy;1834;Lurøy;7;1;6;14,3;
1835 Træna;1835;Træna;6;2;4;33,3;
1836 Rødøy;1836;Rødøy;13;.;.;.;
1837 Meløy;1837;Meløy;82;11;71;13,4;
1838 Gildeskål;1838;Gildeskål;15;2;13;13,3;
1839 Beiarn;1839;Beiarn;9;.;.;.;
1840 Saltdal;1840;Saltdal;21;3;18;14,3;
1841 Fauske;1841;Fauske;57;3;54;5,3;
1845 Sørfold;1845;Sørfold;13;.;.;.;
1848 Steigen;1848;Steigen;19;4;15;21,1;
1849 Hábmer Hamarøy;1849;Hábmer Hamarøy;22;8;14;36,4;
1850 Divtasvuodna Tysfjord;1850;Divtasvuodna Tysfjord;10;3;7;30;
1851 Lødingen;1851;Lødingen;10;1;9;10;
1852 Tjeldsund;1852;Tjeldsund;:;:;:;:;
1853 Evenes;1853;Evenes;4;3;1;75;
1854 Ballangen;1854;Ballangen;19;3;16;15,8;
1856 Røst;1856;Røst;3;.;.;.;
1857 Værøy;1857;Værøy;:;:;:;:;
1859 Flakstad;1859;Flakstad;7;.;.;.;
1860 Vestvågøy;1860;Vestvågøy;60;2;58;3,3;
1865 Vågan;1865;Vågan;72;12;60;16,7;
1866 Hadsel;1866;Hadsel;81;29;52;35,8;
1867 Bø;1867;Bø;5;1;4;20;
1868 Øksnes;1868;Øksnes;15;1;14;6,7;
1870 Sortland;1870;Sortland;59;16;43;27,1;
1871 Andøy;1871;Andøy;21;2;19;9,5;
1874 Moskenes;1874;Moskenes;:;:;:;:;
1902 Tromsø;1902;Tromsø;264;68;196;25,8;
1903 Harstad;1903;Harstad;101;30;71;29,7;
1911 Kvæfjord;1911;Kvæfjord;18;12;6;66,7;
1913 Skånland;1913;Skånland;8;.;.;.;
1917 Ibestad;1917;Ibestad;:;:;:;:;
1919 Gratangen;1919;Gratangen;:;:;:;:;
1920 Lavangen;1920;Lavangen;4;.;.;.;
1922 Bardu;1922;Bardu;12;.;.;.;
1923 Salangen;1923;Salangen;4;.;.;.;
1924 Målselv;1924;Målselv;20;.;.;.;
1925 Sørreisa;1925;Sørreisa;19;2;17;10,5;
1926 Dyrøy;1926;Dyrøy;3;.;.;.;
1927 Tranøy;1927;Tranøy;:;:;:;:;
1928 Torsken;1928;Torsken;3;1;2;33,3;
1929 Berg;1929;Berg;6;1;5;16,7;
1931 Lenvik;1931;Lenvik;63;11;52;17,5;
1933 Balsfjord;1933;Balsfjord;22;.;.;.;
1936 Karlsøy;1936;Karlsøy;14;1;13;7,1;
1938 Lyngen;1938;Lyngen;22;1;21;4,5;
1939 Omasvuotna Storfjord Omasvuonon;1939;Omasvuotna Storfjord Omasvuonon;6;.;.;.;
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;6;1;5;16,7;
1941 Skjervøy;1941;Skjervøy;22;.;.;.;
1942 Nordreisa;1942;Nordreisa;32;3;29;9,4;
1943 Kvænangen;1943;Kvænangen;4;.;.;.;
2002 Vardø;2002;Vardø;19;2;17;10,5;
2003 Vadsø;2003;Vadsø;44;23;21;52,3;
2004 Hammerfest;2004;Hammerfest;65;9;56;13,8;
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;24;.;.;.;
2012 Alta;2012;Alta;111;14;97;12,6;
2014 Loppa;2014;Loppa;5;1;4;20;
2015 Hasvik;2015;Hasvik;4;1;3;25;
2017 Kvalsund;2017;Kvalsund;:;:;:;:;
2018 Måsøy;2018;Måsøy;6;1;5;16,7;
2019 Nordkapp;2019;Nordkapp;25;1;24;4;
2020 Porsanger Porsángu Porsanki;2020;Porsanger Porsángu Porsanki;26;2;24;7,7;
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;28;6;22;21,4;
2022 Lebesby;2022;Lebesby;6;1;5;16,7;
2023 Gamvik;2023;Gamvik;:;:;:;:;
2024 Berlevåg;2024;Berlevåg;9;.;.;.;
2025 Deatnu Tana;2025;Deatnu Tana;18;3;15;16,7;
2027 Unjárga Nesseby;2027;Unjárga Nesseby;6;1;5;16,7;
2028 Båtsfjord;2028;Båtsfjord;13;3;10;23,1;
2030 Sør-Varanger;2030;Sør-Varanger;41;9;32;22;?
