Kommune nr & navn;kommune_nr;"Kommune
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0627 Røyken;627;Røyken;1 727;733;403;574;17;942;548;198;189;7;785;185;205;385;10
0628 Hurum;628;Hurum;688;276;176;230;6;389;213;96;77;3;299;63;80;153;3
0631 Flesberg;631;Flesberg;173;64;65;44;0;95;49;36;10;0;78;15;29;34;0
0632 Rollag;632;Rollag;62;12;32;18;0;26;6;15;5;0;36;6;17;13;0
0633 Nore og Uvdal;633;Nore og Uvdal;175;70;52;53;0;104;55;31;18;0;71;15;21;35;0
0701 Horten;701;Horten;2 327;610;995;701;21;1199;431;537;220;11;1128;179;458;481;10
0702 Holmestrand;702;Holmestrand;630;202;179;246;3;323;149;92;79;3;307;53;87;167;0
0704 Tønsberg;704;Tønsberg;3 365;1207;1143;986;29;1856;883;628;330;15;1509;324;515;656;14
0706 Sandefjord;706;Sandefjord;4 229;1176;1713;1308;32;2181;834;901;431;15;2048;342;812;877;17
0709 Larvik;709;Larvik;3 415;952;1425;1006;32;1791;652;779;347;13;1624;300;646;659;19
0711 Svelvik;711;Svelvik;472;197;98;169;8;243;150;44;46;3;229;47;54;123;5
0713 Sande;713;Sande (Vestf.);634;265;161;201;7;352;208;80;61;3;282;57;81;140;4
0714 Hof;714;Hof;161;86;12;60;3;82;65;8;9;0;79;21;4;51;3
0716 Re;716;Re (f.o.m. 2002);618;229;188;193;8;337;176;88;70;3;281;53;100;123;5
0719 Andebu;719;Andebu;386;187;68;122;9;197;118;40;35;4;189;69;28;87;5
0720 Stokke;720;Stokke;1 085;453;363;259;10;580;302;195;76;7;505;151;168;183;3
0722 Nøtterøy;722;Nøtterøy;1 403;386;571;427;19;696;261;295;131;9;707;125;276;296;10
0723 Tjøme;723;Tjøme;364;146;68;144;6;181;104;35;39;3;183;42;33;105;3
0728 Lardal;728;Lardal;124;54;38;29;3;69;40;19;7;3;55;14;19;22;0
0805 Porsgrunn;805;Porsgrunn;2 568;596;1192;769;11;1371;493;645;229;4;1197;103;547;540;7
0806 Skien;806;Skien;5 039;849;2935;1228;27;2557;635;1511;395;16;2482;214;1424;833;11
0807 Notodden;807;Notodden;845;249;344;245;7;450;194;190;63;3;395;55;154;182;4
0811 Siljan;811;Siljan;112;14;66;29;3;42;9;25;8;0;70;5;41;21;3
0814 Bamble;814;Bamble;770;141;395;225;9;388;114;203;68;3;382;27;192;157;6
0815 Kragerø;815;Kragerø;740;169;349;211;11;378;130;181;63;4;362;39;168;148;7
0817 Drangedal;817;Drangedal;271;74;59;130;8;122;58;30;31;3;149;16;29;99;5
0819 Nome;819;Nome;548;113;266;163;6;264;75;130;56;3;284;38;136;107;3
0821 Bø;821;Bø (Telem.);390;100;195;92;3;197;65;104;28;0;193;35;91;64;3
0822 Sauherad;822;Sauherad;321;99;145;74;3;165;66;74;25;0;156;33;71;49;3
0826 Tinn;826;Tinn;413;91;198;117;7;221;65;113;40;3;192;26;85;77;4
0827 Hjartdal;827;Hjartdal;56;23;8;25;0;30;18;5;7;0;26;5;3;18;0
0828 Seljord;828;Seljord;172;61;54;51;6;79;37;25;14;3;93;24;29;37;3
0829 Kviteseid;829;Kviteseid;137;64;17;53;3;69;44;8;14;3;68;20;9;39;0
0830 Nissedal;830;Nissedal;91;43;3;42;3;47;34;3;10;0;44;9;0;32;3
0831 Fyresdal;831;Fyresdal;98;35;9;51;3;46;28;5;13;0;52;7;4;38;3
0833 Tokke;833;Tokke;96;31;25;37;3;46;22;10;11;3;50;9;15;26;0
0834 Vinje;834;Vinje;209;80;61;64;4;106;56;30;20;0;103;24;31;44;4
0901 Risør;901;Risør;467;103;211;150;3;240;91;106;40;3;227;12;105;110;0
0904 Grimstad;904;Grimstad;1 724;548;607;553;16;920;387;331;193;9;804;161;276;360;7
0906 Arendal;906;Arendal;3 708;1032;1492;1156;28;1933;783;789;345;16;1775;249;703;811;12
0911 Gjerstad;911;Gjerstad;160;29;89;39;3;88;26;51;11;0;72;3;38;28;3
0912 Vegårshei;912;Vegårshei;110;19;52;39;0;51;15;25;11;0;59;4;27;28;0
0914 Tvedestrand;914;Tvedestrand;455;138;172;138;7;242;112;89;37;4;213;26;83;101;3
0919 Froland;919;Froland;285;85;97;103;0;154;69;50;35;0;131;16;47;68;0
0926 Lillesand;926;Lillesand;565;129;279;154;3;272;90;136;43;3;293;39;143;111;0
0928 Birkenes;928;Birkenes;354;86;148;114;6;189;62;83;41;3;165;24;65;73;3
0929 Åmli;929;Åmli;176;43;76;54;3;89;26;40;20;3;87;17;36;34;0
0935 Iveland;935;Iveland;101;19;34;45;3;57;16;22;16;3;44;3;12;29;0
0937 Evje og Hornnes;937;Evje og Hornnes;300;61;157;82;0;149;50;76;23;0;151;11;81;59;0
0938 Bygland;938;Bygland;53;14;23;16;0;30;11;15;4;0;23;3;8;12;0
0940 Valle;940;Valle;92;16;48;28;0;43;10;25;8;0;49;6;23;20;0
0941 Bykle;941;Bykle;119;47;34;38;0;63;35;14;14;0;56;12;20;24;0
1001 Kristiansand;1001;Kristiansand;8 839;1628;5066;2076;69;4703;1241;2722;703;37;4136;387;2344;1373;32
1002 Mandal;1002;Mandal;1 176;283;489;397;7;572;215;250;104;3;604;68;239;293;4
1003 Farsund;1003;Farsund;517;117;216;172;12;250;88;109;47;6;267;29;107;125;6
1004 Flekkefjord;1004;Flekkefjord;712;179;249;261;23;366;135;139;81;11;346;44;110;180;12
1014 Vennesla;1014;Vennesla;888;239;342;285;22;466;197;181;74;14;422;42;161;211;8
1017 Songdalen;1017;Songdalen;650;137;320;185;8;332;106;165;58;3;318;31;155;127;5
1018 Søgne;1018;Søgne;657;188;274;189;6;354;146;140;65;3;303;42;134;124;3
1021 Marnardal;1021;Marnardal;168;56;53;59;0;93;48;26;19;0;75;8;27;40;0
1026 Åseral;1026;Åseral;85;27;29;26;3;51;22;16;10;3;34;5;13;16;0
1027 Audnedal;1027;Audnedal;90;34;10;43;3;44;27;6;11;0;46;7;4;32;3
1029 Lindesnes;1029;Lindesnes;372;124;133;109;6;184;89;62;30;3;188;35;71;79;3
1032 Lyngdal;1032;Lyngdal;670;144;321;202;3;318;103;169;43;3;352;41;152;159;0
1034 Hægebostad;1034;Hægebostad;94;42;17;35;0;51;36;7;8;0;43;6;10;27;0
1037 Kvinesdal;1037;Kvinesdal;395;96;172;124;3;204;70;89;42;3;191;26;83;82;0
1046 Sirdal;1046;Sirdal;151;77;23;48;3;78;54;13;11;0;73;23;10;37;3
1101 Eigersund;1101;Eigersund;1 301;542;339;407;13;736;435;170;126;5;565;107;169;281;8
1102 Sandnes;1102;Sandnes;9 568;3567;2829;3100;72;5185;2662;1511;982;30;4383;905;1318;2118;42
1103 Stavanger;1103;Stavanger;17 993;7343;4500;5989;161;10032;5452;2484;2010;86;7961;1891;2016;3979;75
1106 Haugesund;1106;Haugesund;4 110;1642;1220;1215;33;2379;1329;645;385;20;1731;313;575;830;13
1111 Sokndal;1111;Sokndal;137;43;6;85;3;60;35;3;19;3;77;8;3;66;0
1112 Lund;1112;Lund;197;36;125;36;0;87;22;60;5;0;110;14;65;31;0
1114 Bjerkreim;1114;Bjerkreim;210;98;15;97;0;113;69;10;34;0;97;29;5;63;0
1119 Hå;1119;Hå;2 088;1084;365;602;37;1204;784;210;197;13;884;300;155;405;24
1120 Klepp;1120;Klepp;1 785;828;392;553;12;990;615;203;164;8;795;213;189;389;4
1121 Time;1121;Time;1 378;502;471;392;13;754;395;234;117;8;624;107;237;275;5
1122 Gjesdal;1122;Gjesdal;982;443;231;294;14;540;320;126;86;8;442;123;105;208;6
1124 Sola;1124;Sola;3 020;1266;518;1204;32;1578;942;268;353;15;1442;324;250;851;17
1127 Randaberg;1127;Randaberg;803;306;225;266;6;435;235;117;80;3;368;71;108;186;3
1129 Forsand;1129;Forsand;90;45;0;42;3;52;40;0;12;0;38;5;0;30;3
1130 Strand;1130;Strand;877;275;244;352;6;443;209;130;101;3;434;66;114;251;3
1133 Hjelmeland;1133;Hjelmeland;387;181;93;110;3;199;112;48;39;0;188;69;45;71;3
1134 Suldal;1134;Suldal;289;99;92;91;7;144;63;42;35;4;145;36;50;56;3
1135 Sauda;1135;Sauda;281;92;73;112;4;149;64;46;39;0;132;28;27;73;4
1141 Finnøy;1141;Finnøy;311;233;3;72;3;189;172;3;14;0;122;61;0;58;3
1142 Rennesøy;1142;Rennesøy;394;196;56;136;6;213;145;22;43;3;181;51;34;93;3
1144 Kvitsøy;1144;Kvitsøy;34;18;0;16;0;16;10;0;6;0;18;8;0;10;0
1145 Bokn;1145;Bokn;71;40;0;31;0;40;27;0;13;0;31;13;0;18;0
1146 Tysvær;1146;Tysvær;654;257;190;196;11;362;205;95;56;6;292;52;95;140;5
1149 Karmøy;1149;Karmøy;2 784;971;650;1124;39;1435;783;341;295;16;1349;188;309;829;23
