Næringsregion nr & navn;naringsregion_nr;Næringsregion navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
42 Hardanger;42;Hardanger;234;5;229;.;229;76,5;50;77,4;.;77,4;128;3;125;.;125;73,1;50;74;.;74;106;2;104;.;104;80,9;50;81,9;.;81,9
43 Voss;43;Voss;131;3;128;.;128;71,6;75;71,5;.;71,5;65;2;63;.;63;66,3;66,7;66,3;.;66,3;66;1;65;.;65;77,6;100;77,4;.;77,4
44 Nordhordland;44;Nordhordland;313;2;311;1;310;70,7;22,2;71,7;100;71,6;147;.;147;.;147;64,2;.;65,6;.;65,6;166;2;164;1;163;77,6;50;78,1;100;78
45 Osterfjorden;45;Osterfjorden;110;2;108;.;108;68,3;66,7;68,4;.;68,4;57;2;55;.;55;64;66,7;64;.;64;53;.;53;.;53;73,6;.;73,6;.;73,6
46 Sunnhordland;46;Sunnhordland;664;11;653;.;653;71;61,1;71,2;.;71,3;300;7;293;.;293;66,4;63,6;66,4;.;66,6;364;4;360;.;360;75,4;57,1;75,6;.;75,6
47 Hordaland Vest;47;Hordaland Vest;545;13;532;.;532;64;38,2;65,1;.;65,3;250;5;245;.;245;61;31,3;62,2;.;62,3;295;8;287;.;287;66,9;44,4;67,8;.;68
48 HAFS;48;HAFS;110;4;106;.;106;72,8;80;72,6;.;72,6;62;4;58;.;58;67,4;80;66,7;.;66,7;48;.;48;.;48;81,4;.;81,4;.;81,4
49 Nordfjord;49;Nordfjord;376;10;366;1;365;79,3;58,8;80,1;100;80;181;3;178;1;177;75,7;42,9;76,7;100;76,6;195;7;188;.;188;83;70;83,6;.;83,6
50 Sogn;50;Sogn;357;5;352;.;352;75,5;55,6;75,9;.;75,9;158;3;155;.;155;68,4;60;68,6;.;68,6;199;2;197;.;197;82,2;50;82,8;.;82,8
51 Sunnfjord;51;Sunnfjord;359;10;349;1;348;73,9;47,6;75,1;50;75,2;176;4;172;.;172;69,3;30,8;71,4;.;71,7;183;6;177;1;176;78,9;75;79;100;78,9
52 Nordmøre;52;Nordmøre;365;7;358;.;358;67,8;36,8;69;.;69;182;5;177;.;177;60,7;38,5;61,7;.;61,7;183;2;181;.;181;76,9;33,3;78;.;78
53 Romsdal;53;Romsdal;562;14;548;5;543;71,2;63,6;71,4;100;71,3;274;4;270;2;268;66,5;36,4;67,3;100;67,2;288;10;278;3;275;76,4;90,9;76;100;75,8
54 Storfjord;54;Storfjord;163;6;157;2;155;71,8;50;73;100;72,8;71;3;68;1;67;64,5;50;65,4;100;65;92;3;89;1;88;78,6;50;80,2;100;80
55 Søre Sunnmøre;55;Søre Sunnmøre;515;15;500;2;498;73,3;57,7;73,9;40;74,1;229;8;221;1;220;67,4;53,3;68;50;68,1;286;7;279;1;278;78,8;63,6;79,3;33,3;79,7
56 Ålesundregionen;56;Ålesundregionen;727;22;705;6;699;74;56,4;74,8;100;74,6;352;11;341;2;339;68,5;44;69,7;100;69,6;375;11;364;4;360;80,1;78,6;80,2;100;80
57 Fosen;57;Fosen;254;1;253;1;252;70,4;100;70,3;100;70,2;111;.;111;1;110;63,4;.;63,4;100;63,2;143;1;142;.;142;76,9;100;76,8;.;76,8
58 Hitra/Frøya;58;Hitra/Frøya;70;2;68;.;68;61,4;50;61,8;.;61,8;39;1;38;.;38;59,1;50;59,4;.;59,4;31;1;30;.;30;64,6;50;65,2;.;65,2
59 Oppdal/Rennebu;59;Oppdal/Rennebu;104;3;101;.;101;75,9;75;75,9;.;75,9;53;2;51;.;51;75,7;100;75;.;75;51;1;50;.;50;76,1;50;76,9;.;76,9
60 Orkdalregionen;60;Orkdalregionen;197;5;192;.;192;62,3;62,5;62,3;.;62,5;89;1;88;.;88;54,3;33,3;54,7;.;55;108;4;104;.;104;71,1;80;70,7;.;70,7
61 Trondheimsregionen;61;Trondheimsregionen;1967;48;1919;42;1877;70,8;51,1;71,5;71,2;71,5;926;19;907;14;893;64,4;39,6;65,3;53,8;65,5;1041;29;1012;28;984;77,7;63;78,3;84,8;78,1
62 Rørosregionen;62;Rørosregionen;88;3;85;.;85;80,7;60;81,7;.;81,7;39;.;39;.;39;76,5;.;79,6;.;79,6;49;3;46;.;46;84,5;100;83,6;.;83,6
63 Stjørdalsregionen;63;Stjørdalsregionen;238;6;232;1;231;71,5;50;72,3;100;72,2;108;2;106;.;106;65,1;33,3;66,3;.;66,3;130;4;126;1;125;77,8;66,7;78,3;100;78,1
64 Innherred;64;Innherred;601;10;591;3;588;73,2;62,5;73,4;75;73,4;317;4;313;2;311;73;50;73,5;66,7;73,5;284;6;278;1;277;73,4;75;73,4;100;73,3
65 Indre Namdal;65;Indre Namdal;78;1;77;.;77;65,5;50;65,8;.;65,8;39;1;38;.;38;57,4;100;56,7;.;56,7;39;.;39;.;39;76,5;.;78;.;78
66 Kystgruppen;66;Kystgruppen;93;3;90;.;90;58,1;75;57,7;.;58,1;47;2;45;.;45;57,3;66,7;57;.;57,7;46;1;45;.;45;59;100;58,4;.;58,4
67 Midtre Namdal;67;Midtre Namdal;190;7;183;1;182;66,7;70;66,5;50;66,7;84;.;84;1;83;59,2;.;59,6;50;59,7;106;7;99;.;99;74,1;77,8;73,9;.;73,9
68 Sør-Helgeland;68;Sør-Helgeland;114;4;110;.;110;61;57,1;61,1;.;61,1;53;2;51;.;51;57;66,7;56,7;.;56,7;61;2;59;.;59;64,9;50;65,6;.;65,6
69 HALD;69;HALD;107;5;102;.;102;61,5;71,4;61,1;.;61,1;55;3;52;.;52;63,2;75;62,7;.;62,7;52;2;50;.;50;59,8;66,7;59,5;.;59,5
70 Ytre Helgeland;70;Ytre Helgeland;40;.;40;.;40;64,5;.;64,5;.;64,5;18;.;18;.;18;60;.;60;.;60;22;.;22;.;22;68,8;.;68,8;.;68,8
71 Mosjøregionen;71;Mosjøregionen;137;4;133;.;133;62;57,1;62,1;.;62,1;77;.;77;.;77;61,1;.;62,1;.;62,1;60;4;56;.;56;63,2;80;62,2;.;62,2
72 Ranaregionen;72;Ranaregionen;258;5;253;1;252;60,6;50;60,8;100;60,7;125;1;124;1;123;56,3;20;57,1;100;56,9;133;4;129;.;129;65,2;80;64,8;.;64,8
73 Salten;73;Salten;667;13;654;1;653;63;52;63,2;33,3;63,3;318;8;310;.;310;55,1;44,4;55,5;.;55,7;349;5;344;1;343;72,4;71,4;72,4;100;72,4
74 Ofoten;74;Ofoten;209;4;205;2;203;63,1;57,1;63,3;100;63;84;.;84;.;84;54,5;.;55,3;.;55,3;125;4;121;2;119;70,6;80;70,3;100;70
75 Lofoten;75;Lofoten;191;6;185;.;185;59,9;75;59,5;.;59,5;84;3;81;.;81;52,8;100;51,9;.;51,9;107;3;104;.;104;66,9;60;67,1;.;67,1
76 Vesterålen;76;Vesterålen;299;4;295;.;295;63,3;40;63,9;.;63,9;150;3;147;.;147;60,2;50;60,5;.;60,5;149;1;148;.;148;66,8;25;67,6;.;67,6
77 Sør-Troms;77;Sør-Troms;99;.;99;.;99;60,4;.;61,5;.;61,5;45;.;45;.;45;50,6;.;51,1;.;51,1;54;.;54;.;54;72;.;74;.;74
78 Midt-Troms;78;Midt-Troms;233;3;230;.;230;59,3;30;60,1;.;60,1;126;2;124;.;124;58,6;28,6;59,6;.;59,6;107;1;106;.;106;60,1;33,3;60,6;.;60,6
79 Tromsøregionen;79;Tromsøregionen;647;14;633;2;631;66;53,8;66,3;66,7;66,3;351;8;343;1;342;65;61,5;65,1;50;65,1;296;6;290;1;289;67,1;46,2;67,8;100;67,7
80 Nord-Troms;80;Nord-Troms;138;3;135;.;135;56,6;60;56,5;.;56,5;62;2;60;.;60;50,4;66,7;50;.;50;76;1;75;.;75;62,8;50;63;.;63
81 Vest-Finnmark;81;Vest-Finnmark;247;6;241;.;241;48,5;42,9;48,7;.;48,8;90;.;90;.;90;37;.;37,5;.;37,7;157;6;151;.;151;59;54,5;59,2;.;59,2
82 Midt-Finnmark;82;Midt-Finnmark;90;2;88;.;88;51,7;25;53;.;53;34;1;33;.;33;37,4;20;38,4;.;38,4;56;1;55;.;55;67,5;33,3;68,8;.;68,8
83 Øst-Finnmark;83;Øst-Finnmark;172;11;161;2;159;50,7;40,7;51,6;100;51,3;65;8;57;1;56;38,5;47,1;37,5;100;37,1;107;3;104;1;103;62,9;30;65;100;64,8
99 Uoppgitt;99;Uoppgitt;835;299;536;13;523;53,5;43,3;61,5;50;61,9;393;135;258;6;252;50,2;39,8;58,1;46,2;58,5;442;164;278;7;271;56,7;46,6;65,1;53,8;65,5
