Kommune nr & navn;kommune_nr;"Kommune
navn";kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0829 Kviteseid;829;Kviteseid;114;91;23;53;47;6;61;44;17;76,5;77,8;71,9;77,9;78,3;75;75,3;77,2;70,8
0830 Nissedal;830;Nissedal;62;54;8;33; : ; : ;29;22;7;75,6;78,3;61,5;78,6; : ; : ;72,5;75,9;63,6
0831 Fyresdal;831;Fyresdal;60;53;7;34; : ; : ;26;22;4;63,2;68,8;38,9;64,2; : ; : ;61,9;68,8;40
0833 Tokke;833;Tokke;72;45;27;36;24;12;36;21;15;80,9;78,9;84,4;83,7;82,8;85,7;78,3;75;83,3
0834 Vinje;834;Vinje;165;124;41;92;72;20;73;52;21;74,7;82,1;58,6;82,1;88,9;64,5;67;74,3;53,8
0901 Risør;901;Risør;239;168;71;137;105;32;102;63;39;56,6;72,7;37,2;63,7;77,2;40,5;49,3;66,3;34,8
0904 Grimstad;904;Grimstad;1134;717;417;616;410;206;518;307;211;63,9;73,9;51,8;66,2;73,5;55,4;61,3;74,5;48,7
0906 Arendal;906;Arendal;2249;1342;907;1254;815;439;995;527;468;62;71,4;51,9;66,3;74,8;54,8;57,3;66,8;49,4
0911 Gjerstad;911;Gjerstad;61;40;21;36;25;11;25;15;10;46,6;72,7;27,6;51,4;80,6;28,2;41;62,5;27
0912 Vegårshei;912;Vegårshei;42;23;19;21;10;11;21;13;8;54,5;59;50;52,5;45,5;61,1;56,8;76,5;40
0914 Tvedestrand;914;Tvedestrand;242;172;70;151;116;35;91;56;35;60,5;69,9;45,5;72,6;77,3;60,3;47,4;58,3;36,5
0919 Froland;919;Froland;184;118;66;102;74;28;82;44;38;67,6;70,2;63,5;70,3;74;62,2;64,6;64,7;64,4
0926 Lillesand;926;Lillesand;419;234;185;207;128;79;212;106;106;68,5;76,5;60,5;74,5;79;68,1;63,5;73,6;55,8
0928 Birkenes;928;Birkenes;220;126;94;125;76;49;95;50;45;67,5;77,8;57,3;74;82,6;63,6;60,5;71,4;51,7
0929 Åmli;929;Åmli;96;64;32;53;34;19;43;30;13;70,1;80;56,1;75,7;82,9;65,5;64,2;76,9;46,4
0935 Iveland;935;Iveland;49;35;14;26;20;6;23;15;8;68,1;83,3;46,7;78,8;90,9;54,5;59;75;42,1
0937 Evje og Hornnes;937;Evje og Hornnes;165;73;92;90;45;45;75;28;47;61,8;69,5;56,8;63,8;70,3;58,4;59,5;68,3;55,3
0938 Bygland;938;Bygland;34;22;12;21;13;8;13;9;4;64,2;84,6;44,4;75;92,9;57,1;52;75;30,8
0940 Valle;940;Valle;49;28;21;23;15;8;26;13;13;68,1;82,4;55,3;65,7;78,9;50;70,3;86,7;59,1
0941 Bykle;941;Bykle;92;78;14;61;54;7;31;24;7;77,3;86,7;48,3;89,7;91,5;77,8;60,8;77,4;35
1001 Kristiansand;1001;Kristiansand;5722;2474;3248;3304;1553;1751;2418;921;1497;62,8;74,7;56;68,2;78;61,3;56,8;69,8;50,9
1002 Mandal;1002;Mandal;624;367;257;343;241;102;281;126;155;56,9;71,7;44;63,9;80,6;42,9;50,3;59,2;44,8
1003 Farsund;1003;Farsund;311;199;112;173;114;59;138;85;53;63;74,8;49,1;73,9;78,6;66,3;53,1;70,2;38,1
1004 Flekkefjord;1004;Flekkefjord;462;310;152;234;171;63;228;139;89;69,2;76,5;57,8;69;75,7;55,8;69,3;77,7;59,3
1014 Vennesla;1014;Vennesla;555;344;211;305;221;84;250;123;127;65,8;76,6;53,4;70,1;78,6;54,5;61,1;73,2;52,7
1017 Songdalen;1017;Songdalen;374;192;182;209;119;90;165;73;92;66;73,8;59,3;71,6;79,3;63,4;60;66,4;55,8
1018 Søgne;1018;Søgne;412;256;156;223;153;70;189;103;86;63,5;72,1;53,1;66,2;71,5;56,9;60,6;73;50,3
1021 Marnardal;1021;Marnardal;87;64;23;53;46;7;34;18;16;63,5;78;41,8;70,7;82,1;36,8;54,8;69,2;44,4
1026 Åseral;1026;Åseral;43;34;9;25; : ; : ;18;11;7;62,3;69,4;45;64,1; : ; : ;60;57,9;63,6
1027 Audnedal;1027;Audnedal;58;49;9;27; : ; : ;31;24;7;69,9;75,4;50;65,9; : ; : ;73,8;80;58,3
1029 Lindesnes;1029;Lindesnes;242;184;58;135;110;25;107;74;33;68,4;80;46,8;77,6;83,3;59,5;59,4;75,5;40,2
1032 Lyngdal;1032;Lyngdal;400;214;186;205;129;76;195;85;110;68;77,5;59,6;76,8;87,8;63,3;60,7;65,9;57,3
1034 Hægebostad;1034;Hægebostad;50;43;7;32; : ; : ;18;14;4;62,5;66,2;46,7;71,1; : ; : ;51,4;53,8;44,4
1037 Kvinesdal;1037;Kvinesdal;216;134;82;108;76;32;108;58;50;65,7;79,3;51,3;66,7;82,6;45,7;64,7;75,3;55,6
1046 Sirdal;1046;Sirdal;117;93;24;65;59;6;52;34;18;76,5;80,2;64,9;78,3;85,5;42,9;74,3;72,3;78,3
1101 Eigersund;1101;Eigersund;873;546;327;553;385;168;320;161;159;71,5;76,4;64,6;79,3;80,7;76,4;61,1;67,6;55,6
