Kommune nr & navn;kommune_nr;"Kommune
navn";botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+;botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0533 Lunner;533;Lunner;356;216;140;115;81;34;241;135;106;64,3;78,3;50,4;48,9;71,1;28,1;75,5;83,3;67,5
0534 Gran;534;Gran;459;266;193;201;151;50;258;115;143;57,4;68,7;46,7;48,6;65,1;27,5;66,8;74,2;61,9
0536 Søndre Land;536;Søndre Land;155;100;55;48;36;12;107;64;43;58,1;69,9;44,4;42,5;58,1;23,5;69,5;79;58,9
0538 Nordre Land;538;Nordre Land;160;104;56;82;62;20;78;42;36;62,7;69,3;53,3;56,2;66;38,5;71,6;75;67,9
0540 Sør-Aurdal;540;Sør-Aurdal;90;66;24;40;32;8;50;34;16;66,2;77,6;47,1;61,5;80;32;70,4;75,6;61,5
0541 Etnedal;541;Etnedal;44;34;10;27;22;5;17;12;5;31;75,6;10,3;23,1;84,6;5,5;68;63,2;83,3
0542 Nord-Aurdal;542;Nord-Aurdal;291;201;90;123;92;31;168;109;59;67,4;70,5;61,2;59,4;61,3;54,4;74,7;80,7;65,6
0543 Vestre Slidre;543;Vestre Slidre;67;52;15;32;23;9;35;29;6;58,8;75,4;33,3;49,2;71,9;27,3;71,4;78,4;50
0544 Øystre Slidre;544;Øystre Slidre;160;123;37;76;63;13;84;60;24;76,6;78,3;71,2;78,4;78,8;76,5;75;77,9;68,6
0545 Vang;545;Vang;98;81;17;57;49;8;41;32;9;59,8;78,6;27,9;51,4;79;16,3;77,4;78;75
0602 Drammen;602;Drammen;6707;2847;3860;1911;1412;499;4796;1435;3361;61,6;75,1;54,4;59,2;70,7;40,5;62,6;80,1;57,3
0604 Kongsberg;604;Kongsberg;1974;1104;870;842;551;291;1132;553;579;71,8;79,8;63,7;66,5;76,2;53,6;76,3;83,7;70,4
0605 Ringerike;605;Ringerike;1588;891;697;501;376;125;1087;515;572;66,3;75,1;57,7;58,7;70;39,6;70,5;79,4;64,1
0612 Hole;612;Hole;482;377;105;195;173;22;287;204;83;71,2;75,1;60;63,1;68,4;39,3;78;81,9;69,7
0615 Flå;615;Flå;43;36;7;31; : ; : ;12;7;5;63,2;63,2;63,6;70,5; : ; : ;50;43,8;62,5
0616 Nes (Busk.);616;Nes (Busk.);170;121;49;66;48;18;104;73;31;58,6;77,1;36,8;44,3;77,4;20,7;73,8;76,8;67,4
0617 Gol;617;Gol;394;265;129;184;156;28;210;109;101;76,5;81,3;68,3;73,9;79,2;53,8;78,9;84,5;73,7
0618 Hemsedal;618;Hemsedal;255;232;23;135;122;13;120;110;10;72,2;82,3;32,4;66,2;81,3;24,1;80,5;83,3;58,8
0619 Ål;619;Ål;230;170;60;88;72;16;142;98;44;75,2;83,7;58,3;63,8;80;33,3;84,5;86,7;80
0620 Hol;620;Hol;405;330;75;182;156;26;223;174;49;76,9;78,2;71,4;71,7;74,3;59,1;81,7;82,1;80,3
0621 Sigdal;621;Sigdal;103;87;16;57;51;6;46;36;10;73;78,4;53,3;72,2;81;37,5;74,2;75;71,4
0622 Krødsherad;622;Krødsherad;155;135;20;116;106;10;39;29;10;76;79,9;57,1;81,1;83,5;62,5;63,9;69;52,6
0623 Modum;623;Modum;539;347;192;165;124;41;374;223;151;64;73,8;51,6;55,4;67,8;35,7;68,8;77,7;58,8
0624 Øvre Eiker;624;Øvre Eiker;1096;755;341;448;384;64;648;371;277;71,8;77,2;62,1;67,1;73,4;44,1;75,4;81,5;68,6
0625 Nedre Eiker;625;Nedre Eiker;1904;954;950;477;382;95;1427;572;855;70,2;79,4;62,9;65,2;74;44;72;83,4;66
0626 Lier;626;Lier;2185;1309;876;740;590;150;1445;719;726;70,8;79;61,3;66,6;73,9;47,9;73,1;83,6;65,1
0627 Røyken;627;Røyken;1447;1035;412;461;378;83;986;657;329;73,9;78,2;64,9;65,2;71,6;46,4;78,8;82,5;72,1
0628 Hurum;628;Hurum;519;412;107;173;148;25;346;264;82;70,7;80,5;48,2;57,5;74,4;24,5;79,9;84,3;68,3
0631 Flesberg;631;Flesberg;106;85;21;45;37;8;61;48;13;68,8;81,7;42;52,3;74;22,2;89,7;88,9;92,9
0632 Rollag;632;Rollag;42;26;16;11;7;4;31;19;12;65,6;83,9;48,5;37,9;87,5;19;88,6;82,6;100
0633 Nore og Uvdal;633;Nore og Uvdal;111;81;30;67;52;15;44;29;15;74;79,4;62,5;70,5;83,9;45,5;80;72,5;100
0701 Horten;701;Horten;1482;772;710;453;340;113;1029;432;597;62,2;72,4;54;56,8;69,5;36,6;64,9;74,7;59,3
0702 Holmestrand;702;Holmestrand;461;287;174;131;105;26;330;182;148;67,8;76,5;57;57;69,1;33,3;73,3;81,6;65,2
0704 Tønsberg;704;Tønsberg;2514;1492;1022;842;651;191;1672;841;831;68,1;75,7;59,4;61,6;71,1;42,3;71,9;79,6;65,5
0706 Sandefjord;706;Sandefjord;2804;1547;1257;855;680;175;1949;867;1082;64,2;74,9;54,6;63,5;72,6;42,6;64,5;76,7;57,2
0709 Larvik;709;Larvik;2095;1193;902;616;475;141;1479;718;761;63,8;76,7;52,1;60,3;73,1;37,9;65,4;79,3;56
0711 Svelvik;711;Svelvik;354;268;86;137;120;17;217;148;69;70,9;74;62,8;70,6;74,5;51,5;71,1;73,6;66,3
0713 Sande (Vestf.);713;Sande (Vestf.);458;347;111;182;154;28;276;193;83;70,9;80,1;52,1;66,4;75,5;40;74,2;84,3;58
0714 Hof;714;Hof;129;103;26;55;50;5;74;53;21;76,3;76,9;74,3;75,3;75,8;71,4;77,1;77,9;75
0716 Re;716;Re (f.o.m. 2002);421;304;117;145;123;22;276;181;95;70;78,6;54,7;65,6;75,9;37,3;72,6;80,4;61,3
0719 Andebu;719;Andebu;277;202;75;137;110;27;140;92;48;71,8;75,9;62,5;71,7;73,3;65,9;71,8;79,3;60,8
0720 Stokke;720;Stokke;675;482;193;277;240;37;398;242;156;65,5;76,4;48,3;59,4;73,8;26,2;70,4;79,1;60,2
0722 Nøtterøy;722;Nøtterøy;995;581;414;257;211;46;738;370;368;67,6;77,1;57,7;58;69,4;33,1;71,8;82,2;63,7
0723 Tjøme;723;Tjøme;239;183;56;92;77;15;147;106;41;70,1;78,9;51,4;60,5;74;31,3;77,8;82,8;67,2
0728 Lardal;728;Lardal;82;66;16;37; : ; : ;45;30;15;70,7;82,5;44,4;64,9; : ; : ;76,3;85,7;62,5
0805 Porsgrunn;805;Porsgrunn;1601;732;869;443;296;147;1158;436;722;59,6;69,8;53,1;47,4;63,7;31,3;66,2;74,8;61,9
0806 Skien;806;Skien;2811;1227;1584;682;473;209;2129;754;1375;58,8;73,7;50,9;47,9;68,9;28,3;63,5;77,1;57,9
0807 Notodden;807;Notodden;492;282;210;172;127;45;320;155;165;60,1;69,1;51,2;47;59,9;29,2;70,8;79,1;64,5
0811 Siljan;811;Siljan;51;21;30;12;5;7;39;16;23;57,3;65,6;52,6;34,3;50;28;72,2;72,7;71,9
0814 Bamble;814;Bamble;383;222;161;118;84;34;265;138;127;55,8;72,3;42,5;42;72,4;20,6;65,4;72,3;59,3
0815 Kragerø;815;Kragerø;408;259;149;130;102;28;278;157;121;61,1;74,9;46,3;47,3;73,4;20,6;70,7;75,8;65,1
0817 Drangedal;817;Drangedal;138;107;31;50;43;7;88;64;24;65,4;78,7;41,3;54,3;79,6;18,4;73,9;78;64,9
0819 Nome;819;Nome;277;171;106;102;86;16;175;85;90;61,3;78,8;45,1;53,4;79,6;19,3;67;78;59,2
0821 Bø (Telemark);821;Bø (Telem.);237;131;106;95;71;24;142;60;82;47,4;49,8;44,7;35,4;41,5;24,7;61,2;65,2;58,6
0822 Sauherad;822;Sauherad;188;120;68;86;66;20;102;54;48;66,2;77,4;52,7;57,3;73,3;33,3;76,1;83,1;69,6
0826 Tinn;826;Tinn;302;174;128;83;49;34;219;125;94;65,8;78,7;53,8;46,4;73,1;30,4;78,2;81,2;74,6
0827 Hjartdal;827;Hjartdal;25; : ; : ;17; : ; : ;8; : ; : ;49; : ; : ;56,7; : ; : ;38,1; : ; : 
0828 Seljord;828;Seljord;119;98;21;64;54;10;55;44;11;70,8;83,1;42;71,9;87,1;37;69,6;78,6;47,8
0829 Kviteseid;829;Kviteseid;114;91;23;42; : ; : ;72;52;20;76,5;77,8;71,9;66,7; : ; : ;83,7;86,7;76,9
0830 Nissedal;830;Nissedal;62;54;8;21;21;0;41;33;8;75,6;78,3;61,5;75;80,8;0;75,9;76,7;72,7
0831 Fyresdal;831;Fyresdal;60;53;7;11;7;4;49; : ; : ;63,2;68,8;38,9;36,7;43,8;28,6;75,4; : ; : 
0833 Tokke;833;Tokke;72;45;27;13; : ; : ;59;35;24;80,9;78,9;84,4;72,2; : ; : ;83,1;83,3;82,8
0834 Vinje;834;Vinje;165;124;41;77;72;5;88;52;36;74,7;82,1;58,6;70;82,8;21,7;79,3;81,3;76,6
0901 Risør;901;Risør;239;168;71;78;63;15;161;105;56;56,6;72,7;37,2;47,3;69,2;20,3;62,6;75;47,9
0904 Grimstad;904;Grimstad;1134;717;417;436;319;117;698;398;300;63,9;73,9;51,8;55,9;69,7;36,3;70,2;77,7;62,1
0906 Arendal;906;Arendal;2249;1342;907;762;604;158;1487;738;749;62;71,4;51,9;56,8;68,3;34,5;65;74,2;58
0911 Gjerstad;911;Gjerstad;61;40;21;17;8;9;44;32;12;46,6;72,7;27,6;28,3;50;20,5;62;82,1;37,5
0912 Vegårshei;912;Vegårshei;42;23;19;15;7;8;27;16;11;54,5;59;50;55,6;63,6;50;54;57,1;50
0914 Tvedestrand;914;Tvedestrand;242;172;70;78;70;8;164;102;62;60,5;69,9;45,5;52,7;69,3;17;65,1;70,3;57,9
0919 Froland;919;Froland;184;118;66;45;36;9;139;82;57;67,6;70,2;63,5;53,6;60;37,5;73,9;75,9;71,3
0926 Lillesand;926;Lillesand;419;234;185;132;93;39;287;141;146;68,5;76,5;60,5;63,8;80,2;42,9;70,9;74,2;67,9
