Kommune nr & navn;kommune_nr;"Kommune
navn";vreg_9.alle;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika;vreg_9.alle;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0722 Nøtterøy;722;Nøtterøy;995;154;130;282;78;15;277;37;22;67,6;83,7;75,6;75,8;62,9;57,7;56,4;52,9;68,8
0723 Tjøme;723;Tjøme;239;32;53;93;9; : ;37; : ;7;70,1;78;84,1;78,8;75; : ;50; : ;77,8
0728 Lardal;728;Lardal;82;16;11;37;9; : ;5; : ; : ;70,7;80;84,6;82,2;47,4; : ;45,5; : ; : 
0805 Porsgrunn;805;Porsgrunn;1601;155;183;367;193;27;492;119;65;59,6;72,4;72,9;67,5;59,4;69,2;55;37,2;66,3
0806 Skien;806;Skien;2811;291;224;685;347;28;765;306;165;58,8;79,5;72,3;72,9;57,5;56;52,1;38,9;65,2
0807 Notodden;807;Notodden;492;58;57;162;46;5;113;42;9;60,1;78,4;61,3;70,7;71,9;41,7;55,9;33,6;47,4
0811 Siljan;811;Siljan;51; : ;6;11;9; : ;11;5;5;57,3; : ;66,7;73,3;81,8; : ;47,8;29,4;83,3
0814 Bamble;814;Bamble;383;52;51;113;22;6;105;29;5;55,8;68,4;73,9;74,8;56,4;54,5;49,1;25,4;41,7
0815 Kragerø;815;Kragerø;408;51;64;137;38;7;73;25;13;61,1;72,9;82,1;73,3;66,7;63,6;47,1;27,8;65
0817 Drangedal;817;Drangedal;138;9;59;36;8; : ;19;0; : ;65,4;69,2;75,6;85,7;80; : ;54,3;.; : 
0819 Nome;819;Nome;277;29;59;82;26; : ;51;23; : ;61,3;78,4;80,8;81,2;52; : ;55,4;27,1; : 
0821 Bø (Telemark);821;Bø (Telem.);237;32;26;69;26;4;55;20;5;47,4;38,1;46,4;62,2;56,5;33,3;42,6;43,5;31,3
0822 Sauherad;822;Sauherad;188;22;29;66;15; : ;39;11; : ;66,2;84,6;80,6;75,9;65,2; : ;56,5;34,4; : 
0826 Tinn;826;Tinn;302;60;28;82;24;4;78;22;4;65,8;71,4;68,3;89,1;70,6;100;61,9;30,1;80
0827 Hjartdal;827;Hjartdal;25; : ;7;12; : ; : ; : ;0;0;49; : ;41,2;70,6; : ; : ; : ;.;.
0828 Seljord;828;Seljord;119;18;33;43; : ;4;5;11; : ;70,8;72;86,8;84,3; : ;100;41,7;40,7; : 
0829 Kviteseid;829;Kviteseid;114;18;27;44;7; : ;11;4; : ;76,5;85,7;75;77,2;58,3; : ;73,3;100; : 
0830 Nissedal;830;Nissedal;62;7;29;18; : ;0;5;0; : ;75,6;70;76,3;85,7; : ;.;55,6;.; : 
0831 Fyresdal;831;Fyresdal;60;7;39;6; : ; : ;4;0; : ;63,2;70;75;42,9; : ; : ;50;.; : 
0833 Tokke;833;Tokke;72;8;17;20;11;0; : ;7; : ;80,9;66,7;81;87;100;.; : ;77,8; : 
0834 Vinje;834;Vinje;165;22;26;75;13; : ;4;22; : ;74,7;71;83,9;86,2;59,1; : ;66,7;59,5; : 
0901 Risør;901;Risør;239;40;40;87;19; : ;35;14; : ;56,6;81,6;70,2;72,5;48,7; : ;36,5;29,8; : 
0904 Grimstad;904;Grimstad;1134;153;175;360;73;30;262;59;22;63,9;71,8;76,1;73,6;58,4;76,9;56;34,1;57,9
0906 Arendal;906;Arendal;2249;276;264;744;240;58;486;130;51;62;75,6;75,6;68,9;60,6;68,2;49,8;43,5;65,4
0911 Gjerstad;911;Gjerstad;61;6;12;21;11; : ;5;4; : ;46,6;75;63,2;77,8;39,3; : ;23,8;15,4; : 
0912 Vegårshei;912;Vegårshei;42;4;9;9;6; : ;12; : ;0;54,5;66,7;64,3;56,3;60; : ;44,4; : ;.
0914 Tvedestrand;914;Tvedestrand;242;26;33;108;31;5;24;9;6;60,5;65;71,7;71,5;63,3;55,6;40,7;26,5;50
0919 Froland;919;Froland;184;25;28;64;7; : ;52; : ;5;67,6;71,4;77,8;66,7;63,6; : ;63,4; : ;71,4
0926 Lillesand;926;Lillesand;419;68;78;83;29;5;122;27;7;68,5;73,1;75,7;84,7;69;41,7;60,7;55,1;50
0928 Birkenes;928;Birkenes;220;21;47;52;41; : ;41; : ;9;67,5;72,4;71,2;86,7;68,3; : ;62,1; : ;60
0929 Åmli;929;Åmli;96;9;33;20;6; : ;24; : ; : ;70,1;69,2;84,6;76,9;75; : ;57,1; : ; : 
0935 Iveland;935;Iveland;49;4;23;7; : ; : ;12; : ;0;68,1;100;92;58,3; : ; : ;52,2; : ;.
0937 Evje og Hornnes;937;Evje og Hornnes;165;11;34;25;23; : ;54;10; : ;61,8;61,1;75,6;65,8;74,2; : ;51,4;52,6; : 
0938 Bygland;938;Bygland;34; : ;8;11; : ;0;5; : ;5;64,2; : ;72,7;91,7; : ;.;41,7; : ;83,3
0940 Valle;940;Valle;49;5;8;14; : ; : ;14; : ; : ;68,1;83,3;66,7;93,3; : ; : ;45,2; : ; : 
0941 Bykle;941;Bykle;92;20;13;43; : ; : ;9; : ; : ;77,3;87;92,9;86; : ; : ;45; : ; : 
1001 Kristiansand;1001;Kristiansand;5722;717;620;1019;772;118;1585;447;444;62,8;79,1;77,5;70,8;64,7;72,4;54,9;43,6;64,4
1002 Mandal;1002;Mandal;624;71;109;176;76;11;122;38;21;56,9;68,3;76,8;73,3;64,4;42,3;47,1;24,4;41,2
1003 Farsund;1003;Farsund;311;49;88;48;51;14;43;5;13;63;74,2;77,2;73,8;70,8;66,7;44,3;13,9;56,5
1004 Flekkefjord;1004;Flekkefjord;462;52;111;139;51;8;79;15;7;69,2;82,5;79,9;73,9;69,9;53,3;61,2;28,8;77,8
1014 Vennesla;1014;Vennesla;555;56;100;177;34;11;128;16;33;65,8;69,1;81,3;77,6;53,1;64,7;54,9;34,8;63,5
1017 Songdalen;1017;Songdalen;374;27;49;107;57;9;69;42;14;66;62,8;75,4;76,4;66,3;75;55,6;55,3;66,7
1018 Søgne;1018;Søgne;412;50;70;125;41;11;70;22;23;63,5;80,6;79,5;65,8;59,4;73,3;51,5;39,3;69,7
1021 Marnardal;1021;Marnardal;87;4;19;40;9; : ;11; : ; : ;63,5;80;63,3;87;64,3; : ;50; : ; : 
1026 Åseral;1026;Åseral;43; : ;15;16; : ;0;8;0;0;62,3; : ;65,2;76,2; : ;.;42,1;.;.
1027 Audnedal;1027;Audnedal;58;7;10;29;4; : ;4; : ;0;69,9;77,8;83,3;70,7;100; : ;33,3; : ;.
1029 Lindesnes;1029;Lindesnes;242;23;70;81;27;10;27;0;4;68,4;82,1;82,4;80,2;65,9;62,5;36;.;57,1
1032 Lyngdal;1032;Lyngdal;400;28;57;126;98; : ;64; : ;14;68;82,4;70,4;81,3;70,5; : ;57,1; : ;41,2
1034 Hægebostad;1034;Hægebostad;50;6;6;30; : ; : ; : ; : ;0;62,5;85,7;54,5;65,2; : ; : ; : ; : ;.
1037 Kvinesdal;1037;Kvinesdal;216;19;67;43;16;5;55;7;4;65,7;76;80,7;82,7;64;55,6;64;17,1;50
1046 Sirdal;1046;Sirdal;117;11;21;61;6;0;13; : ; : ;76,5;73,3;72,4;84,7;85,7;.;76,5; : ; : 
1101 Eigersund;1101;Eigersund;873;78;110;345;41;13;248;27;11;71,5;74,3;81,5;75,5;71,9;68,4;67,4;42,9;64,7
1102 Sandnes;1102;Sandnes;7079;588;763;2558;701;124;1785;383;177;74;86,2;83,5;81,6;72;72,5;63,8;60,1;67,6
1103 Stavanger;1103;Stavanger;14494;1623;2617;3298;1107;556;3503;1141;649;72,6;85,5;77,7;80,2;74;74,8;63,4;60,7;68,5
1106 Haugesund;1106;Haugesund;2880;303;234;1213;328;23;540;145;94;68;79,1;73,1;75,1;65,7;50;57,8;49,3;65,3
1111 Sokndal;1111;Sokndal;100;7;12;32;10;4;30;5;0;83,3;87,5;92,3;80;66,7;100;85,7;100;.
1112 Lund;1112;Lund;121;18;21;28;11; : ;31;8; : ;64;90;72,4;70;73,3; : ;53,4;36,4; : 
1114 Bjerkreim;1114;Bjerkreim;162;8;52;63;7;6;20;0;6;80,6;61,5;88,1;80,8;77,8;75;71,4;.;100
1119 Hå;1119;Hå;1383;50;141;865;55;8;177;59;28;73;71,4;83,4;79,3;72,4;57,1;58;46,1;66,7
