kommune_nr-kommunenavn;kommune_nr;kommunenavn;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.alle
;;;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_spesialund;undervisning_grskole.grskole_og_spesial
nedbrytninger;;;enhet.personer;enhet.personer;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer
1429 Fjaler;1429;Fjaler;8;0;0;8;0;8;0
1430 Gaular;1430;Gaular;6;0;0;6;0;6;0
1431 Jølster;1431;Jølster;5;0;0;5;5;0;0
1432 Førde;1432;Førde;22;0;0;22;22;0;0
1433 Naustdal;1433;Naustdal;0;0;0;0;0;0;0
1438 Bremanger;1438;Bremanger;3;0;0;3;0;3;0
1439 Vågsøy;1439;Vågsøy;1;0;0;1;0;1;0
1441 Selje;1441;Selje;7;0;0;7;0;7;0
1443 Eid;1443;Eid;8;0;0;8;0;8;0
1444 Hornindal;1444;Hornindal;0;0;0;0;0;0;0
1445 Gloppen;1445;Gloppen;10;10;100;0;10;0;0
1449 Stryn;1449;Stryn;16;12;75;4;12;4;0
1502 Molde;1502;Molde;138;50;36,2;88;52;0;86
1504 Ålesund;1504;Ålesund;107;40;37,4;67;39;68;0
1505 Kristiansund;1505;Kristiansund;76;50;65,8;26;51;25;0
1511 Vanylven;1511;Vanylven;0;0;0;0;0;0;0
1514 Sande (M. og R.);1514;Sande (M. og R.);0;0;0;0;0;0;0
1515 Herøy (M. og R.);1515;Herøy (M. og R.);10;0;0;10;0;10;0
1516 Ulstein;1516;Ulstein;19;1;5,3;18;0;18;1
1517 Hareid;1517;Hareid;22;14;63,6;8;14;8;0
1519 Volda;1519;Volda;31;16;51,6;15;17;14;0
1520 Ørsta;1520;Ørsta;29;15;51,7;14;15;14;0
1523 Ørskog;1523;Ørskog;2;0;0;2;0;2;0
1524 Norddal;1524;Norddal;0;0;0;0;0;0;0
1525 Stranda;1525;Stranda;8;0;0;8;0;8;0
1526 Stordal;1526;Stordal;2;0;0;2;0;2;0
1528 Sykkylven;1528;Sykkylven;6;0;0;6;0;6;0
1529 Skodje;1529;Skodje;12;1;8,3;11;0;12;0
1531 Sula;1531;Sula;19;0;0;19;0;19;0
1532 Giske;1532;Giske;13;0;0;13;13;0;0
1534 Haram;1534;Haram;10;0;0;10;0;10;0
1535 Vestnes;1535;Vestnes;5;1;20;4;1;4;0
1539 Rauma;1539;Rauma;15;0;0;15;0;15;0
1543 Nesset;1543;Nesset;0;0;0;0;0;0;0
1545 Midsund;1545;Midsund;1;1;100;0;0;1;0
1546 Sandøy;1546;Sandøy;6;6;100;0;6;0;0
1547 Aukra;1547;Aukra;7;0;0;7;0;7;0
1548 Fræna;1548;Fræna;18;0;0;18;0;18;0
1551 Eide;1551;Eide;0;0;0;0;0;0;0
1554 Averøy;1554;Averøy;0;0;0;0;0;0;0
1557 Gjemnes;1557;Gjemnes;5;0;0;5;0;5;0
1560 Tingvoll;1560;Tingvoll;7;0;0;7;7;0;0
1563 Sunndal;1563;Sunndal;87;83;95,4;4;83;4;0
1566 Surnadal;1566;Surnadal;17;14;82,4;3;14;3;0
1567 Rindal;1567;Rindal;2;0;0;2;0;2;0
1571 Halsa;1571;Halsa;0;0;0;0;0;0;0
1573 Smøla;1573;Smøla;0;0;0;0;0;0;0
1576 Aure;1576;Aure;9;6;66,7;3;6;3;0
1601 Trondheim;1601;Trondheim;304;260;85,5;44;213;88;3
1612 Hemne;1612;Hemne;8;8;100;0;8;0;0
1613 Snillfjord;1613;Snillfjord;0;0;0;0;0;0;0
1617 Hitra;1617;Hitra;3;0;0;3;0;3;0
1620 Frøya;1620;Frøya;0;0;0;0;0;0;0
1621 Ørland;1621;Ørland;6;0;0;6;0;6;0
1622 Agdenes;1622;Agdenes;0;0;0;0;0;0;0
1624 Rissa;1624;Rissa;12;11;91,7;1;11;1;0
1627 Bjugn;1627;Bjugn;8;0;0;8;0;8;0
1630 Åfjord;1630;Åfjord;0;0;0;0;0;0;0
1632 Roan;1632;Roan;0;0;0;0;0;0;0
1633 Osen;1633;Osen;0;0;0;0;0;0;0
1634 Oppdal;1634;Oppdal;5;5;100;0;5;0;0
1635 Rennebu;1635;Rennebu;0;0;0;0;0;0;0
1636 Meldal;1636;Meldal;0;0;0;0;0;0;0
1638 Orkdal;1638;Orkdal;13;13;100;0;13;0;0
1640 Røros;1640;Røros;17;0;0;17;0;17;0
1644 Holtålen;1644;Holtålen;0;0;0;0;0;0;0
1648 Midtre Gauldal;1648;Midtre Gauldal;6;1;16,7;5;0;6;0
1653 Melhus;1653;Melhus;8;2;25;6;2;6;0
1657 Skaun;1657;Skaun;0;0;0;0;0;0;0
1662 Klæbu;1662;Klæbu;8;1;12,5;7;0;8;0
1663 Malvik;1663;Malvik;5;0;0;5;0;5;0
1664 Selbu;1664;Selbu;2;0;0;2;2;0;0
1665 Tydal;1665;Tydal;0;0;0;0;0;0;0
1702 Steinkjer;1702;Steinkjer;46;40;87;6;39;7;0
1703 Namsos;1703;Namsos;47;34;72,3;13;34;13;0
1711 Meråker;1711;Meråker;0;0;0;0;0;0;0
1714 Stjørdal;1714;Stjørdal;34;17;50;17;17;17;0
1717 Frosta;1717;Frosta;0;0;0;0;0;0;0
1718 Leksvik;1718;Leksvik;0;0;0;0;0;0;0
1719 Levanger;1719;Levanger;86;37;43;49;37;49;0
1721 Verdal;1721;Verdal;0;0;0;0;0;0;0
1724 Verran;1724;Verran;2;0;0;2;2;0;0
1725 Namdalseid;1725;Namdalseid;0;0;0;0;0;0;0
1736 Snåsa;1736;Snåsa;10;10;100;0;10;0;0
1738 Lierne;1738;Lierne;0;0;0;0;0;0;0
1739 Røyrvik;1739;Røyrvik;0;0;0;0;0;0;0
1740 Namsskogan;1740;Namsskogan;0;0;0;0;0;0;0
1742 Grong;1742;Grong;10;10;100;0;10;0;0
1743 Høylandet;1743;Høylandet;0;0;0;0;0;0;0
1744 Overhalla;1744;Overhalla;0;0;0;0;0;0;0
1748 Fosnes;1748;Fosnes;0;0;0;0;0;0;0
1749 Flatanger;1749;Flatanger;0;0;0;0;0;0;0
1750 Vikna;1750;Vikna;9;8;88,9;1;8;1;0
1751 Nærøy;1751;Nærøy;0;0;0;0;0;0;0
1755 Leka;1755;Leka;1;0;0;1;0;0;1
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);6;0;0;6;0;6;0
1804 Bodø;1804;Bodø;7;7;100;0;7;0;0
1805 Narvik;1805;Narvik;32;25;78,1;7;25;7;0
1811 Bindal;1811;Bindal;0;0;0;0;0;0;0
1812 Sømna;1812;Sømna;3;0;0;3;0;3;0
1813 Brønnøy;1813;Brønnøy;72;49;68,1;23;45;26;1
1815 Vega;1815;Vega;0;0;0;0;0;0;0
1816 Vevelstad;1816;Vevelstad;0;0;0;0;0;0;0
1818 Herøy (Nordl.);1818;Herøy (Nordl.);0;0;0;0;0;0;0
1820 Alstahaug;1820;Alstahaug;27;23;85,2;4;23;4;0
1822 Leirfjord;1822;Leirfjord;0;0;0;0;0;0;0
1824 Vefsn;1824;Vefsn;37;25;67,6;12;25;12;0
1825 Grane;1825;Grane;0;0;0;0;0;0;0
1826 Hattfjelldal;1826;Hattfjelldal;0;0;0;0;0;0;0
1827 Dønna;1827;Dønna;3;0;0;3;0;3;0
1828 Nesna;1828;Nesna;18;18;100;0;18;0;0
1832 Hemnes;1832;Hemnes;6;6;100;0;6;0;0
1833 Rana;1833;Rana;48;35;72,9;13;40;8;0
1834 Lurøy;1834;Lurøy;5;0;0;5;0;5;0
1835 Træna;1835;Træna;0;0;0;0;0;0;0
1836 Rødøy;1836;Rødøy;0;0;0;0;0;0;0
1837 Meløy;1837;Meløy;13;7;53,8;6;6;7;0
1838 Gildeskål;1838;Gildeskål;8;8;100;0;8;0;0
1839 Beiarn;1839;Beiarn;0;0;0;0;0;0;0
1840 Saltdal;1840;Saltdal;0;0;0;0;0;0;0
1841 Fauske;1841;Fauske;12;12;100;0;12;0;0
1845 Sørfold;1845;Sørfold;0;0;0;0;0;0;0
1848 Steigen;1848;Steigen;7;7;100;0;7;0;0
1849 Hamarøy;1849;Hamarøy;0;0;0;0;0;0;0
1850 Tysfjord;1850;Tysfjord;0;0;0;0;0;0;0
1851 Lødingen;1851;Lødingen;7;7;100;0;7;0;0
1852 Tjeldsund;1852;Tjeldsund;1;0;0;1;0;1;0
1853 Evenes;1853;Evenes;0;0;0;0;0;0;0
1854 Ballangen;1854;Ballangen;0;0;0;0;0;0;0
1856 Røst;1856;Røst;0;0;0;0;0;0;0
1857 Værøy;1857;Værøy;0;0;0;0;0;0;0
1859 Flakstad;1859;Flakstad;0;0;0;0;0;0;0
1860 Vestvågøy;1860;Vestvågøy;38;38;100;0;38;0;0
1865 Vågan;1865;Vågan;51;51;100;0;48;0;3
1866 Hadsel;1866;Hadsel;23;23;100;0;23;0;0
1867 Bø (Nordl.);1867;Bø (Nordl.);8;8;100;0;8;0;0
1868 Øksnes;1868;Øksnes;0;0;0;0;0;0;0
1870 Sortland;1870;Sortland;26;26;100;0;26;0;0
1871 Andøy;1871;Andøy;13;13;100;0;13;0;0
1874 Moskenes;1874;Moskenes;0;0;0;0;0;0;0
1902 Tromsø;1902;Tromsø;42;37;88,1;5;40;2;0
1903 Harstad;1903;Harstad;46;45;97,8;1;45;1;0
1911 Kvæfjord;1911;Kvæfjord;1;1;100;0;0;1;0
1913 Skånland;1913;Skånland;0;0;0;0;0;0;0
1917 Ibestad;1917;Ibestad;5;0;0;5;5;0;0
1919 Gratangen;1919;Gratangen;0;0;0;0;0;0;0
1920 Lavangen;1920;Lavangen;0;0;0;0;0;0;0
1922 Bardu;1922;Bardu;17;17;100;0;17;0;0
1923 Salangen;1923;Salangen;20;20;100;0;20;0;0
1924 Målselv;1924;Målselv;12;9;75;3;9;3;0
1925 Sørreisa;1925;Sørreisa;0;0;0;0;0;0;0
1926 Dyrøy;1926;Dyrøy;0;0;0;0;0;0;0
1927 Tranøy;1927;Tranøy;14;14;100;0;14;0;0
1928 Torsken;1928;Torsken;0;0;0;0;0;0;0
1929 Berg;1929;Berg;14;14;100;0;14;0;0
1931 Lenvik;1931;Lenvik;70;68;97,1;2;70;0;0
1933 Balsfjord;1933;Balsfjord;6;1;16,7;5;2;4;0
1936 Karlsøy;1936;Karlsøy;2;0;0;2;2;0;0
1938 Lyngen;1938;Lyngen;10;3;30;7;4;6;0
1939 Storfjord;1939;Storfjord;8;2;25;6;2;6;0
1940 Kåfjord;1940;Kåfjord;2;0;0;2;0;2;0
1941 Skjervøy;1941;Skjervøy;2;1;50;1;1;1;0
