Kommune nr & navn;kommune_nr;"Kommune
navn";botid_5.0-4;botid_5.5-9;botid_5.10+;botid_5.0-4;botid_5.5-9;botid_5.10+
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
0941 Bykle;941;Bykle;34;30;28;68;83,3;84,8
1001 Kristiansand;1001;Kristiansand;1590;1149;2983;56,3;64,4;66,3
1002 Mandal;1002;Mandal;201;191;232;45,1;71,3;60,7
1003 Farsund;1003;Farsund;102;62;147;50,2;69,7;72,8
1004 Flekkefjord;1004;Flekkefjord;116;117;229;53,2;81,8;74,6
1014 Vennesla;1014;Vennesla;156;179;220;54,9;78,5;66,3
1017 Songdalen;1017;Songdalen;91;138;145;52,9;77,5;66,8
1018 Søgne;1018;Søgne;132;119;161;51,4;74,8;69,1
1021 Marnardal;1021;Marnardal;25;32;30;52,1;68,1;71,4
1026 Åseral;1026;Åseral; : ; : ; : ; : ; : ; : 
1027 Audnedal;1027;Audnedal;19;25;14;52,8;83,3;82,4
1029 Lindesnes;1029;Lindesnes;73;86;83;60,3;74,1;70,9
1032 Lyngdal;1032;Lyngdal;138;108;154;60,5;77,1;70
1034 Hægebostad;1034;Hægebostad;16;26;8;50;76,5;57,1
1037 Kvinesdal;1037;Kvinesdal;60;92;64;45,1;83,6;74,4
1046 Sirdal;1046;Sirdal;51;39;27;70,8;84,8;77,1
1101 Eigersund;1101;Eigersund;341;300;232;65,3;77,7;74,1
1102 Sandnes;1102;Sandnes;2700;2012;2367;71,1;81,3;71,8
1103 Stavanger;1103;Stavanger;6346;3196;4952;70,1;79,2;71,9
1106 Haugesund;1106;Haugesund;1174;781;925;62,9;74;70,3
1111 Sokndal;1111;Sokndal;48;28;24;78,7;90,3;85,7
1112 Lund;1112;Lund;32;29;60;41;80,6;80
1114 Bjerkreim;1114;Bjerkreim;61;62;39;74,4;92,5;75
1119 Hå;1119;Hå;724;438;221;69,8;81,9;68,4
1120 Klepp;1120;Klepp;615;375;335;72,8;82,4;79,4
1121 Time;1121;Time;357;345;274;64,8;83,9;75,9
1122 Gjesdal;1122;Gjesdal;317;218;220;73,2;82,6;82,1
1124 Sola;1124;Sola;983;580;710;71;81,5;76,5
1127 Randaberg;1127;Randaberg;257;171;191;68,9;81,8;78
