Kommune nr & navn;kommune_nr;"Kommune
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0538 Nordre Land;538;Nordre Land;160;58;35;31;36;62,7;65,2;67,3;45,6;78,3;90;48;3;23;16;63,4;64,9;50;57,5;72,7;70;10;32;8;20;61,9;66,7;69,6;28,6;83,3
0540 Sør-Aurdal;540;Sør-Aurdal;90;38;18;14;20;66,2;77,6;75;38,9;74,1;47;25;4;10;8;64,4;75,8;80;43,5;66,7;43;13;14;4;12;68,3;81,3;73,7;30,8;80
0541 Etnedal;541;Etnedal;44; : ; : ; : ; : ;31; : ; : ; : ; : ;28; : ; : ; : ; : ;27,5; : ; : ; : ; : ;16; : ; : ; : ; : ;40; : ; : ; : ; : 
0542 Nord-Aurdal;542;Nord-Aurdal;291;127;54;50;60;67,4;67,2;71,1;52,6;83,3;151;83;13;25;30;65,4;62,9;72,2;54,3;85,7;140;44;41;25;30;69,7;77,2;70,7;51;81,1
0543 Vestre Slidre;543;Vestre Slidre;67;34;12;5;16;58,8;82,9;57,1;16,7;72,7;32;24;3;2;3;56,1;80;75;11,1;60;35;10;9;3;13;61,4;90,9;52,9;25;76,5
0544 Øystre Slidre;544;Øystre Slidre;160;79;17;17;47;76,6;84;63;65,4;75,8;80;50;4;6;20;76,9;80,6;80;60;74,1;80;29;13;11;27;76,2;90,6;59,1;68,8;77,1
0545 Vang;545;Vang;98;58;12;13;15;59,8;85,3;60;23,2;75;55;41;2;9;3;55;82;100;20,5;75;43;17;10;4;12;67,2;94,4;55,6;33,3;75
0602 Drammen;602;Drammen;6707;1873;1194;2120;1520;61,6;78;56,7;54,4;61,2;3912;1457;444;1187;824;68,8;78,9;70,1;59,3;68,5;2795;416;750;933;696;53,7;75,2;51;49,2;54,4
0604 Kongsberg;604;Kongsberg;1974;763;338;387;486;71,8;87;57,7;59,2;76,9;1092;561;71;213;247;77,3;87,9;64,5;59,5;80,7;882;202;267;174;239;66;84,5;56,1;58,8;73,3
0605 Ringerike;605;Ringerike;1588;552;315;369;352;66,3;77,2;60,7;54,3;73;856;418;76;204;158;70,5;79;68,5;56,7;73,5;732;134;239;165;194;62;72;58,6;51,7;72,7
0612 Hole;612;Hole;482;249;59;45;129;71,2;73,7;60,8;64,3;75;267;184;9;20;54;73;73;60;60,6;81,8;215;65;50;25;75;69,1;75,6;61;67,6;70,8
0615 Flå;615;Flå;43; : ; : ; : ; : ;63,2; : ; : ; : ; : ;20; : ; : ; : ; : ;58,8; : ; : ; : ; : ;23; : ; : ; : ; : ;67,6; : ; : ; : ; : 
0616 Nes;616;Nes (Busk.);170;76;32;19;43;58,6;78,4;69,6;20,2;81,1;73;47;3;9;14;52,5;73,4;75;17,3;73,7;97;29;29;10;29;64,2;87,9;69;23,8;85,3
0617 Gol;617;Gol;394;195;79;59;61;76,5;83,3;82,3;56,7;75,3;199;129;12;33;25;76,8;80,6;80;64,7;75,8;195;66;67;26;36;76,2;89,2;82,7;49,1;75
0618 Hemsedal;618;Hemsedal;255;119;19;13;104;72,2;85,6;76;24,1;77;146;83;2;10;51;76,4;88,3;100;34,5;77,3;109;36;17;3;53;67,3;80;73,9;12;76,8
0619 Ål;619;Ål;230;114;38;30;48;75,2;89,8;67,9;48,4;78,7;126;83;10;16;17;75;90,2;76,9;42,1;68;104;31;28;14;31;75,4;88,6;65,1;58,3;86,1
0620 Hol;620;Hol;405;163;47;37;158;76,9;76,2;64,4;63,8;86,8;209;116;9;22;62;77,4;76,3;52,9;73,3;87,3;196;47;38;15;96;76,3;75,8;67,9;53,6;86,5
