Nr & navn;naringsregion_nr;Næringsregion-navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
60 Orkdalregionen;60;Orkdalregionen;550;95;455;2;453;19,3;45,2;17,3;15,4;17,3;315;64;251;.;251;21,3;52,5;18,5;.;18,5;235;31;204;2;202;17,3;35,2;16;25;16
61 Trondheimsregionen;61;Trondheimsregionen;5847;1519;4328;84;4244;16,6;40,3;13,7;13,7;13,7;3358;845;2513;59;2454;18,3;41,7;15,4;17,4;15,3;2489;674;1815;25;1790;14,7;38,6;12;9,1;12
62 Rørosregionen;62;Rørosregionen;118;26;92;.;92;11;48,1;9;.;9,1;65;13;52;.;52;11,6;54,2;9,7;.;9,8;53;13;40;.;40;10,3;43,3;8,2;.;8,3
63 Stjørdalsregionen;63;Stjørdalsregionen;689;111;578;.;578;18,7;44;16,9;.;16,9;398;61;337;.;337;20,9;45,5;19,1;.;19,1;291;50;241;.;241;16,4;42,4;14,6;.;14,6
64 Innherred;64;Innherred;1631;313;1318;3;1315;18,2;48,3;15,8;12,5;15,8;887;178;709;2;707;19,4;52,8;16,7;16,7;16,7;744;135;609;1;608;16,9;43,4;14,9;8,3;14,9
65 Indre Namdal;65;Indre Namdal;182;42;140;1;139;16,8;45,2;14,1;25;14,1;120;28;92;1;91;20,1;44,4;17,3;100;17,1;62;14;48;.;48;12,7;46,7;10,5;.;10,5
66 Kystgruppen;66;Kystgruppen;301;41;260;.;260;22,9;49,4;21,1;.;21,1;149;18;131;.;131;21,6;45;20,2;.;20,2;152;23;129;.;129;24,3;53,5;22,1;.;22,2
67 Midtre Namdal;67;Midtre Namdal;604;95;509;.;509;21,3;41,1;19,6;.;19,6;349;46;303;.;303;23,7;43;22,1;.;22,2;255;49;206;.;206;18,8;39,5;16,7;.;16,8
68 Sør-Helgeland;68;Sør-Helgeland;363;46;317;1;316;20,8;50;19,2;50;19,1;172;20;152;.;152;19,7;48,8;18,3;.;18,3;191;26;165;1;164;21,8;51;20;50;19,9
69 HALD;69;HALD;404;82;322;.;322;23,3;50,6;20,5;.;20,6;226;46;180;.;180;25,2;50,5;22,3;.;22,3;178;36;142;.;142;21,3;50,7;18,6;.;18,7
70 Ytre Helgeland;70;Ytre Helgeland;81;13;68;.;68;17,7;52;15,7;.;15,7;37;3;34;.;34;16,5;37,5;15,7;.;15,7;44;10;34;.;34;18,8;58,8;15,7;.;15,7
71 Mosjøregionen;71;Mosjøregionen;458;72;386;1;385;21,7;46,8;19,7;33,3;19,7;280;41;239;.;239;25,2;45,6;23,4;.;23,5;178;31;147;1;146;17,7;48,4;15,7;100;15,6
72 Ranaregionen;72;Ranaregionen;1044;167;877;.;877;23,1;51,2;20,9;.;20,9;571;101;470;.;470;24,4;53,2;21,9;.;21,9;473;66;407;.;407;21,7;48,5;19,9;.;19,9
73 Salten;73;Salten;2395;419;1976;12;1964;21,6;43,9;19,5;32,4;19,5;1422;253;1169;4;1165;24,6;47,7;22,3;25;22,3;973;166;807;8;799;18,4;39,1;16,6;38,1;16,5
74 Ofoten;74;Ofoten;834;166;668;3;665;23,7;45,9;21,1;17,6;21,2;485;94;391;2;389;25,9;44,8;23,5;18,2;23,5;349;72;277;1;276;21,2;47,4;18,5;16,7;18,5
75 Lofoten;75;Lofoten;839;203;636;3;633;25,9;56,1;22,1;33,3;22;486;124;362;2;360;28,7;57,7;24,5;33,3;24,4;353;79;274;1;273;22,8;53,7;19,6;33,3;19,5
76 Vesterålen;76;Vesterålen;1093;213;880;2;878;25;48,6;22,4;12,5;22,4;633;113;520;2;518;27,3;47,9;25;25;25;460;100;360;.;360;22,5;49,5;19,5;.;19,6
77 Sør-Troms;77;Sør-Troms;1234;272;962;2;960;24,7;50,3;21,6;15,4;21,6;704;144;560;2;558;26,9;48,5;24,1;28,6;24,1;530;128;402;.;402;22,3;52,5;18,8;.;18,9
78 Midt-Troms;78;Midt-Troms;920;178;742;5;737;22;49,6;19,4;38,5;19,4;511;89;422;4;418;22,3;48,4;20;40;20;409;89;320;1;319;21,6;50,9;18,7;33,3;18,6
79 Tromsøregionen;79;Tromsøregionen;2554;510;2044;14;2030;22,3;44,2;19,8;23;19,8;1434;283;1151;10;1141;24,4;49,5;21,7;29,4;21,6;1120;227;893;4;889;20,1;39;17,9;14,8;17,9
80 Nord-Troms;80;Nord-Troms;553;65;488;.;488;25,9;53,3;24,2;.;24,3;334;40;294;.;294;28,7;56,3;26,9;.;26,9;219;25;194;.;194;22,5;49;21,1;.;21,1
81 Vest-Finnmark;81;Vest-Finnmark;1559;327;1232;5;1227;28,4;52,3;25,3;27,8;25,3;925;211;714;3;711;32,2;60,1;28,3;27,3;28,3;634;116;518;2;516;24,3;42,3;22,2;28,6;22,2
82 Midt-Finnmark;82;Midt-Finnmark;449;48;401;.;401;24,8;48;23,4;.;23,5;306;28;278;.;278;31,2;50;30,1;.;30,2;143;20;123;.;123;17,2;45,5;15,6;.;15,6
83 Øst-Finnmark;83;Øst-Finnmark;986;296;690;5;685;29,5;54,4;24,6;25;24,6;592;176;416;1;415;32,7;54,3;28;20;28,1;394;120;274;4;270;25,7;54,5;20,8;26,7;20,8
