Næringsregion nr & navn;naringsregion_nr;Næringsregion navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
49 Nordfjord;49;Nordfjord;395;10;385;1;384;77,8;58,8;78,4;25;78,9;204;4;200;1;199;74,5;40;75,8;100;75,7;191;6;185;.;185;81,6;85,7;81,5;.;82,6
50 Sogn;50;Sogn;343;11;332;2;330;79,4;61,1;80,2;40;80,7;159;6;153;2;151;76,4;66,7;76,9;40;77,8;184;5;179;.;179;82,1;55,6;83,3;.;83,3
51 Sunnfjord;51;Sunnfjord;367;7;360;4;356;74,3;50;75;80;74,9;185;1;184;2;182;70,6;20;71,6;100;71,4;182;6;176;2;174;78,4;66,7;78,9;66,7;79,1
52 Nordmøre;52;Nordmøre;572;10;562;2;560;71,9;52,6;72,3;100;72,3;275;4;271;1;270;69,4;50;69,8;100;69,8;297;6;291;1;290;74,3;54,5;74,8;100;74,7
53 Romsdal;53;Romsdal;573;7;566;6;560;72,4;38,9;73,2;85,7;73,1;248;3;245;4;241;65,8;33,3;66,6;80;66,4;325;4;321;2;319;78,5;44,4;79,3;100;79,2
54 Storfjord;54;Storfjord;181;7;174;1;173;76,7;77,8;76,7;100;76,5;89;3;86;1;85;71,2;75;71,1;100;70,8;92;4;88;.;88;82,9;80;83;.;83
55 Søre Sunnmøre;55;Søre Sunnmøre;440;13;427;2;425;74,2;61,9;74,7;66,7;74,7;224;8;216;1;215;71,8;57,1;72,5;100;72,4;216;5;211;1;210;76,9;71,4;77;50;77,2
56 Ålesundregionen;56;Ålesundregionen;698;11;687;8;679;75,1;47,8;75,7;80;75,7;330;6;324;4;320;73,3;66,7;73,5;66,7;73,6;368;5;363;4;359;76,7;35,7;77,9;100;77,7
57 Fosen;57;Fosen;235;4;231;.;231;67,1;50;67,5;.;67,5;109;2;107;.;107;62,3;40;62,9;.;62,9;126;2;124;.;124;72;66,7;72,1;.;72,1
58 Hitra/Frøya;58;Hitra/Frøya;62;1;61;.;61;68,1;50;68,5;.;68,5;29;.;29;.;29;70,7;.;70,7;.;70,7;33;1;32;.;32;66;50;66,7;.;66,7
59 Oppdal/Rennebu;59;Oppdal/Rennebu;96;2;94;1;93;74,4;50;75,2;100;75;39;2;37;.;37;60;66,7;59,7;.;59,7;57;.;57;1;56;89,1;.;90,5;100;90,3
60 Orkdalregionen;60;Orkdalregionen;198;6;192;.;192;65,3;50;66;.;66;90;3;87;.;87;57,7;50;58;.;58;108;3;105;.;105;73,5;50;74,5;.;74,5
61 Trondheimsregionen;61;Trondheimsregionen;1905;56;1849;32;1817;70,7;52,3;71,5;74,4;71,5;884;21;863;17;846;63,8;35;65,1;63;65,2;1021;35;986;15;971;78,1;74,5;78,2;93,8;78
62 Rørosregionen;62;Rørosregionen;83;3;80;.;80;84,7;100;84,2;.;84,2;39;.;39;.;39;75;.;75;.;75;44;3;41;.;41;95,7;100;95,3;.;95,3
63 Stjørdalsregionen;63;Stjørdalsregionen;228;4;224;.;224;65,7;57,1;65,9;.;66,1;123;.;123;.;123;63,7;.;64,4;.;64,4;105;4;101;.;101;68,2;80;67,8;.;68,2
64 Innherred;64;Innherred;630;15;615;1;614;75,2;50;76,1;50;76,2;304;5;299;.;299;72,9;45,5;73,6;.;73,8;326;10;316;1;315;77,4;52,6;78,6;100;78,6
65 Indre Namdal;65;Indre Namdal;69;.;69;.;69;64,5;.;65,7;.;65,7;31;.;31;.;31;64,6;.;64,6;.;64,6;38;.;38;.;38;64,4;.;66,7;.;66,7
66 Kystgruppen;66;Kystgruppen;88;3;85;.;85;66,2;60;66,4;.;66,4;46;1;45;.;45;64,8;100;64,3;.;64,3;42;2;40;.;40;67,7;50;69;.;69
67 Midtre Namdal;67;Midtre Namdal;202;10;192;1;191;68,5;55,6;69,3;100;69,2;94;2;92;1;91;62,3;50;62,6;100;62,3;108;8;100;.;100;75;57,1;76,9;.;76,9
68 Sør-Helgeland;68;Sør-Helgeland;111;3;108;.;108;57,2;75;56,8;.;56,8;53;2;51;.;51;53,5;66,7;53,1;.;53,1;58;1;57;.;57;61,1;100;60,6;.;60,6
69 HALD;69;HALD;129;7;122;.;122;66,8;87,5;65,9;.;65,9;72;2;70;.;70;64,3;100;63,6;.;63,6;57;5;52;.;52;70,4;83,3;69,3;.;69,3
70 Ytre Helgeland;70;Ytre Helgeland;37;.;37;.;37;72,5;.;72,5;.;72,5;16;.;16;.;16;64;.;64;.;64;21;.;21;.;21;80,8;.;80,8;.;80,8
71 Mosjøregionen;71;Mosjøregionen;152;5;147;.;147;62,8;35,7;64,5;.;64,5;65;2;63;.;63;53,7;28,6;55,3;.;55,3;87;3;84;.;84;71,9;42,9;73,7;.;73,7
72 Ranaregionen;72;Ranaregionen;259;3;256;.;256;58,6;27,3;59,4;.;59,4;122;.;122;.;122;55,2;.;57;.;57;137;3;134;.;134;62;75;61,8;.;61,8
73 Salten;73;Salten;686;17;669;3;666;64,9;50;65,4;60;65,4;330;11;319;3;316;58,8;52,4;59,1;60;59,1;356;6;350;.;350;71,8;46,2;72,5;.;72,5
74 Ofoten;74;Ofoten;260;4;256;1;255;66,3;50;66,7;50;66,8;128;2;126;1;125;63,1;40;63,6;50;63,8;132;2;130;.;130;69,8;66,7;69,9;.;69,9
75 Lofoten;75;Lofoten;222;6;216;.;216;62,5;35,3;63,9;.;64,1;107;.;107;.;107;56,3;.;59,4;.;59,4;115;6;109;.;109;69,7;85,7;69;.;69,4
76 Vesterålen;76;Vesterålen;272;10;262;3;259;61,1;58,8;61,2;75;61,1;138;5;133;1;132;56,3;62,5;56,1;50;56,2;134;5;129;2;127;67;55,6;67,5;100;67,2
77 Sør-Troms;77;Sør-Troms;113;8;105;1;104;66,5;66,7;66,5;100;66,2;53;4;49;1;48;60,2;57,1;60,5;100;60;60;4;56;.;56;73,2;80;72,7;.;72,7
78 Midt-Troms;78;Midt-Troms;259;5;254;.;254;59,8;41,7;60,3;.;60,3;130;3;127;.;127;56,8;42,9;57,2;.;57,2;129;2;127;.;127;63,2;40;63,8;.;63,8
79 Tromsøregionen;79;Tromsøregionen;689;15;674;2;672;66,7;48,4;67,3;50;67,3;296;6;290;.;290;58,2;46,2;58,5;.;58,7;393;9;384;2;382;75;50;75,9;100;75,8
80 Nord-Troms;80;Nord-Troms;131;1;130;.;130;63,9;50;64;.;64;61;.;61;.;61;58,1;.;58,7;.;58,7;70;1;69;.;69;70;100;69,7;.;69,7
81 Vest-Finnmark;81;Vest-Finnmark;284;8;276;.;276;56,8;38,1;57,6;.;57,7;134;4;130;.;130;52,5;30,8;53,7;.;53,9;150;4;146;.;146;61,2;50;61,6;.;61,6
82 Midt-Finnmark;82;Midt-Finnmark;117;4;113;.;113;56;66,7;55,7;.;55,7;54;1;53;.;53;43,9;50;43,8;.;43,8;63;3;60;.;60;73,3;75;73,2;.;73,2
83 Øst-Finnmark;83;Øst-Finnmark;166;7;159;2;157;53,7;31,8;55,4;100;55,1;71;3;68;1;67;42,8;27,3;43,9;100;43,5;95;4;91;1;90;66,4;36,4;68,9;100;68,7
99 Uoppgitt;99;Uoppgitt;705;345;360;12;348;50,5;43,7;59,5;57,1;59,6;318;151;167;6;161;45,2;39,4;52,2;60;51,9;387;194;193;6;187;55,9;47,7;67,7;54,5;68,2
