kommune;kommune_nr;kommune_navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0512 Lesja;512;Lesja;24;4;20;:;20;100;16,7;83,3;       :;83,3;10;:;10;:;10;100;       :;100;       :;100;14;4;10;:;10;100;28,6;71,4;       :;71,4
0513 Skjåk;513;Skjåk;41;4;37;:;37;100;9,8;90,2;       :;90,2;17;       :;15;:;15;100;       :;88,2;       :;88,2;24;       :;22;:;22;100;       :;91,7;       :;91,7
0514 Lom;514;Lom;34;7;27;:;27;100;20,6;79,4;       :;79,4;17;       :;15;:;15;100;       :;88,2;       :;88,2;17;5;12;:;12;100;29,4;70,6;       :;70,6
0515 Vågå;515;Vågå;81;29;52;:;52;100;35,8;64,2;       :;64,2;39;15;24;:;24;100;38,5;61,5;       :;61,5;42;14;28;:;28;100;33,3;66,7;       :;66,7
0516 Nord-Fron;516;Nord-Fron;123;32;91;:;91;100;26;74;       :;74;58;20;38;:;38;100;34,5;65,5;       :;65,5;65;12;53;:;53;100;18,5;81,5;       :;81,5
0517 Sel;517;Sel;213;21;192;:;192;100;9,9;90,1;       :;90,1;104;8;96;:;96;100;7,7;92,3;       :;92,3;109;13;96;:;96;100;11,9;88,1;       :;88,1
0519 Sør-Fron;519;Sør-Fron;75;7;68;:;68;100;9,3;90,7;       :;90,7;37;4;33;:;33;100;10,8;89,2;       :;89,2;38;       :;35;:;35;100;       :;92,1;       :;92,1
0520 Ringebu;520;Ringebu;62;18;44;       :;43;100;29;71;       :;69,4;34;10;24;       :;23;100;29,4;70,6;       :;67,6;28;8;20;:;20;100;28,6;71,4;       :;71,4
0521 Øyer;521;Øyer;131;42;89;:;89;100;32,1;67,9;       :;67,9;79;27;52;:;52;100;34,2;65,8;       :;65,8;52;15;37;:;37;100;28,8;71,2;       :;71,2
0522 Gausdal;522;Gausdal;103;16;87;:;87;100;15,5;84,5;       :;84,5;54;9;45;:;45;100;16,7;83,3;       :;83,3;49;7;42;:;42;100;14,3;85,7;       :;85,7
0528 Østre Toten;528;Østre Toten;273;62;211;:;211;100;22,7;77,3;       :;77,3;133;30;103;:;103;100;22,6;77,4;       :;77,4;140;32;108;:;108;100;22,9;77,1;       :;77,1
0529 Vestre Toten;529;Vestre Toten;297;74;223;:;223;100;24,9;75,1;       :;75,1;159;36;123;:;123;100;22,6;77,4;       :;77,4;138;38;100;:;100;100;27,5;72,5;       :;72,5
0532 Jevnaker;532;Jevnaker;123;37;86;       :;85;100;30,1;69,9;       :;69,1;63;18;45;:;45;100;28,6;71,4;       :;71,4;60;19;41;       :;40;100;31,7;68,3;       :;66,7
0533 Lunner;533;Lunner;209;83;126;:;126;100;39,7;60,3;       :;60,3;116;47;69;:;69;100;40,5;59,5;       :;59,5;93;36;57;:;57;100;38,7;61,3;       :;61,3
0534 Gran;534;Gran;375;122;253;       :;252;100;32,5;67,5;       :;67,2;197;64;133;       :;132;100;32,5;67,5;       :;67;178;58;120;:;120;100;32,6;67,4;       :;67,4
0536 Søndre Land;536;Søndre Land;105;20;85;:;85;100;19;81;       :;81;57;11;46;:;46;100;19,3;80,7;       :;80,7;48;9;39;:;39;100;18,8;81,3;       :;81,3
0538 Nordre Land;538;Nordre Land;122;33;89;:;89;100;27;73;       :;73;56;16;40;:;40;100;28,6;71,4;       :;71,4;66;17;49;:;49;100;25,8;74,2;       :;74,2
0540 Sør-Aurdal;540;Sør-Aurdal;87;24;63;:;63;100;27,6;72,4;       :;72,4;46;14;32;:;32;100;30,4;69,6;       :;69,6;41;10;31;:;31;100;24,4;75,6;       :;75,6
0541 Etnedal;541;Etnedal;45;7;38;:;38;100;15,6;84,4;       :;84,4;26;4;22;:;22;100;15,4;84,6;       :;84,6;19;       :;16;:;16;100;       :;84,2;       :;84,2
0542 Nord-Aurdal;542;Nord-Aurdal;210;50;160;:;160;100;23,8;76,2;       :;76,2;109;24;85;:;85;100;22;78;       :;78;101;26;75;:;75;100;25,7;74,3;       :;74,3
0543 Vestre Slidre;543;Vestre Slidre;63;17;46;:;46;100;27;73;       :;73;36;15;21;:;21;100;41,7;58,3;       :;58,3;27;       :;25;:;25;100;       :;92,6;       :;92,6
0544 Øystre Slidre;544;Øystre Slidre;75;22;53;       :;51;100;29,3;70,7;       :;68;40;11;29;       :;27;100;27,5;72,5;       :;67,5;35;11;24;:;24;100;31,4;68,6;       :;68,6
0545 Vang;545;Vang;35;13;22;:;22;100;37,1;62,9;       :;62,9;19;7;12;:;12;100;36,8;63,2;       :;63,2;16;6;10;:;10;100;37,5;62,5;       :;62,5
0602 Drammen;602;Drammen;1952;1001;951;54;897;100;51,3;48,7;2,8;46;1013;490;523;26;497;100;48,4;51,6;2,6;49,1;939;511;428;28;400;100;54,4;45,6;3;42,6
0604 Kongsberg;604;Kongsberg;537;192;345;       :;342;100;35,8;64,2;       :;63,7;274;108;166;       :;165;100;39,4;60,6;       :;60,2;263;84;179;       :;177;100;31,9;68,1;       :;67,3
0605 Ringerike;605;Ringerike;917;264;653;8;645;100;28,8;71,2;0,9;70,3;505;137;368;6;362;100;27,1;72,9;1,2;71,7;412;127;285;       :;283;100;30,8;69,2;       :;68,7
0612 Hole;612;Hole;129;35;94;:;94;100;27,1;72,9;       :;72,9;65;21;44;:;44;100;32,3;67,7;       :;67,7;64;14;50;:;50;100;21,9;78,1;       :;78,1
0615 Flå;615;Flå;31;4;27;:;27;100;12,9;87,1;       :;87,1;15;:;15;:;15;100;       :;100;       :;100;16;4;12;:;12;100;25;75;       :;75
0616 Nes (Busk.);616;Nes (Busk.);81;24;57;:;57;100;29,6;70,4;       :;70,4;43;16;27;:;27;100;37,2;62,8;       :;62,8;38;8;30;:;30;100;21,1;78,9;       :;78,9
0617 Gol;617;Gol;15;5;10;:;10;100;33,3;66,7;       :;66,7;8;       :;5;:;5;100;       :;62,5;       :;62,5;7;       :;5;:;5;100;       :;71,4;       :;71,4
0618 Hemsedal;618;Hemsedal;56;28;28;:;28;100;50;50;       :;50;37;15;22;:;22;100;40,5;59,5;       :;59,5;19;13;6;:;6;100;68,4;31,6;       :;31,6
