Kommune nr & navn;kommune_nr;"Kommune
navn";flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting
Nedbrytninger;;;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Innvkat og v-reg;;;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
1449 Stryn;1449;Stryn;118;113;80;33;5;43;36;31;5;7;75;77;49;28;-2;171;36;19;17;135;236;69;33;36;167;-65;-33;-14;-19;-32;289;149;99;50;140;279;105;64;41;174;10;44;35;9;-34
1502 Molde;1502;Molde;323;293;150;143;30;138;102;56;46;36;185;191;94;97;-6;992;170;102;68;822;1131;242;138;104;889;-139;-72;-36;-36;-67;1315;463;252;211;852;1269;344;194;150;925;46;119;58;61;-73
1504 Ålesund;1504;Ålesund;865;802;556;246;63;254;191;162;29;63;611;611;394;217;0;2015;406;231;175;1609;2145;448;276;172;1697;-130;-42;-45;3;-88;2880;1208;787;421;1672;2399;639;438;201;1760;481;569;349;220;-88
1505 Kristiansund;1505;Kristiansund;351;320;219;101;31;111;91;69;22;20;240;229;150;79;11;874;163;71;92;711;847;178;83;95;669;27;-15;-12;-3;42;1225;483;290;193;742;958;269;152;117;689;267;214;138;76;53
1511 Vanylven;1511;Vanylven;20;20;17;3;0;12;12;12;0;0;8;8;5;3;0;56;8;3;5;48;81;6;3;3;75;-25;2;0;2;-27;76;28;20;8;48;93;18;15;3;75;-17;10;5;5;-27
1514 Sande (M. og R.);1514;Sande (M. og R.);74;71;67;4;3;30;30;30;0;0;44;41;37;4;3;92;32;28;4;60;114;47;43;4;67;-22;-15;-15;0;-7;166;103;95;8;63;144;77;73;4;67;22;26;22;4;-4
1515 Herøy (M. og R.);1515;Herøy (M. og R.);130;117;102;15;13;34;25;25;0;9;96;92;77;15;4;226;53;39;14;173;322;76;61;15;246;-96;-23;-22;-1;-73;356;170;141;29;186;356;101;86;15;255;0;69;55;14;-69
1516 Ulstein;1516;Ulstein;227;216;91;125;11;62;55;51;4;7;165;161;40;121;4;350;85;65;20;265;388;155;71;84;233;-38;-70;-6;-64;32;577;301;156;145;276;450;210;122;88;240;127;91;34;57;36
1517 Hareid;1517;Hareid;48;44;34;10;4;35;32;29;3;3;13;12;5;7;1;183;57;37;20;126;244;59;42;17;185;-61;-2;-5;3;-59;231;101;71;30;130;279;91;71;20;188;-48;10;0;10;-58
1519 Volda;1519;Volda;174;166;55;111;8;39;32;19;13;7;135;134;36;98;1;455;47;28;19;408;515;119;32;87;396;-60;-72;-4;-68;12;629;213;83;130;416;554;151;51;100;403;75;62;32;30;13
1520 Ørsta;1520;Ørsta;79;70;49;21;9;25;15;12;3;10;54;55;37;18;-1;301;53;29;24;248;311;43;24;19;268;-10;10;5;5;-20;380;123;78;45;257;336;58;36;22;278;44;65;42;23;-21
1523 Ørskog;1523;Ørskog;33;29;22;7;4;21;18;18;0;3;12;11;4;7;1;139;51;44;7;88;120;33;30;3;87;19;18;14;4;1;172;80;66;14;92;141;51;48;3;90;31;29;18;11;2
1524 Norddal;1524;Norddal;9;9;6;3;0;3;3;3;0;0;6;6;3;3;0;54;4;0;4;50;105;19;13;6;86;-51;-15;-13;-2;-36;63;13;6;7;50;108;22;16;6;86;-45;-9;-10;1;-36
1525 Stranda;1525;Stranda;77;73;66;7;4;19;16;13;3;3;58;57;53;4;1;109;20;11;9;89;165;38;32;6;127;-56;-18;-21;3;-38;186;93;77;16;93;184;54;45;9;130;2;39;32;7;-37
1526 Stordal;1526;Stordal;13;13;13;0;0;12;12;9;3;0;1;1;4;-3;0;37;10;10;0;27;54;21;16;5;33;-17;-11;-6;-5;-6;50;23;23;0;27;66;33;25;8;33;-16;-10;-2;-8;-6
1528 Sykkylven;1528;Sykkylven;87;76;54;22;11;20;12;12;0;8;67;64;42;22;3;188;51;32;19;137;209;33;20;13;176;-21;18;12;6;-39;275;127;86;41;148;229;45;32;13;184;46;82;54;28;-36
1529 Skodje;1529;Skodje;58;55;52;3;3;20;10;10;0;10;38;45;42;3;-7;232;42;35;7;190;206;31;28;3;175;26;11;7;4;15;290;97;87;10;193;226;41;38;3;185;64;56;49;7;8
1531 Sula;1531;Sula;115;106;89;17;9;25;21;18;3;4;90;85;71;14;5;422;92;61;31;330;314;63;49;14;251;108;29;12;17;79;537;198;150;48;339;339;84;67;17;255;198;114;83;31;84
1532 Giske;1532;Giske;80;71;53;18;9;23;17;14;3;6;57;54;39;15;3;375;93;72;21;282;280;72;47;25;208;95;21;25;-4;74;455;164;125;39;291;303;89;61;28;214;152;75;64;11;77
1534 Haram;1534;Haram;127;119;89;30;8;45;34;29;5;11;82;85;60;25;-3;306;47;27;20;259;359;88;61;27;271;-53;-41;-34;-7;-12;433;166;116;50;267;404;122;90;32;282;29;44;26;18;-15
1535 Vestnes;1535;Vestnes;119;110;25;85;9;43;30;25;5;13;76;80;0;80;-4;218;40;30;10;178;274;62;8;54;212;-56;-22;22;-44;-34;337;150;55;95;187;317;92;33;59;225;20;58;22;36;-38
1539 Rauma;1539;Rauma;76;66;56;10;10;22;15;15;0;7;54;51;41;10;3;202;21;15;6;181;230;26;13;13;204;-28;-5;2;-7;-23;278;87;71;16;191;252;41;28;13;211;26;46;43;3;-20
1543 Nesset;1543;Nesset;15;11;8;3;4;8;3;3;0;5;7;8;5;3;-1;102;10;4;6;92;98;17;13;4;81;4;-7;-9;2;11;117;21;12;9;96;106;20;16;4;86;11;1;-4;5;10
1545 Midsund;1545;Midsund;35;35;30;5;0;10;10;7;3;0;25;25;23;2;0;56;10;7;3;46;65;11;11;0;54;-9;-1;-4;3;-8;91;45;37;8;46;75;21;18;3;54;16;24;19;5;-8
1546 Sandøy;1546;Sandøy;21;18;18;0;3;9;9;6;3;0;12;9;12;-3;3;20;3;3;0;17;35;3;3;0;32;-15;0;0;0;-15;41;21;21;0;20;44;12;9;3;32;-3;9;12;-3;-12
1547 Aukra;1547;Aukra;41;37;34;3;4;21;17;17;0;4;20;20;17;3;0;149;22;17;5;127;133;22;19;3;111;16;0;-2;2;16;190;59;51;8;131;154;39;36;3;115;36;20;15;5;16
1548 Fræna;1548;Fræna;83;80;65;15;3;21;14;11;3;7;62;66;54;12;-4;397;55;35;20;342;389;62;42;20;327;8;-7;-7;0;15;480;135;100;35;345;410;76;53;23;334;70;59;47;12;11
1551 Eide;1551;Eide;19;14;9;5;5;15;15;12;3;0;4;-1;-3;2;5;136;33;24;9;103;154;13;8;5;141;-18;20;16;4;-38;155;47;33;14;108;169;28;20;8;141;-14;19;13;6;-33
1554 Averøy;1554;Averøy;46;43;35;8;3;27;18;18;0;9;19;25;17;8;-6;237;32;12;20;205;214;35;26;9;179;23;-3;-14;11;26;283;75;47;28;208;241;53;44;9;188;42;22;3;19;20
1557 Gjemnes;1557;Gjemnes;18;18;10;8;0;4;4;0;4;0;14;14;10;4;0;101;16;9;7;85;101;8;4;4;93;0;8;5;3;-8;119;34;19;15;85;105;12;4;8;93;14;22;15;7;-8
1560 Tingvoll;1560;Tingvoll;49;43;9;34;6;8;8;8;0;0;41;35;1;34;6;115;19;8;11;96;192;58;11;47;134;-77;-39;-3;-36;-38;164;62;17;45;102;200;66;19;47;134;-36;-4;-2;-2;-32
1563 Sunndal;1563;Sunndal;204;197;10;187;7;25;17;13;4;8;179;180;-3;183;-1;141;26;6;20;115;345;161;17;144;184;-204;-135;-11;-124;-69;345;223;16;207;122;370;178;30;148;192;-25;45;-14;59;-70
1566 Surnadal;1566;Surnadal;28;24;20;4;4;12;9;6;3;3;16;15;14;1;1;183;26;9;17;157;163;21;15;6;142;20;5;-6;11;15;211;50;29;21;161;175;30;21;9;145;36;20;8;12;16
1567 Rindal;1567;Rindal;3;3;3;0;0;3;3;3;0;0;0;0;0;0;0;41;0;0;0;41;57;3;0;3;54;-16;-3;0;-3;-13;44;3;3;0;41;60;6;3;3;54;-16;-3;0;-3;-13
1571 Halsa;1571;Halsa;10;10;7;3;0;5;5;5;0;0;5;5;2;3;0;46;10;10;0;36;59;4;4;0;55;-13;6;6;0;-19;56;20;17;3;36;64;9;9;0;55;-8;11;8;3;-19
1573 Smøla;1573;Smøla;21;18;15;3;3;3;3;3;0;0;18;15;12;3;3;53;3;3;0;50;66;10;7;3;56;-13;-7;-4;-3;-6;74;21;18;3;53;69;13;10;3;56;5;8;8;0;-3
1576 Aure;1576;Aure;38;33;22;11;5;10;7;3;4;3;28;26;19;7;2;123;23;11;12;100;140;27;16;11;113;-17;-4;-5;1;-13;161;56;33;23;105;150;34;19;15;116;11;22;14;8;-11
1601 Trondheim;1601;Trondheim;2804;2528;1524;1004;276;1879;1566;988;578;313;925;962;536;426;-37;8426;1072;475;597;7354;8207;1242;575;667;6965;219;-170;-100;-70;389;11230;3600;1999;1601;7630;10086;2808;1563;1245;7278;1144;792;436;356;352
1612 Hemne;1612;Hemne;64;61;10;51;3;3;3;3;0;0;61;58;7;51;3;116;13;8;5;103;182;75;17;58;107;-66;-62;-9;-53;-4;180;74;18;56;106;185;78;20;58;107;-5;-4;-2;-2;-1
1613 Snillfjord;1613;Snillfjord;3;3;3;0;0;3;3;0;3;0;0;0;3;-3;0;39;0;0;0;39;44;3;3;0;41;-5;-3;-3;0;-2;42;3;3;0;39;47;6;3;3;41;-5;-3;0;-3;-2
1617 Hitra;1617;Hitra;110;105;53;52;5;46;46;42;4;0;64;59;11;48;5;178;36;27;9;142;190;59;40;19;131;-12;-23;-13;-10;11;288;141;80;61;147;236;105;82;23;131;52;36;-2;38;16
1620 Frøya;1620;Frøya;119;114;102;12;5;37;31;31;0;6;82;83;71;12;-1;141;32;27;5;109;174;47;41;6;127;-33;-15;-14;-1;-18;260;146;129;17;114;211;78;72;6;133;49;68;57;11;-19
1621 Ørland;1621;Ørland;30;27;17;10;3;3;3;3;0;0;27;24;14;10;3;217;16;11;5;201;234;16;9;7;218;-17;0;2;-2;-17;247;43;28;15;204;237;19;12;7;218;10;24;16;8;-14
1622 Agdenes;1622;Agdenes;20;20;14;6;0;3;0;0;0;3;17;20;14;6;-3;76;13;9;4;63;53;3;3;0;50;23;10;6;4;13;96;33;23;10;63;56;3;3;0;53;40;30;20;10;10
1624 Rissa;1624;Rissa;44;41;34;7;3;36;30;27;3;6;8;11;7;4;-3;246;28;10;18;218;259;32;20;12;227;-13;-4;-10;6;-9;290;69;44;25;221;295;62;47;15;233;-5;7;-3;10;-12
1627 Bjugn;1627;Bjugn;31;25;19;6;6;3;3;0;3;0;28;22;19;3;6;207;36;30;6;171;191;16;6;10;175;16;20;24;-4;-4;238;61;49;12;177;194;19;6;13;175;44;42;43;-1;2
1630 Åfjord;1630;Åfjord;20;16;16;0;4;3;3;3;0;0;17;13;13;0;4;130;11;5;6;119;143;3;0;3;140;-13;8;5;3;-21;150;27;21;6;123;146;6;3;3;140;4;21;18;3;-17
1632 Roan;1632;Roan;12;12;12;0;0;3;0;0;0;3;9;12;12;0;-3;40;6;6;0;34;47;3;0;3;44;-7;3;6;-3;-10;52;18;18;0;34;50;3;0;3;47;2;15;18;-3;-13
1633 Osen;1633;Osen;5;5;5;0;0;0;0;0;0;0;5;5;5;0;0;27;0;0;0;27;40;9;9;0;31;-13;-9;-9;0;-4;32;5;5;0;27;40;9;9;0;31;-8;-4;-4;0;-4
1634 Oppdal;1634;Oppdal;51;44;41;3;7;19;16;13;3;3;32;28;28;0;4;214;36;21;15;178;228;35;18;17;193;-14;1;3;-2;-15;265;80;62;18;185;247;51;31;20;196;18;29;31;-2;-11
1635 Rennebu;1635;Rennebu;15;11;8;3;4;6;6;3;3;0;9;5;5;0;4;120;10;6;4;110;90;9;6;3;81;30;1;0;1;29;135;21;14;7;114;96;15;9;6;81;39;6;5;1;33
1636 Meldal;1636;Meldal;18;18;15;3;0;3;3;3;0;0;15;15;12;3;0;182;54;50;4;128;193;18;10;8;175;-11;36;40;-4;-47;200;72;65;7;128;196;21;13;8;175;4;51;52;-1;-47
1638 Orkdal;1638;Orkdal;54;36;15;21;18;32;22;14;8;10;22;14;1;13;8;483;65;33;32;418;451;43;20;23;408;32;22;13;9;10;537;101;48;53;436;483;65;34;31;418;54;36;14;22;18
1640 Røros;1640;Røros;32;26;26;0;6;17;7;7;0;10;15;19;19;0;-4;195;28;19;9;167;192;19;15;4;173;3;9;4;5;-6;227;54;45;9;173;209;26;22;4;183;18;28;23;5;-10
1644 Holtålen;1644;Holtålen;8;8;8;0;0;3;3;3;0;0;5;5;5;0;0;48;6;3;3;42;42;0;0;0;42;6;6;3;3;0;56;14;11;3;42;45;3;3;0;42;11;11;8;3;0
1648 Midtre Gauldal;1648;Midtre Gauldal;111;108;104;4;3;36;33;33;0;3;75;75;71;4;0;211;32;20;12;179;195;30;21;9;165;16;2;-1;3;14;322;140;124;16;182;231;63;54;9;168;91;77;70;7;14
1653 Melhus;1653;Melhus;131;117;81;36;14;72;52;48;4;20;59;65;33;32;-6;821;136;112;24;685;830;203;153;50;627;-9;-67;-41;-26;58;952;253;193;60;699;902;255;201;54;647;50;-2;-8;6;52
1657 Skaun;1657;Skaun;44;40;29;11;4;10;6;6;0;4;34;34;23;11;0;578;77;60;17;501;411;29;22;7;382;167;48;38;10;119;622;117;89;28;505;421;35;28;7;386;201;82;61;21;119
1662 Klæbu;1662;Klæbu;23;20;15;5;3;12;7;7;0;5;11;13;8;5;-2;381;64;54;10;317;384;23;20;3;361;-3;41;34;7;-44;404;84;69;15;320;396;30;27;3;366;8;54;42;12;-46
1663 Malvik;1663;Malvik;133;110;89;21;23;51;29;25;4;22;82;81;64;17;1;854;108;73;35;746;745;111;80;31;634;109;-3;-7;4;112;987;218;162;56;769;796;140;105;35;656;191;78;57;21;113
1664 Selbu;1664;Selbu;15;15;12;3;0;12;9;9;0;3;3;6;3;3;-3;159;10;7;3;149;154;12;9;3;142;5;-2;-2;0;7;174;25;19;6;149;166;21;18;3;145;8;4;1;3;4
1665 Tydal;1665;Tydal;3;3;3;0;0;0;0;0;0;0;3;3;3;0;0;26;6;3;3;20;40;3;3;0;37;-14;3;0;3;-17;29;9;6;3;20;40;3;3;0;37;-11;6;3;3;-17
1702 Steinkjer;1702;Steinkjer;251;232;101;131;19;75;49;39;10;26;176;183;62;121;-7;721;75;30;45;646;784;159;54;105;625;-63;-84;-24;-60;21;972;307;131;176;665;859;208;93;115;651;113;99;38;61;14
1703 Namsos;1703;Namsos;159;147;27;120;12;30;14;8;6;16;129;133;19;114;-4;502;71;25;46;431;588;145;14;131;443;-86;-74;11;-85;-12;661;218;52;166;443;618;159;22;137;459;43;59;30;29;-16
1711 Meråker;1711;Meråker;61;49;7;42;12;0;0;0;0;0;61;49;7;42;12;106;23;6;17;83;121;50;5;45;71;-15;-27;1;-28;12;167;72;13;59;95;121;50;5;45;71;46;22;8;14;24
1714 Stjørdal;1714;Stjørdal;154;133;71;62;21;58;38;23;15;20;96;95;48;47;1;950;148;63;85;802;833;92;48;44;741;117;56;15;41;61;1104;281;134;147;823;891;130;71;59;761;213;151;63;88;62
1717 Frosta;1717;Frosta;19;14;11;3;5;11;11;11;0;0;8;3;0;3;5;105;0;0;0;105;92;8;8;0;84;13;-8;-8;0;21;124;14;11;3;110;103;19;19;0;84;21;-5;-8;3;26
1718 Leksvik;1718;Leksvik;25;25;10;15;0;0;0;0;0;0;25;25;10;15;0;118;21;6;15;97;125;6;3;3;119;-7;15;3;12;-22;143;46;16;30;97;125;6;3;3;119;18;40;13;27;-22
1719 Levanger;1719;Levanger;195;171;93;78;24;83;60;46;14;23;112;111;47;64;1;747;105;37;68;642;791;100;27;73;691;-44;5;10;-5;-49;942;276;130;146;666;874;160;73;87;714;68;116;57;59;-48
1721 Verdal;1721;Verdal;123;109;68;41;14;36;28;22;6;8;87;81;46;35;6;641;261;226;35;380;515;135;99;36;380;126;126;127;-1;0;764;370;294;76;394;551;163;121;42;388;213;207;173;34;6
1724 Verran;1724;Verran;30;26;20;6;4;42;36;33;3;6;-12;-10;-13;3;-2;117;35;15;20;82;376;283;271;12;93;-259;-248;-256;8;-11;147;61;35;26;86;418;319;304;15;99;-271;-258;-269;11;-13
1725 Namdalseid;1725;Namdalseid;6;6;3;3;0;3;0;0;0;3;3;6;3;3;-3;59;5;5;0;54;70;0;0;0;70;-11;5;5;0;-16;65;11;8;3;54;73;0;0;0;73;-8;11;8;3;-19
1736 Snåsa;1736;Snåsa;3;3;0;3;0;4;0;0;0;4;-1;3;0;3;-4;62;8;0;8;54;48;4;4;0;44;14;4;-4;8;10;65;11;0;11;54;52;4;4;0;48;13;7;-4;11;6
1738 Lierne;1738;Lierne;15;8;8;0;7;8;8;8;0;0;7;0;0;0;7;24;3;3;0;21;40;3;3;0;37;-16;0;0;0;-16;39;11;11;0;28;48;11;11;0;37;-9;0;0;0;-9
1739 Røyrvik;1739;Røyrvik;5;5;5;0;0;8;0;0;0;8;-3;5;5;0;-8;16;0;0;0;16;19;0;0;0;19;-3;0;0;0;-3;21;5;5;0;16;27;0;0;0;27;-6;5;5;0;-11
1740 Namsskogan;1740;Namsskogan;3;3;3;0;0;0;0;0;0;0;3;3;3;0;0;49;5;5;0;44;32;0;0;0;32;17;5;5;0;12;52;8;8;0;44;32;0;0;0;32;20;8;8;0;12
1742 Grong;1742;Grong;106;101;7;94;5;12;9;9;0;3;94;92;-2;94;2;85;13;7;6;72;201;110;7;103;91;-116;-97;0;-97;-19;191;114;14;100;77;213;119;16;103;94;-22;-5;-2;-3;-17
1743 Høylandet;1743;Høylandet;7;7;7;0;0;3;3;3;0;0;4;4;4;0;0;26;3;3;0;23;37;0;0;0;37;-11;3;3;0;-14;33;10;10;0;23;40;3;3;0;37;-7;7;7;0;-14
1744 Overhalla;1744;Overhalla;43;34;22;12;9;12;9;9;0;3;31;25;13;12;6;165;26;14;12;139;158;25;15;10;133;7;1;-1;2;6;208;60;36;24;148;170;34;24;10;136;38;26;12;14;12
1748 Fosnes;1748;Fosnes;3;3;3;0;0;7;7;7;0;0;-4;-4;-4;0;0;21;3;3;0;18;43;4;4;0;39;-22;-1;-1;0;-21;24;6;6;0;18;50;11;11;0;39;-26;-5;-5;0;-21
1749 Flatanger;1749;Flatanger;13;10;10;0;3;8;5;5;0;3;5;5;5;0;0;22;0;0;0;22;55;10;10;0;45;-33;-10;-10;0;-23;35;10;10;0;25;63;15;15;0;48;-28;-5;-5;0;-23
1750 Vikna;1750;Vikna;33;28;9;19;5;10;10;7;3;0;23;18;2;16;5;190;30;13;17;160;202;22;12;10;180;-12;8;1;7;-20;223;58;22;36;165;212;32;19;13;180;11;26;3;23;-15
1751 Nærøy;1751;Nærøy;33;33;16;17;0;16;10;6;4;6;17;23;10;13;-6;189;29;6;23;160;221;20;11;9;201;-32;9;-5;14;-41;222;62;22;40;160;237;30;17;13;207;-15;32;5;27;-47
1755 Leka;1755;Leka;3;3;3;0;0;0;0;0;0;0;3;3;3;0;0;15;0;0;0;15;28;3;3;0;25;-13;-3;-3;0;-10;18;3;3;0;15;28;3;3;0;25;-10;0;0;0;-10
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);56;49;28;21;7;24;17;7;10;7;32;32;21;11;0;294;28;20;8;266;314;32;22;10;282;-20;-4;-2;-2;-16;350;77;48;29;273;338;49;29;20;289;12;28;19;9;-16
1804 Bodø;1804;Bodø;676;587;287;300;89;185;141;52;89;44;491;446;235;211;45;1667;223;101;122;1444;1888;322;104;218;1566;-221;-99;-3;-96;-122;2343;810;388;422;1533;2073;463;156;307;1610;270;347;232;115;-77
1805 Narvik;1805;Narvik;354;323;152;171;31;79;73;24;49;6;275;250;128;122;25;660;122;47;75;538;747;173;48;125;574;-87;-51;-1;-50;-36;1014;445;199;246;569;826;246;72;174;580;188;199;127;72;-11
1811 Bindal;1811;Bindal;9;5;5;0;4;3;3;3;0;0;6;2;2;0;4;45;3;3;0;42;78;3;3;0;75;-33;0;0;0;-33;54;8;8;0;46;81;6;6;0;75;-27;2;2;0;-29
1812 Sømna;1812;Sømna;17;14;3;11;3;0;0;0;0;0;17;14;3;11;3;86;14;4;10;72;81;3;0;3;78;5;11;4;7;-6;103;28;7;21;75;81;3;0;3;78;22;25;7;18;-3
1813 Brønnøy;1813;Brønnøy;40;37;18;19;3;19;11;8;3;8;21;26;10;16;-5;281;38;16;22;243;294;30;17;13;264;-13;8;-1;9;-21;321;75;34;41;246;313;41;25;16;272;8;34;9;25;-26
1815 Vega;1815;Vega;3;3;0;3;0;0;0;0;0;0;3;3;0;3;0;41;0;0;0;41;46;3;3;0;43;-5;-3;-3;0;-2;44;3;0;3;41;46;3;3;0;43;-2;0;-3;3;-2
1816 Vevelstad;1816;Vevelstad;3;3;0;3;0;3;3;0;3;0;0;0;0;0;0;18;0;0;0;18;19;0;0;0;19;-1;0;0;0;-1;21;3;0;3;18;22;3;0;3;19;-1;0;0;0;-1
1818 Herøy (Nordl.);1818;Herøy (Nordl.);32;29;23;6;3;7;3;3;0;4;25;26;20;6;-1;43;3;3;0;40;86;35;28;7;51;-43;-32;-25;-7;-11;75;32;26;6;43;93;38;31;7;55;-18;-6;-5;-1;-12
1820 Alstahaug;1820;Alstahaug;140;136;46;90;4;30;20;11;9;10;110;116;35;81;-6;301;34;8;26;267;391;103;14;89;288;-90;-69;-6;-63;-21;441;170;54;116;271;421;123;25;98;298;20;47;29;18;-27
1822 Leirfjord;1822;Leirfjord;21;21;6;15;0;3;3;3;0;0;18;18;3;15;0;134;37;6;31;97;114;28;6;22;86;20;9;0;9;11;155;58;12;46;97;117;31;9;22;86;38;27;3;24;11
1824 Vefsn;1824;Vefsn;114;106;40;66;8;20;16;13;3;4;94;90;27;63;4;354;44;17;27;310;421;84;22;62;337;-67;-40;-5;-35;-27;468;150;57;93;318;441;100;35;65;341;27;50;22;28;-23
1825 Grane;1825;Grane;12;9;6;3;3;3;3;3;0;0;9;6;3;3;3;53;3;0;3;50;55;3;0;3;52;-2;0;0;0;-2;65;12;6;6;53;58;6;3;3;52;7;6;3;3;1
1826 Hattfjelldal;1826;Hattfjelldal;74;70;3;67;4;3;3;0;3;0;71;67;3;64;4;27;3;0;3;24;70;42;9;33;28;-43;-39;-9;-30;-4;101;73;3;70;28;73;45;9;36;28;28;28;-6;34;0
1827 Dønna;1827;Dønna;15;11;7;4;4;0;0;0;0;0;15;11;7;4;4;56;5;5;0;51;65;12;9;3;53;-9;-7;-4;-3;-2;71;16;12;4;55;65;12;9;3;53;6;4;3;1;2
1828 Nesna;1828;Nesna;91;84;11;73;7;7;4;4;0;3;84;80;7;73;4;124;21;5;16;103;174;68;10;58;106;-50;-47;-5;-42;-3;215;105;16;89;110;181;72;14;58;109;34;33;2;31;1
1832 Hemnes;1832;Hemnes;23;18;11;7;5;18;10;7;3;8;5;8;4;4;-3;122;14;10;4;108;182;28;3;25;154;-60;-14;7;-21;-46;145;32;21;11;113;200;38;10;28;162;-55;-6;11;-17;-49
1833 Rana;1833;Rana;230;212;104;108;18;47;26;16;10;21;183;186;88;98;-3;616;97;31;66;519;628;114;50;64;514;-12;-17;-19;2;5;846;309;135;174;537;675;140;66;74;535;171;169;69;100;2
1834 Lurøy;1834;Lurøy;20;16;11;5;4;6;6;3;3;0;14;10;8;2;4;70;3;3;0;67;101;3;3;0;98;-31;0;0;0;-31;90;19;14;5;71;107;9;6;3;98;-17;10;8;2;-27
1835 Træna;1835;Træna;14;14;11;3;0;9;9;9;0;0;5;5;2;3;0;19;3;3;0;16;34;8;4;4;26;-15;-5;-1;-4;-10;33;17;14;3;16;43;17;13;4;26;-10;0;1;-1;-10
1836 Rødøy;1836;Rødøy;19;15;10;5;4;6;3;3;0;3;13;12;7;5;1;43;3;3;0;40;61;9;6;3;52;-18;-6;-3;-3;-12;62;18;13;5;44;67;12;9;3;55;-5;6;4;2;-11
1837 Meløy;1837;Meløy;60;55;34;21;5;20;12;9;3;8;40;43;25;18;-3;186;23;7;16;163;285;26;11;15;259;-99;-3;-4;1;-96;246;78;41;37;168;305;38;20;18;267;-59;40;21;19;-99
1838 Gildeskål;1838;Gildeskål;27;24;13;11;3;6;6;3;3;0;21;18;10;8;3;104;23;7;16;81;96;10;5;5;86;8;13;2;11;-5;131;47;20;27;84;102;16;8;8;86;29;31;12;19;-2
