"aar","fylke_id","tilskudd_til_kommuner","enhet","tabellvariabel","tabell_navn","kommune_id","5","samf_tilsk","naringsregion_id"
"2011","14","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","14","em_tilsk","kroner","5844556.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","14","barnehage_tilsk","kroner","455400.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","14","eldre_tilsk","kroner","408100.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","14","skole_tilsk","kroner","1340400.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","15","totalt","kroner","198550097.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","15","inttilsk_1-5","kroner","172604650.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","15","inttilsk_1","kroner","51200000.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","15","inttilsk_2-5","kroner","121404650.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","15","funkhem","kroner","8261087.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","15","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","15","em_tilsk","kroner","13810260.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","15","barnehage_tilsk","kroner","683100.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","15","eldre_tilsk","kroner","277400.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","15","skole_tilsk","kroner","2913600.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","16","totalt","kroner","257710956.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","16","inttilsk_1-5","kroner","209723550.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","16","inttilsk_1","kroner","59542500.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","16","inttilsk_2-5","kroner","150181050.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","16","funkhem","kroner","28314973.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","16","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","16","em_tilsk","kroner","15194733.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","16","barnehage_tilsk","kroner","579600.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","16","eldre_tilsk","kroner","828200.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","16","skole_tilsk","kroner","3069900.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","17","totalt","kroner","176353910.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","17","inttilsk_1-5","kroner","158383250.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","17","inttilsk_1","kroner","49300000.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","17","inttilsk_2-5","kroner","109083250.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","17","funkhem","kroner","2293474.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","17","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","17","em_tilsk","kroner","12533586.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","17","barnehage_tilsk","kroner","538200.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","17","eldre_tilsk","kroner","277400.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","17","skole_tilsk","kroner","2328000.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","18","totalt","kroner","372343493.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","18","inttilsk_1-5","kroner","325354250.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","18","inttilsk_1","kroner","97951000.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","18","inttilsk_2-5","kroner","227403250.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","18","funkhem","kroner","12066871.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","18","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","18","em_tilsk","kroner","26953672.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","18","barnehage_tilsk","kroner","1366200.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","18","eldre_tilsk","kroner","958900.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","18","skole_tilsk","kroner","5643600.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","19","totalt","kroner","188594900.70","tilskudd","NULL","NULL","NULL","NULL"
"2011","19","inttilsk_1-5","kroner","170131132.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","19","inttilsk_1","kroner","51839732.65","tilskudd","NULL","NULL","NULL","NULL"
"2011","19","inttilsk_2-5","kroner","118291400.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","19","funkhem","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","19","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","19","em_tilsk","kroner","15076768.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","19","barnehage_tilsk","kroner","414000.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","19","eldre_tilsk","kroner","550800.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","19","skole_tilsk","kroner","2422200.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","20","totalt","kroner","133926349.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","20","inttilsk_1-5","kroner","110395675.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","20","inttilsk_1","kroner","33644500.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","20","inttilsk_2-5","kroner","76751175.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","20","funkhem","kroner","3255885.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","20","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","20","em_tilsk","kroner","17959589.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","20","barnehage_tilsk","kroner","227700.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","20","eldre_tilsk","kroner","138700.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","20","skole_tilsk","kroner","1948800.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","99","totalt","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","99","inttilsk_1-5","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","99","inttilsk_1","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","99","inttilsk_2-5","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","99","funkhem","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","99","norsk-samf_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","99","em_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","99","barnehage_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","99","eldre_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","99","skole_tilsk","kroner","0.00","tilskudd","NULL","NULL","NULL","NULL"
"2011","NULL","totalt","kroner","29715819.00","tilskudd","0104","NULL","NULL","NULL"
"2011","NULL","inttilsk_1","kroner","26066000.00","tilskudd","0104",,"NULL","NULL"
"2011","NULL","inttilsk_1","kroner","7322500.00","tilskudd","0104","NULL","NULL","NULL"
"2011","NULL","inttilsk_2","kroner","18743500.00","tilskudd","0104",,"NULL","NULL"
"2011","NULL","funkhem","kroner","622000.00","tilskudd","0104","NULL","NULL","NULL"
"2011","NULL","norsk","kroner","0.00","tilskudd","0104","NULL",,"NULL"
"2011","NULL","em_tilsk","kroner","2398019.00","tilskudd","0104","NULL","NULL","NULL"
"2011","NULL","barnehage_tilsk","kroner","62100.00","tilskudd","0104","NULL","NULL","NULL"
"2011","NULL","eldre_tilsk","kroner","138700.00","tilskudd","0104","NULL","NULL","NULL"
"2011","NULL","skole_tilsk","kroner","429000.00","tilskudd","0104","NULL","NULL","NULL"
"2011","NULL","totalt","kroner","46163744.00","tilskudd","0105","NULL","NULL","NULL"
"2011","NULL","inttilsk_1","kroner","41316500.00","tilskudd","0105",,"NULL","NULL"
"2011","NULL","inttilsk_1","kroner","14280000.00","tilskudd","0105","NULL","NULL","NULL"
"2011","NULL","inttilsk_2","kroner","27036500.00","tilskudd","0105",,"NULL","NULL"
"2011","NULL","funkhem","kroner","2082448.00","tilskudd","0105","NULL","NULL","NULL"
"2011","NULL","norsk","kroner","0.00","tilskudd","0105","NULL",,"NULL"
"2011","NULL","em_tilsk","kroner","1350996.00","tilskudd","0105","NULL","NULL","NULL"
"2011","NULL","barnehage_tilsk","kroner","124200.00","tilskudd","0105","NULL","NULL","NULL"
"2011","NULL","eldre_tilsk","kroner","412100.00","tilskudd","0105","NULL","NULL","NULL"
"2011","NULL","skole_tilsk","kroner","877500.00","tilskudd","0105","NULL","NULL","NULL"
"2011","NULL","totalt","kroner","46094634.00","tilskudd","0106","NULL","NULL","NULL"
"2011","NULL","inttilsk_1","kroner","40939400.00","tilskudd","0106",,"NULL","NULL"
"2011","NULL","inttilsk_1","kroner","8365000.00","tilskudd","0106","NULL","NULL","NULL"
"2011","NULL","inttilsk_2","kroner","32574400.00","tilskudd","0106",,"NULL","NULL"
"2011","NULL","funkhem","kroner","2408080.00","tilskudd","0106","NULL","NULL","NULL"
"2011","NULL","norsk","kroner","0.00","tilskudd","0106","NULL",,"NULL"
"2011","NULL","em_tilsk","kroner","1794654.00","tilskudd","0106","NULL","NULL","NULL"
"2011","NULL","barnehage_tilsk","kroner","82800.00","tilskudd","0106","NULL","NULL","NULL"
"2011","NULL","eldre_tilsk","kroner","0.00","tilskudd","0106","NULL","NULL","NULL"
"2011","NULL","skole_tilsk","kroner","869700.00","tilskudd","0106","NULL","NULL","NULL"
"2011","NULL","totalt","kroner","8005646.00","tilskudd","0111","NULL","NULL","NULL"
"2011","NULL","inttilsk_1","kroner","5070000.00","tilskudd","0111",,"NULL","NULL"
