Kommune nr & navn;kommune_nr;"Kommune
navn";botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2
Todelt verdensregion;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
1114 Bjerkreim;1114;Bjerkreim;243;106;82;55;0;191;90;70;31;0;52;16;12;24;0
1119 Hå;1119;Hå;2267;1268;622;377;0;1612;1027;467;118;0;655;241;155;259;0
1120 Klepp;1120;Klepp;2097;1034;568;495;0;1375;788;379;208;0;722;246;189;287;0
1121 Time;1121;Time;1644;702;486;456;0;900;464;252;184;0;744;238;234;272;0
1122 Gjesdal;1122;Gjesdal;1213;576;307;330;0;861;434;232;195;0;352;142;75;135;0
1124 Sola;1124;Sola;3741;1820;831;1090;0;2238;1229;504;505;0;1503;591;327;585;0
1127 Randaberg;1127;Randaberg;1000;482;237;281;0;627;313;163;151;0;373;169;74;130;0
1129 Forsand;1129;Forsand;101;40;40;21;0;81;31;37;13;0;20;9;3;8;0
1130 Strand;1130;Strand;1067;509;239;319;0;584;281;162;141;0;483;228;77;178;0
1133 Hjelmeland;1133;Hjelmeland;429;256;98;75;0;286;180;62;44;0;143;76;36;31;0
1134 Suldal;1134;Suldal;348;184;78;86;0;217;102;62;53;0;131;82;16;33;0
1135 Sauda;1135;Sauda;330;186;76;68;0;183;85;59;39;0;147;101;17;29;0
1141 Finnøy;1141;Finnøy;353;201;107;45;0;321;190;101;30;0;32;11;6;15;0
1142 Rennesøy;1142;Rennesøy;491;284;125;82;0;383;225;100;58;0;108;59;25;24;0
1144 Kvitsøy;1144;Kvitsøy;41;24;11;6;0;27;13;8;6;0;14;11;3;0;0
1145 Bokn;1145;Bokn;81;55;12;14;0;66;43;12;11;0;15;12;0;3;0
1146 Tysvær;1146;Tysvær;749;376;195;178;0;421;219;117;85;0;328;157;78;93;0
1149 Karmøy;1149;Karmøy;3447;1462;916;1069;0;2120;1015;592;513;0;1327;447;324;556;0
1151 Utsira;1151;Utsira;15;8;4;3;0;7;3;4;0;0;8;5;0;3;0
1160 Vindafjord;1160;Vindafjord;1010;669;211;130;0;799;542;172;85;0;211;127;39;45;0
1201 Bergen;1201;Bergen;36258;16592;7570;12096;0;18328;10643;3940;3745;0;17930;5949;3630;8351;0
1211 Etne;1211;Etne;391;229;85;77;0;336;205;75;56;0;55;24;10;21;0
1216 Sveio;1216;Sveio;446;231;118;97;0;281;153;71;57;0;165;78;47;40;0
1219 Bømlo;1219;Bømlo;1058;567;266;225;0;601;343;154;104;0;457;224;112;121;0
1221 Stord;1221;Stord;1757;844;462;451;0;955;512;237;206;0;802;332;225;245;0
1222 Fitjar;1222;Fitjar;180;104;35;41;0;143;87;30;26;0;37;17;5;15;0
1223 Tysnes;1223;Tysnes;207;96;66;45;0;167;79;56;32;0;40;17;10;13;0
