kommunenr.kommunenavn;kommune_nr;"Kommune
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1.5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2.5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk.samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
0617 Gol;617;Gol;5185400,00;5080400,00;1610000,00;3470400,00;0,00;0,00;0,00;0,00;0,00;105000,00
0618 Hemsedal;618;Hemsedal;3503169,00;3133500,00;200000,00;2933500,00;317169,00;0,00;0,00;0,00;0,00;52500,00
0619 Ål;619;Ål;3973602,00;3171500,00;150000,00;3021500,00;0,00;0,00;728602,00;0,00;0,00;73500,00
0620 Hol;620;Hol;4939692,00;4681000,00;1457500,00;3223500,00;0,00;0,00;164192,00;0,00;0,00;94500,00
0621 Sigdal;621;Sigdal;2109255,00;806000,00;0,00;806000,00;1127611,00;0,00;123144,00;0,00;0,00;52500,00
0622 Krødsherad;622;Krødsherad;661000,00;640000,00;0,00;640000,00;0,00;0,00;0,00;0,00;0,00;21000,00
0623 Modum;623;Modum;12289666,00;10696500,00;2515000,00;8181500,00;0,00;0,00;1467466,00;20700,00;0,00;105000,00
0624 Øvre Eiker;624;Øvre Eiker;11727648,00;11414500,00;3297500,00;8117000,00;0,00;0,00;41048,00;62100,00;0,00;210000,00
0625 Nedre Eiker;625;Nedre Eiker;13777086,00;12951500,00;4130000,00;8821500,00;0,00;0,00;543886,00;124200,00;0,00;157500,00
0626 Lier;626;Lier;26155154,50;23933900,00;5406000,00;18527900,00;0,00;0,00;1740054,50;124200,00;0,00;357000,00
0627 Røyken;627;Røyken;13007985,00;11814500,00;4020000,00;7794500,00;638541,00;0,00;123144,00;62100,00;138700,00;231000,00
0628 Hurum;628;Hurum;12296696,00;11331000,00;4260000,00;7071000,00;150900,00;0,00;595196,00;62100,00;0,00;157500,00
0631 Flesberg;631;Flesberg;4437599,00;4086000,00;1460000,00;2626000,00;278099,00;0,00;0,00;0,00;0,00;73500,00
0632 Rollag;632;Rollag;1883800,00;1780000,00;1780000,00;0,00;0,00;0,00;0,00;82800,00;0,00;21000,00
