Kommune nr & navn;kommune_nr;"Kmmune
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0415 Løten;415;Løten;213;11;202;.;202;64,4;61,1;64,5;.;64,5;89;6;83;.;83;56,7;60;56,5;.;56,5;124;5;119;.;119;71,3;62,5;71,7;.;71,7
0417 Stange;417;Stange;540;26;514;6;508;70,6;61,9;71,1;75;71;236;9;227;3;224;62,1;47,4;62,9;75;62,7;304;17;287;3;284;79;73,9;79,3;75;79,3
0418 Nord-Odal;418;Nord-Odal;136;4;132;.;132;71,2;100;70,6;.;71;69;2;67;.;67;70,4;100;69,8;.;70,5;67;2;65;.;65;72;100;71,4;.;71,4
0419 Sør-Odal;419;Sør-Odal;198;3;195;1;194;63,3;60;63,3;100;63,2;87;1;86;.;86;54,4;33,3;54,8;.;54,8;111;2;109;1;108;72,5;100;72,2;100;72
0420 Eidskog;420;Eidskog;146;7;139;1;138;58,4;43,8;59,4;100;59,2;75;3;72;1;71;54,7;50;55;100;54,6;71;4;67;.;67;62,8;40;65;.;65
0423 Grue;423;Grue;110;5;105;.;105;66,7;71,4;66,5;.;66,5;60;2;58;.;58;64,5;50;65,2;.;65,2;50;3;47;.;47;69,4;100;68,1;.;68,1
0425 Åsnes;425;Åsnes;188;4;184;1;183;63,1;57,1;63,2;100;63,1;86;2;84;.;84;55,5;100;54,9;.;54,9;102;2;100;1;99;71,3;40;72,5;100;72,3
0426 Våler;426;Våler;80;.;80;.;80;62,5;.;63,5;.;63,5;37;.;37;.;37;62,7;.;63,8;.;63,8;43;.;43;.;43;62,3;.;63,2;.;63,2
0427 Elverum;427;Elverum;527;24;503;3;500;68;45,3;69,7;75;69,6;241;9;232;1;231;62,9;39,1;64,4;100;64,3;286;15;271;2;269;73;50;74,9;66,7;74,9
0428 Trysil;428;Trysil;169;4;165;.;165;68,4;50;69;.;69;68;.;68;.;68;56,7;.;58,1;.;58,1;101;4;97;.;97;79,5;80;79,5;.;79,5
0429 Åmot;429;Åmot;87;3;84;.;84;60,8;60;60,9;.;60,9;42;.;42;.;42;56;.;57,5;.;57,5;45;3;42;.;42;66,2;100;64,6;.;64,6
0430 Stor-Elvdal;430;Stor-Elvdal;73;3;70;1;69;74,5;75;74,5;100;74,2;31;1;30;.;30;68,9;50;69,8;.;69,8;42;2;40;1;39;79,2;100;78,4;100;78
0432 Rendalen;432;Rendalen;46;.;46;.;46;58,2;.;59,7;.;59,7;19;.;19;.;19;50;.;51,4;.;51,4;27;.;27;.;27;65,9;.;67,5;.;67,5
0434 Engerdal;434;Engerdal;37;1;36;.;36;63,8;25;66,7;.;66,7;15;.;15;.;15;53,6;.;55,6;.;55,6;22;1;21;.;21;73,3;33,3;77,8;.;77,8
