kommune_nr-kommunenavn;kommune_nr;kommunenavn;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.alle
;;;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_spesialund;undervisning_grskole.grskole_og_spesial
nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.personer;enhet.personer
0817 Drangedal;817;Drangedal;2;100;0;0;2;100;0;2;0
0819 Nome;819;Nome;7;100;3;42,9;4;57,14285714;3;4;0
0821 Bø (Telemark);821;Bø (Telem.);36;100;27;75;9;25;27;9;0
0822 Sauherad;822;Sauherad;8;100;6;75;2;25;6;2;0
0826 Tinn;826;Tinn;20;100;20;100;0;0;20;0;0
0827 Hjartdal;827;Hjartdal;0;100;0;0;0;.;0;0;0
0828 Seljord;828;Seljord;0;100;0;0;0;.;0;0;0
0829 Kviteseid;829;Kviteseid;5;100;0;0;5;100;0;5;0
0830 Nissedal;830;Nissedal;6;100;3;50;3;50;3;3;0
0831 Fyresdal;831;Fyresdal;0;100;0;0;0;.;0;0;0
0833 Tokke;833;Tokke;0;100;0;0;0;.;0;0;0
0834 Vinje;834;Vinje;14;100;14;100;0;0;14;0;0
0901 Risør;901;Risør;38;100;31;81,6;7;18,42105263;30;8;0
0904 Grimstad;904;Grimstad;62;100;42;67,7;20;32,25806452;40;22;0
0906 Arendal;906;Arendal;177;100;130;73,4;47;26,55367232;129;48;0
0911 Gjerstad;911;Gjerstad;0;100;0;0;0;.;0;0;0
0912 Vegårshei;912;Vegårshei;0;100;0;0;0;.;0;0;0
0914 Tvedestrand;914;Tvedestrand;0;100;0;0;0;.;0;0;0
0919 Froland;919;Froland;6;100;0;0;6;100;0;6;0
0926 Lillesand;926;Lillesand;26;100;6;23,1;20;76,92307692;7;19;0
0928 Birkenes;928;Birkenes;26;100;10;38,5;16;61,53846154;10;16;0
0929 Åmli;929;Åmli;0;100;0;0;0;.;0;0;0
0935 Iveland;935;Iveland;1;100;0;0;1;100;0;1;0
0937 Evje og Hornnes;937;Evje og Hornnes;1;100;0;0;1;100;0;1;0
0938 Bygland;938;Bygland;0;100;0;0;0;.;0;0;0
0940 Valle;940;Valle;0;100;0;0;0;.;0;0;0
0941 Bykle;941;Bykle;0;100;0;0;0;.;0;0;0
1001 Kristiansand;1001;Kristiansand;310;100;128;41,3;182;58,70967742;118;182;10
1002 Mandal;1002;Mandal;50;100;29;58;21;42;28;21;1
1003 Farsund;1003;Farsund;23;100;1;4,3;22;95,65217391;0;23;0
1004 Flekkefjord;1004;Flekkefjord;9;100;1;11,1;8;88,88888889;0;9;0
1014 Vennesla;1014;Vennesla;22;100;17;77,3;5;22,72727273;16;6;0
1017 Songdalen;1017;Songdalen;26;100;15;57,7;11;42,30769231;15;11;0
1018 Søgne;1018;Søgne;9;100;1;11,1;8;88,88888889;0;9;0
1021 Marnardal;1021;Marnardal;8;100;0;0;8;100;0;8;0
1026 Åseral;1026;Åseral;0;100;0;0;0;.;0;0;0
1027 Audnedal;1027;Audnedal;0;100;0;0;0;.;0;0;0
1029 Lindesnes;1029;Lindesnes;0;100;0;0;0;.;0;0;0
1032 Lyngdal;1032;Lyngdal;36;100;34;94,4;2;5,555555556;33;3;0
1034 Hægebostad;1034;Hægebostad;0;100;0;0;0;.;0;0;0
1037 Kvinesdal;1037;Kvinesdal;3;100;0;0;3;100;0;3;0
1046 Sirdal;1046;Sirdal;1;100;1;100;0;0;0;0;1
1101 Eigersund;1101;Eigersund;21;100;0;0;21;100;0;21;0
1102 Sandnes;1102;Sandnes;311;100;204;65,6;107;34,40514469;210;101;0
1103 Stavanger;1103;Stavanger;251;100;152;60,6;99;39,44223108;131;119;1
1106 Haugesund;1106;Haugesund;79;100;50;63,3;29;36,70886076;51;25;3
1111 Sokndal;1111;Sokndal;0;100;0;0;0;.;0;0;0
1112 Lund;1112;Lund;2;100;0;0;2;100;2;0;0
1114 Bjerkreim;1114;Bjerkreim;0;100;0;0;0;.;0;0;0
1119 Hå;1119;Hå;8;100;0;0;8;100;0;8;0
1120 Klepp;1120;Klepp;0;100;0;0;0;.;0;0;0
1121 Time;1121;Time;55;100;43;78,2;12;21,81818182;45;10;0
1122 Gjesdal;1122;Gjesdal;0;100;0;0;0;.;0;0;0
1124 Sola;1124;Sola;16;100;4;25;12;75;7;9;0
1127 Randaberg;1127;Randaberg;2;100;0;0;2;100;0;2;0
1129 Forsand;1129;Forsand;0;100;0;0;0;.;0;0;0
1130 Strand;1130;Strand;28;100;6;21,4;22;78,57142857;15;13;0
1133 Hjelmeland;1133;Hjelmeland;0;100;0;0;0;.;0;0;0
1134 Suldal;1134;Suldal;17;100;6;35,3;11;64,70588235;12;5;0
1135 Sauda;1135;Sauda;1;100;0;0;1;100;1;0;0
1141 Finnøy;1141;Finnøy;0;100;0;0;0;.;0;0;0
1142 Rennesøy;1142;Rennesøy;0;100;0;0;0;.;0;0;0
1144 Kvitsøy;1144;Kvitsøy;0;100;0;0;0;.;0;0;0
1145 Bokn;1145;Bokn;0;100;0;0;0;.;0;0;0
1146 Tysvær;1146;Tysvær;33;100;23;69,7;10;30,3030303;21;12;0
1149 Karmøy;1149;Karmøy;80;100;14;17,5;66;82,5;11;69;0
1151 Utsira;1151;Utsira;0;100;0;0;0;.;0;0;0
1160 Vindafjord;1160;Vindafjord;13;100;0;0;13;100;0;13;0
1201 Bergen;1201;Bergen;318;100;204;64,2;114;35,8490566;298;17;3
1211 Etne;1211;Etne;3;100;0;0;3;100;0;3;0
1216 Sveio;1216;Sveio;0;100;0;0;0;.;0;0;0
1219 Bømlo;1219;Bømlo;10;100;9;90;1;10;9;0;1
1221 Stord;1221;Stord;0;100;0;0;0;.;0;0;0
1222 Fitjar;1222;Fitjar;0;100;0;0;0;.;0;0;0
1223 Tysnes;1223;Tysnes;0;100;0;0;0;.;0;0;0
1224 Kvinnherad;1224;Kvinnherad;3;100;3;100;0;0;3;0;0
1227 Jondal;1227;Jondal;0;100;0;0;0;.;0;0;0
1228 Odda;1228;Odda;10;100;1;10;9;90;1;9;0
1231 Ullensvang;1231;Ullensvang;7;100;7;100;0;0;7;0;0
1232 Eidfjord;1232;Eidfjord;0;100;0;0;0;.;0;0;0
1233 Ulvik;1233;Ulvik;0;100;0;0;0;.;0;0;0
1234 Granvin;1234;Granvin;0;100;0;0;0;.;0;0;0
1235 Voss;1235;Voss;56;100;24;42,9;32;57,14285714;24;32;0
1238 Kvam;1238;Kvam;33;100;10;30,3;23;69,6969697;10;23;0
1241 Fusa;1241;Fusa;22;100;16;72,7;6;27,27272727;16;6;0
1242 Samnanger;1242;Samnanger;1;100;0;0;1;100;0;1;0
1243 Os (Hord.);1243;Os (Hord.);30;100;9;30;21;70;8;22;0
1244 Austevoll;1244;Austevoll;12;100;1;8,3;11;91,66666667;6;6;0
1245 Sund;1245;Sund;7;100;0;0;7;100;0;7;0
1246 Fjell;1246;Fjell;7;100;4;57,1;3;42,85714286;5;2;0
1247 Askøy;1247;Askøy;3;100;0;0;3;100;0;3;0
1251 Vaksdal;1251;Vaksdal;0;100;0;0;0;.;0;0;0
1252 Modalen;1252;Modalen;0;100;0;0;0;.;0;0;0
1253 Osterøy;1253;Osterøy;19;100;0;0;19;100;2;14;3
1256 Meland;1256;Meland;15;100;1;6,7;14;93,33333333;0;15;0
1259 Øygarden;1259;Øygarden;17;100;17;100;0;0;17;0;0
1260 Radøy;1260;Radøy;1;100;0;0;1;100;0;1;0
1263 Lindås;1263;Lindås;30;100;18;60;12;40;18;12;0
1264 Austrheim;1264;Austrheim;0;100;0;0;0;.;0;0;0
1265 Fedje;1265;Fedje;0;100;0;0;0;.;0;0;0
1266 Masfjorden;1266;Masfjorden;2;100;0;0;2;100;0;0;2
1401 Flora;1401;Flora;23;100;23;100;0;0;23;0;0
1411 Gulen;1411;Gulen;2;100;0;0;2;100;0;2;0
1412 Solund;1412;Solund;0;100;0;0;0;.;0;0;0
1413 Hyllestad;1413;Hyllestad;0;100;0;0;0;.;0;0;0
1416 Høyanger;1416;Høyanger;1;100;0;0;1;100;0;1;0
1417 Vik;1417;Vik;7;100;1;14,3;6;85,71428571;0;7;0
1418 Balestrand;1418;Balestrand;0;100;0;0;0;.;0;0;0
1419 Leikanger;1419;Leikanger;0;100;0;0;0;.;0;0;0
1420 Sogndal;1420;Sogndal;28;100;14;50;14;50;14;14;0
1421 Aurland;1421;Aurland;2;100;0;0;2;100;0;2;0
