kommune_nr-kommunenavn;kommune_nr;kommunenavn;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.rett_og_plikt
nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1
1526 Stordal;1526;Stordal;.;.;.;.;.;.;.;.;.;.;.;.
1528 Sykkylven;1528;Sykkylven;15;:;:;14;8;7;:;:;:;:;7;7
1529 Skodje;1529;Skodje;7;:;:;6;:;5;:;:;:;:;:;5
1531 Sula;1531;Sula;13;:;:;12;8;5;:;:;:;:;7;5
1532 Giske;1532;Giske;13;:;:;13;8;5;:;:;:;:;8;5
1534 Haram;1534;Haram;36;8;:;26;19;17;:;5;:;:;15;11
1535 Vestnes;1535;Vestnes;27;5;:;21;10;17;:;:;:;:;7;14
1539 Rauma;1539;Rauma;:;:;:;:;:;:;:;:;:;:;:;:
1543 Nesset;1543;Nesset;7;:;:;7;:;5;:;:;:;:;:;5
1545 Midsund;1545;Midsund;:;:;:;:;:;:;:;:;:;:;:;:
1546 Sandøy;1546;Sandøy;.;.;.;.;.;.;.;.;.;.;.;.
1547 Aukra;1547;Aukra;7;5;:;:;:;5;:;:;:;:;:;:
1548 Fræna;1548;Fræna;10;:;:;9;6;:;:;:;:;:;5;:
1551 Eide;1551;Eide;:;:;:;:;:;:;:;:;:;:;:;:
1554 Averøy;1554;Averøy;11;:;:;10;10;:;:;:;:;:;9;:
1557 Gjemnes;1557;Gjemnes;:;:;:;:;:;:;:;:;:;:;:;:
1560 Tingvoll;1560;Tingvoll;12;:;:;12;:;9;:;:;:;:;:;9
1563 Sunndal;1563;Sunndal;53;:;:;52;20;33;:;:;:;:;20;32
1566 Surnadal;1566;Surnadal;19;:;:;19;6;13;:;:;:;:;6;13
1567 Rindal;1567;Rindal;.;.;.;.;.;.;.;.;.;.;.;.
1571 Halsa;1571;Halsa;:;:;:;:;:;:;:;:;:;:;:;:
1573 Smøla;1573;Smøla;.;.;.;.;.;.;.;.;.;.;.;.
1576 Aure;1576;Aure;13;:;:;12;7;6;:;:;:;:;7;5
1601 Trondheim;1601;Trondheim;573;258;13;302;300;273;126;132;11;:;163;139
1612 Hemne;1612;Hemne;17;:;:;16;9;8;:;:;:;:;9;7
1613 Snillfjord;1613;Snillfjord;.;.;.;.;.;.;.;.;.;.;.;.
1617 Hitra;1617;Hitra;12;:;:;12;5;7;:;:;:;:;5;7
1620 Frøya;1620;Frøya;5;:;:;5;:;:;:;:;:;:;:;:
1621 Ørland;1621;Ørland;8;:;:;8;5;:;:;:;:;:;5;:
1622 Agdenes;1622;Agdenes;:;:;:;:;:;:;:;:;:;:;:;:
1624 Rissa;1624;Rissa;22;:;:;22;8;14;:;:;:;:;8;14
1627 Bjugn;1627;Bjugn;9;:;:;8;5;:;:;:;:;:;:;:
1630 Åfjord;1630;Åfjord;8;:;:;8;:;6;:;:;:;:;:;6
1632 Roan;1632;Roan;.;.;.;.;.;.;.;.;.;.;.;.
