Kommune nr & navn;kommune_nr;"Kommune
navn";spraak.alle;spraak.minoritet;spraak.ikke_minoritet;spraak.alle;spraak.minoritet;spraak.ikke_minoritet
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
1219 Bømlo;1219;Bømlo;94;23;71;100;24,5;75,5
1221 Stord;1221;Stord;168;38;130;100;22,6;77,4
1222 Fitjar;1222;Fitjar;24;3;21;100;12,5;87,5
1223 Tysnes;1223;Tysnes;25;5;20;100;20;80
1224 Kvinnherad;1224;Kvinnherad;92;19;73;100;20,7;79,3
1227 Jondal;1227;Jondal;6;.;.;:;.;:
1228 Odda;1228;Odda;45;1;44;100;2,2;97,8
1231 Ullensvang;1231;Ullensvang;18;1;17;100;5,6;94,4
1232 Eidfjord;1232;Eidfjord;6;2;4;100;33,3;66,7
1233 Ulvik;1233;Ulvik;3;.;.;:;.;:
1234 Granvin;1234;Granvin;6;1;5;100;16,7;83,3
1235 Voss;1235;Voss;102;18;84;100;17,6;82,4
1238 Kvam;1238;Kvam;68;24;44;100;35,3;64,7
1241 Fusa;1241;Fusa;31;4;27;100;12,9;87,1
1242 Samnanger;1242;Samnanger;25;4;21;100;16;84
1243 Os;1243;Os;137;27;110;100;19,7;80,3
1244 Austevoll;1244;Austevoll;25;1;24;100;4;96
1245 Sund;1245;Sund;50;9;41;100;18;82
1246 Fjell;1246;Fjell;157;26;131;100;16,6;83,4
1247 Askøy;1247;Askøy;200;32;168;100;16;84
1251 Vaksdal;1251;Vaksdal;46;9;37;100;19,6;80,4
1252 Modalen;1252;Modalen;5;2;3;100;40;60
1253 Osterøy;1253;Osterøy;54;6;48;100;11,1;88,9
1256 Meland;1256;Meland;43;11;32;100;25,6;74,4
1259 Øygarden;1259;Øygarden;40;10;30;100;25;75
1260 Radøy;1260;Radøy;28;4;24;100;14,3;85,7
1263 Lindås;1263;Lindås;81;15;66;100;18,5;81,5
1264 Austrheim;1264;Austrheim;9;2;7;100;22,2;77,8
1265 Fedje;1265;Fedje;3;.;.;:;.;:
1266 Masfjorden;1266;Masfjorden;10;1;9;100;10;90
1401 Flora;1401;Flora;86;30;56;100;34,9;65,1
1411 Gulen;1411;Gulen;8;1;7;100;12,5;87,5
1412 Solund;1412;Solund;4;.;.;:;.;:
1413 Hyllestad;1413;Hyllestad;10;1;9;100;10;90
1416 Høyanger;1416;Høyanger;23;5;18;100;21,7;78,3
1417 Vik;1417;Vik;7;.;.;:;.;:
1418 Balestrand;1418;Balestrand;:;:;:;:;:;:
1419 Leikanger;1419;Leikanger;3;.;.;:;.;:
1420 Sogndal;1420;Sogndal;29;8;21;100;27,6;72,4
1421 Aurland;1421;Aurland;17;.;.;:;.;:
1422 Lærdal;1422;Lærdal;12;1;11;100;8,3;91,7
1424 Årdal;1424;Årdal;20;4;16;100;20;80
1426 Luster;1426;Luster;23;4;19;100;17,4;82,6
1428 Askvoll;1428;Askvoll;16;4;12;100;25;75
1429 Fjaler;1429;Fjaler;13;4;9;100;30,8;69,2
1430 Gaular;1430;Gaular;8;.;.;:;.;:
1431 Jølster;1431;Jølster;22;10;12;100;45,5;54,5
1432 Førde;1432;Førde;43;8;35;100;18,6;81,4
1433 Naustdal;1433;Naustdal;17;2;15;100;11,8;88,2
1438 Bremanger;1438;Bremanger;35;7;28;100;20;80
1439 Vågsøy;1439;Vågsøy;22;1;21;100;4,5;95,5
1441 Selje;1441;Selje;13;1;12;100;7,7;92,3
1443 Eid;1443;Eid;20;1;19;100;5;95
1444 Hornindal;1444;Hornindal;:;:;:;:;:;:
1445 Gloppen;1445;Gloppen;31;16;15;100;51,6;48,4
1449 Stryn;1449;Stryn;18;5;13;100;27,8;72,2
1502 Molde;1502;Molde;140;34;106;100;24,3;75,7
1504 Ålesund;1504;Ålesund;167;35;132;100;21;79
1505 Kristiansund;1505;Kristiansund;100;24;76;100;24;76
1511 Vanylven;1511;Vanylven;18;2;16;100;11,1;88,9
1514 Sande;1514;Sande;12;4;8;100;33,3;66,7
1515 Herøy;1515;Herøy;20;2;18;100;10;90
1516 Ulstein;1516;Ulstein;21;6;15;100;28,6;71,4
