Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0702 Holmestrand;702;Holmestrand;1550;1336;214;85;129;22,3;21,5;29,7;21,9;38,9
0704 Tønsberg;704;Tønsberg;5456;4339;1117;465;652;19,6;18,1;29;23;35,6
0706 Sandefjord;706;Sandefjord;6834;5315;1519;523;996;23,2;21,4;33,1;24,6;40,6
0709 Larvik;709;Larvik;6325;5137;1188;375;813;22,2;20,6;34,1;23,2;43,5
0711 Svelvik;711;Svelvik;948;806;142;93;49;21,5;20,8;27,4;25,1;33,3
0713 Sande (Vestf.);713;Sande (Vestf.);1137;954;183;84;99;19,2;18,2;27,2;18,9;43,2
0714 Hof;714;Hof;386;345;41;32;9;19,1;18,7;23,2;23;23,7
0716 Re;716;Re (f.o.m. 2002);1070;898;172;81;91;17,6;16,5;26,7;20;38,2
0719 Andebu;719;Andebu;761;658;103;63;40;19,7;19,1;25,3;22,7;31
0720 Stokke;720;Stokke;1517;1168;349;149;200;19,3;17,3;30,9;22,1;44,2
0722 Nøtterøy;722;Nøtterøy;2657;2199;458;172;286;19,3;18;29,1;22;36,2
0723 Tjøme;723;Tjøme;785;685;100;51;49;23,7;23,2;27,9;21,4;40,5
0728 Lardal;728;Lardal;311;275;36;15;21;19,3;18,4;29,8;18,5;52,5
0805 Porsgrunn;805;Porsgrunn;5185;4216;969;313;656;21,9;20,2;34,3;28,9;37,7
0806 Skien;806;Skien;7928;6085;1843;442;1401;22,3;20;35,9;25,5;41,1
0807 Notodden;807;Notodden;1848;1546;302;119;183;22,8;21,3;34,7;28,5;40,3
0811 Siljan;811;Siljan;264;223;41;13;28;17,1;15,4;42,3;38,2;44,4
0814 Bamble;814;Bamble;2112;1830;282;81;201;22,4;21;37,8;25,6;46,7
0815 Kragerø;815;Kragerø;1745;1487;258;82;176;24,8;23,5;35,9;23;48,6
0817 Drangedal;817;Drangedal;563;493;70;29;41;21,5;20,6;31;19,6;52,6
