kommune;kommune_nr;kommune_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
1160 Vindafjord;1160;Vindafjord;340 200;254 500;194 100;348 900
1201 Bergen;1201;Bergen;347 900;281 200;247 000;358 900
1211 Etne;1211;Etne;337 000;285 700;228 000;342 700
1216 Sveio;1216;Sveio;334 100;295 200;209 100;337 700
1219 Bømlo;1219;Bømlo;347 300;276 700;243 600;354 700
1221 Stord;1221;Stord;341 900;285 400;242 900;347 300
1222 Fitjar;1222;Fitjar;331 000;289 000;304 100;333 400
1223 Tysnes;1223;Tysnes;322 700;244 800;313 700;327 700
1224 Kvinnherad;1224;Kvinnherad;327 300;246 800;236 400;332 400
1227 Jondal;1227;Jondal;325 100;254 700;293 600;331 600
1228 Odda;1228;Odda;332 900;279 900;244 200;337 100
1231 Ullensvang;1231;Ullensvang;336 300;266 700;244 700;344 600
1232 Eidfjord;1232;Eidfjord;344 200;232 400;270 200;352 500
1233 Ulvik;1233;Ulvik;328 300;280 500;266 100;339 100
1234 Granvin;1234;Granvin;323 400;252 700;:;327 900
1235 Voss;1235;Voss;328 500;251 000;210 600;333 000
1238 Kvam;1238;Kvam;335 600;257 400;205 500;342 500
1241 Fusa;1241;Fusa;345 500;275 900;305 800;349 600
1242 Samnanger;1242;Samnanger;347 700;270 600;242 300;353 500
1243 Os;1243;Os (Hord.);345 000;257 600;273 500;352 500
1244 Austevoll;1244;Austevoll;374 300;264 700;265 800;386 000
1245 Sund;1245;Sund;346 800;283 400;208 900;355 900
1246 Fjell;1246;Fjell;359 600;278 100;272 900;365 700
1247 Askøy;1247;Askøy;347 400;287 800;255 700;351 400
1251 Vaksdal;1251;Vaksdal;317 700;257 200;196 100;320 500
1252 Modalen;1252;Modalen;327 000;282 400;:;328 700
1253 Osterøy;1253;Osterøy;324 400;268 100;279 600;327 400
1256 Meland;1256;Meland;339 400;265 700;263 700;344 500
1259 Øygarden;1259;Øygarden;344 000;308 800;257 700;347 300
1260 Radøy;1260;Radøy;331 200;261 800;252 200;342 400
1263 Lindås;1263;Lindås;349 200;284 600;262 200;353 400
1264 Austrheim;1264;Austrheim;366 400;315 300;294 400;374 300
1265 Fedje;1265;Fedje;340 700;261 800;:;341 800
1266 Masfjorden;1266;Masfjorden;342 900;291 600;315 800;345 700
1401 Flora;1401;Flora;349 000;290 300;223 700;356 400
1411 Gulen;1411;Gulen;339 000;247 000;315 300;343 600
1412 Solund;1412;Solund;336 900;284 800;294 800;344 000
1413 Hyllestad;1413;Hyllestad;330 400;329 600;270 600;330 900
1416 Høyanger;1416;Høyanger;332 300;265 700;221 500;335 100
1417 Vik;1417;Vik;325 700;238 600;231 300;332 100
1418 Balestrand;1418;Balestrand;317 800;248 400;250 200;325 100
1419 Leikanger;1419;Leikanger;348 100;297 300;216 800;350 300
1420 Sogndal;1420;Sogndal;325 600;266 700;189 100;331 400
1421 Aurland;1421;Aurland;338 100;253 200;238 300;350 700
1422 Lærdal;1422;Lærdal;344 500;326 500;318 900;345 700
1424 Årdal;1424;Årdal;349 900;287 800;193 600;356 100
1426 Luster;1426;Luster;317 900;263 300;195 500;321 700
1428 Askvoll;1428;Askvoll;334 100;241 400;295 700;338 100
1429 Fjaler;1429;Fjaler;316 300;201 800;0;321 800
1430 Gaular;1430;Gaular;326 500;253 800;299 800;331 300
1431 Jølster;1431;Jølster;333 100;271 900;129 400;338 600
1432 Førde;1432;Førde;346 000;287 500;235 200;352 000
1433 Naustdal;1433;Naustdal;327 900;269 500;283 400;330 800
1438 Bremanger;1438;Bremanger;325 600;269 200;176 700;333 000
1439 Vågsøy;1439;Vågsøy;328 300;252 200;293 600;335 900
1441 Selje;1441;Selje;331 200;263 200;331 100;333 900
1443 Eid;1443;Eid;328 400;267 700;215 900;332 500
1444 Hornindal;1444;Hornindal;320 200;254 200;:;325 000
1445 Gloppen;1445;Gloppen;326 500;269 100;198 300;331 900
1449 Stryn;1449;Stryn;314 800;273 800;199 000;327 700
1502 Molde;1502;Molde;348 500;289 600;233 600;354 600
1504 Ålesund;1504;Ålesund;345 300;266 700;248 100;353 900
1505 Kristiansund;1505;Kristiansund;340 600;265 400;231 400;349 400
1511 Vanylven;1511;Vanylven;337 500;227 900;324 700;342 100
1514 Sande;1514;Sande (M. og R.);331 800;257 100;279 300;344 000
1515 Herøy;1515;Herøy (M. og R.);354 300;278 500;258 900;365 000
1516 Ulstein;1516;Ulstein;354 500;285 700;237 900;368 500
1517 Hareid;1517;Hareid;338 400;271 000;269 400;350 900
1519 Volda;1519;Volda;326 900;250 300;172 700;332 500
1520 Ørsta;1520;Ørsta;332 800;272 700;214 800;337 200
1523 Ørskog;1523;Ørskog;333 800;225 500;288 800;342 800
1524 Norddal;1524;Norddal;325 200;292 200;324 300;329 900
1525 Stranda;1525;Stranda;329 800;270 900;295 500;340 300
1526 Stordal;1526;Stordal;303 000;234 300;217 300;313 600
1528 Sykkylven;1528;Sykkylven;321 700;279 000;251 600;327 200
1529 Skodje;1529;Skodje;338 300;246 900;297 500;342 900
1531 Sula;1531;Sula;331 100;250 900;265 100;336 900
1532 Giske;1532;Giske;346 600;266 000;251 200;352 600
1534 Haram;1534;Haram;335 900;278 900;286 600;341 700
1535 Vestnes;1535;Vestnes;329 600;288 900;256 400;335 100
1539 Rauma;1539;Rauma;329 500;277 500;310 800;332 500
1543 Nesset;1543;Nesset;333 000;258 000;297 300;335 200
1545 Midsund;1545;Midsund;334 000;271 000;291 200;340 600
1546 Sandøy;1546;Sandøy;370 200;265 200;307 100;382 400
1547 Aukra;1547;Aukra;353 000;308 600;261 900;357 100
1548 Fræna;1548;Fræna;335 500;231 200;273 300;341 700
1551 Eide;1551;Eide;329 300;212 300;243 800;334 800
1554 Averøy;1554;Averøy;347 300;275 200;294 700;352 300
1557 Gjemnes;1557;Gjemnes;331 600;306 400;233 800;334 900
1560 Tingvoll;1560;Tingvoll;321 400;267 000;199 600;327 000
1563 Sunndal;1563;Sunndal;330 400;291 400;177 400;337 000
1566 Surnadal;1566;Surnadal;315 400;230 800;224 200;317 600
1567 Rindal;1567;Rindal;316 400;226 400;:;317 000
1571 Halsa;1571;Halsa;314 600;247 900;233 900;316 500
1573 Smøla;1573;Smøla;327 500;247 200;287 500;334 700
1576 Aure;1576;Aure;324 000;262 600;214 100;332 300
1601 Trondheim;1601;Trondheim;343 100;275 900;236 400;351 100
1612 Hemne;1612;Hemne;327 400;277 400;196 100;329 700
1613 Snillfjord;1613;Snillfjord;324 600;293 300;:;327 300
1617 Hitra;1617;Hitra;316 600;260 500;235 100;328 200
1620 Frøya;1620;Frøya;328 000;287 500;314 700;337 000
1621 Ørland;1621;Ørland;324 000;251 400;267 300;327 500
1622 Agdenes;1622;Agdenes;317 000;182 800;272 400;321 500
1624 Rissa;1624;Rissa;317 400;284 900;244 400;319 900
1627 Bjugn;1627;Bjugn;308 600;255 100;272 500;311 900
1630 Åfjord;1630;Åfjord;319 400;243 800;323 000;320 400
1632 Roan;1632;Roan;300 300;190 400;226 600;311 900
1633 Osen;1633;Osen;310 400;189 100;:;313 200
1634 Oppdal;1634;Oppdal;316 000;260 100;201 300;322 100
1635 Rennebu;1635;Rennebu;304 600;284 200;240 400;305 400
1636 Meldal;1636;Meldal;302 200;219 300;274 600;304 700
1638 Orkdal;1638;Orkdal;326 600;283 600;223 100;332 000
1640 Røros;1640;Røros;319 300;278 100;241 800;323 600
1644 Holtålen;1644;Holtålen;321 100;210 600;288 500;324 800
1648 Midtre Gauldal;1648;Midtre Gauldal;315 100;276 000;232 900;322 300
1653 Melhus;1653;Melhus;332 700;274 200;222 600;336 600
1657 Skaun;1657;Skaun;338 300;286 900;225 900;339 500
1662 Klæbu;1662;Klæbu;336 500;273 300;244 100;339 700
1663 Malvik;1663;Malvik;355 800;283 900;270 500;361 000
1664 Selbu;1664;Selbu;320 100;241 700;231 900;324 800
1665 Tydal;1665;Tydal;321 600;243 300;:;323 000
1702 Steinkjer;1702;Steinkjer;318 000;238 500;182 100;322 600
1703 Namsos;1703;Namsos;321 100;327 700;187 800;324 400
1711 Meråker;1711;Meråker;294 900;247 300;158 700;305 700
1714 Stjørdal;1714;Stjørdal;330 900;288 400;231 800;334 900
1717 Frosta;1717;Frosta;307 500;195 700;255 400;315 000
1718 Leksvik;1718;Leksvik;314 800;291 700;241 400;318 600
1719 Levanger;1719;Levanger;324 600;255 800;201 900;329 400
1721 Verdal;1721;Verdal;313 000;280 000;196 100;316 500
1724 Verran;1724;Verran;295 100;248 700;172 900;301 000
1725 Namdalseid;1725;Namdalseid;322 400;257 300;238 700;324 400
1736 Snåase Snåsa;1736;Snåsa;314 900;247 300;206 600;315 800
1738 Lierne;1738;Lierne;316 000;285 300;:;318 500
1739 Røyrvik;1739;Røyrvik;316 600;279 300;:;316 800
1740 Namsskogan;1740;Namsskogan;325 500;207 400;:;329 200
1742 Grong;1742;Grong;318 700;254 200;101 500;328 400
1743 Høylandet;1743;Høylandet;318 300;237 800;:;320 100
1744 Overhalla;1744;Overhalla;328 800;257 600;154 200;332 900
1748 Fosnes;1748;Fosnes;296 600;221 400;:;302 200
1749 Flatanger;1749;Flatanger;311 100;174 300;201 700;317 400
1750 Vikna;1750;Vikna;329 300;267 400;246 800;335 100
1751 Nærøy;1751;Nærøy;317 800;246 000;200 000;324 100
1755 Leka;1755;Leka;315 500;335 400;:;315 500
1756 Inderøy;1756;Inderøy (f.o.m. 2012);323 700;263 100;199 100;326 500
1804 Bodø;1804;Bodø;348 500;292 800;233 400;353 500
1805 Narvik;1805;Narvik;336 700;271 500;204 600;343 500
1811 Bindal;1811;Bindal;295 900;185 900;:;299 600
1812 Sømna;1812;Sømna;311 300;256 800;216 300;314 800
1813 Brønnøy;1813;Brønnøy;322 800;261 000;219 000;327 700
1815 Vega;1815;Vega;307 000;313 700;246 500;307 800
1816 Vevelstad;1816;Vevelstad;307 400;312 600;:;308 600
1818 Herøy;1818;Herøy (Nordl.);325 800;266 900;205 200;334 800
1820 Alstahaug;1820;Alstahaug;333 800;297 400;193 900;340 500
1822 Leirfjord;1822;Leirfjord;318 200;276 300;187 100;326 800
1824 Vefsn;1824;Vefsn;328 100;271 200;214 200;331 600
1825 Grane;1825;Grane;309 200;261 600;333 700;313 400
1826 Hattfjelldal;1826;Hattfjelldal;312 100;278 200;81 300;316 100
1827 Dønna;1827;Dønna;315 900;198 300;268 300;320 600
1828 Nesna;1828;Nesna;286 000;239 500;98 400;298 800
1832 Hemnes;1832;Hemnes;314 800;252 700;255 000;316 900
1833 Rana;1833;Rana;329 200;280 900;218 600;333 100
1834 Lurøy;1834;Lurøy;312 100;298 700;315 900;313 500
1835 Træna;1835;Træna;293 000;253 800;326 600;300 400
1836 Rødøy;1836;Rødøy;301 000;258 900;212 700;302 100
1837 Meløy;1837;Meløy;325 800;259 300;243 100;331 400
1838 Gildeskål;1838;Gildeskål;331 600;266 000;209 900;340 500
1839 Beiarn;1839;Beiarn;318 300;209 100;215 200;323 000
1840 Saltdal;1840;Saltdal;317 600;286 000;162 300;322 100
1841 Fauske;1841;Fauske;326 900;281 300;202 500;330 300
1845 Sørfold;1845;Sørfold;321 400;275 800;246 600;323 200
1848 Steigen;1848;Steigen;319 300;231 700;208 500;323 600
1849 Hábmer Hamarøy;1849;Hamarøy;317 900;263 300;210 000;324 600
1850 Divtasvuodna Tysfjord;1850;Tysfjord;312 700;256 700;201 300;315 500
1851 Lødingen;1851;Lødingen;317 500;254 700;145 200;327 200
1852 Tjeldsund;1852;Tjeldsund;321 400;296 000;310 600;321 400
1853 Evenes;1853;Evenes;314 900;261 100;160 400;322 400
1854 Ballangen;1854;Ballangen;308 400;273 600;214 200;311 700
1856 Røst;1856;Røst;315 400;202 600;225 100;321 400
1857 Værøy;1857;Værøy;304 300;249 300;252 200;309 700
1859 Flakstad;1859;Flakstad;318 300;261 700;312 500;320 700
1860 Vestvågøy;1860;Vestvågøy;316 000;266 500;185 600;320 800
1865 Vågan;1865;Vågan;317 700;260 300;206 200;325 700
1866 Hadsel;1866;Hadsel;321 700;280 600;225 600;328 300
1867 Bø;1867;Bø (Nordl.);295 300;240 400;181 100;298 100
1868 Øksnes;1868;Øksnes;316 900;223 800;234 700;325 600
1870 Sortland;1870;Sortland;320 600;239 400;213 700;325 600
1871 Andøy;1871;Andøy;323 300;264 900;176 700;329 500
1874 Moskenes;1874;Moskenes;297 400;242 500;221 700;316 600
1902 Tromsø;1902;Tromsø;346 300;288 000;244 000;352 700
1903 Harstad;1901;Harstad;334 500;297 700;212 400;339 700
1911 Kvæfjord;1911;Kvæfjord;316 300;285 100;166 800;325 200
1913 Skånland;1913;Skånland;329 100;302 700;249 100;331 800
1917 Ibestad;1917;Ibestad;314 400;255 100;217 200;318 400
1919 Gratangen;1919;Gratangen;300 900;290 800;196 100;305 000
1920 Lavangen;1920;Lavangen;295 800;177 800;222 600;298 200
1922 Bardu;1922;Bardu;335 800;294 700;185 900;339 900
1923 Salangen;1923;Salangen;308 600;238 500;113 900;314 300
1924 Målselv;1924;Målselv;343 100;281 800;180 200;346 000
1925 Sørreisa;1925;Sørreisa;334 300;284 800;287 900;335 900
1926 Dyrøy;1926;Dyrøy;311 100;355 200;285 200;311 100
1927 Tranøy;1927;Tranøy;299 200;303 400;178 300;305 900
1928 Torsken;1928;Torsken;324 200;224 900;184 500;339 700
1929 Berg;1929;Berg;320 500;222 900;186 000;333 000
1931 Lenvik;1931;Lenvik;325 200;269 200;195 000;329 800
1933 Balsfjord;1933;Balsfjord;317 900;269 700;324 200;318 300
1936 Karlsøy;1936;Karlsøy;331 200;243 000;291 000;342 300
1938 Lyngen;1938;Lyngen;329 500;263 300;201 500;332 500
