Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
1037 Kvinesdal;1037;Kvinesdal;2665;216;2449;77,3;65,7;78,5
1046 Sirdal;1046;Sirdal;881;117;764;83;76,5;84,1
1101 Eigersund;1101;Eigersund;7153;873;6280;80,3;71,5;81,7
1102 Sandnes;1102;Sandnes;36408;7079;29329;81,5;74;83,5
1103 Stavanger;1103;Stavanger;67361;14494;52867;80,2;72,6;82,5
1106 Haugesund;1106;Haugesund;17111;2880;14231;75,8;68;77,6
1111 Sokndal;1111;Sokndal;1538;100;1438;81,4;83,3;81,2
1112 Lund;1112;Lund;1492;121;1371;80,6;64;82,4
1114 Bjerkreim;1114;Bjerkreim;1434;162;1272;86,2;80,6;86,9
1119 Hå;1119;Hå;9021;1383;7638;83,8;73;86,1
1120 Klepp;1120;Klepp;9344;1325;8019;84,2;76,9;85,6
1121 Time;1121;Time;9188;976;8212;84,2;73,8;85,7
1122 Gjesdal;1122;Gjesdal;5952;755;5197;85,2;78,2;86,3
1124 Sola;1124;Sola;12801;2273;10528;82,9;75,1;84,8
1127 Randaberg;1127;Randaberg;5120;619;4501;82,8;74,8;84
1129 Forsand;1129;Forsand;570;60;510;81,3;84,5;81
1130 Strand;1130;Strand;5691;578;5113;80,4;69,8;81,8
1133 Hjelmeland;1133;Hjelmeland;1346;257;1089;83,5;78,1;84,9
1134 Suldal;1134;Suldal;1830;191;1639;83;75,8;83,9
1135 Sauda;1135;Sauda;2145;168;1977;78,4;71,5;79
1141 Finnøy;1141;Finnøy;1562;272;1290;87,2;87,2;87,2
1142 Rennesøy;1142;Rennesøy;2438;294;2144;86;74,2;87,9
1144 Kvitsøy;1144;Kvitsøy;250;23;227;85,6;79,3;86,3
1145 Bokn;1145;Bokn;398;49;349;80,9;79;81,2
1146 Tysvær;1146;Tysvær;4988;395;4593;80,9;67,6;82,3
1149 Karmøy;1149;Karmøy;19150;1818;17332;76,6;66,4;77,9
1151 Utsira;1151;Utsira;110;11;99;85,9;84,6;86,1
1160 Vindafjord;1160;Vindafjord;4152;571;3581;81,6;71,2;83,6
1201 Bergen;1201;Bergen;136182;20762;115420;78,5;67,6;80,8
1211 Etne;1211;Etne;1958;255;1703;83,1;78,2;83,9
1216 Sveio;1216;Sveio;2572;244;2328;79,7;69,9;80,8
1219 Bømlo;1219;Bømlo;5422;554;4868;79,6;68,9;81
1221 Stord;1221;Stord;8871;960;7911;80,4;68;82,2
1222 Fitjar;1222;Fitjar;1450;111;1339;81,2;76,6;81,6
1223 Tysnes;1223;Tysnes;1231;121;1110;78,7;74,2;79,2
1224 Kvinnherad;1224;Kvinnherad;5930;451;5479;78,4;68,5;79,4
1227 Jondal;1227;Jondal;474;39;435;76,2;72,2;76,6
1228 Odda;1228;Odda;3188;352;2836;77,4;73,6;77,8
1231 Ullensvang;1231;Ullensvang;1552;155;1397;82,2;69,2;84
1232 Eidfjord;1232;Eidfjord;487;48;439;83,8;70,6;85,6
1233 Ulvik;1233;Ulvik;489;68;421;82,5;77,3;83,4
1234 Granvin;1234;Granvin;438;34;404;79,8;75,6;80,2
1235 Voss;1235;Voss;6695;481;6214;81,7;66,8;83,2
1238 Kvam;1238;Kvam;3891;433;3458;78,7;65,8;80,7
1241 Fusa;1241;Fusa;1774;147;1627;82,1;74,2;82,9
1242 Samnanger;1242;Samnanger;1130;82;1048;77,2;68,9;78
1243 Os (Hord.);1243;Os (Hord.);9095;1036;8059;81;71,7;82,3
1244 Austevoll;1244;Austevoll;2414;344;2070;83;79,1;83,7
1245 Sund;1245;Sund;3163;358;2805;79;71,6;80,1
1246 Fjell;1246;Fjell;11620;1127;10493;80,6;72,9;81,6
1247 Askøy;1247;Askøy;13135;1145;11990;80,6;70,4;81,8
1251 Vaksdal;1251;Vaksdal;1822;143;1679;77,9;66,8;79
1252 Modalen;1252;Modalen;171;15;156;81;83,3;80,8
1253 Osterøy;1253;Osterøy;3645;333;3312;79,8;71,6;80,7
1256 Meland;1256;Meland;3632;329;3303;80,3;73,4;81,1
1259 Øygarden;1259;Øygarden;2181;235;1946;77,3;69,1;78,4
1260 Radøy;1260;Radøy;2350;279;2071;77,9;74,6;78,3
1263 Lindås;1263;Lindås;7097;613;6484;79,5;71,9;80,3
1264 Austrheim;1264;Austrheim;1355;208;1147;79,2;75,1;80
1265 Fedje;1265;Fedje;246;18;228;81,7;81,8;81,7
1266 Masfjorden;1266;Masfjorden;803;38;765;85,6;79,2;86
1401 Flora;1401;Flora;5563;644;4919;78,9;65,2;81,2
1411 Gulen;1411;Gulen;1116;120;996;84;80,5;84,4
1412 Solund;1412;Solund;396;51;345;82,5;78,5;83,1
1413 Hyllestad;1413;Hyllestad;648;87;561;84,3;79,8;85
1416 Høyanger;1416;Høyanger;1836;181;1655;77,4;74,8;77,7
1417 Vik;1417;Vik;1290;137;1153;86;78,3;87
1418 Balestrand;1418;Balestrand;625;119;506;81,3;83,8;80,7
1419 Leikanger;1419;Leikanger;1103;74;1029;84,3;78,7;84,8
1420 Sogndal;1420;Sogndal;3845;344;3501;82,1;61,5;84,9
1421 Aurland;1421;Aurland;831;94;737;79,1;75,2;79,7
