kommunenr-kommunenavn;kommune_nr;"Kommune
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1-5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2-5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk-samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
0719 Andebu;719;Andebu;2375040,00;1614000,00;0,00;1614000,00;0,00;0,00;761040,00;0,00;0,00;0,00
0720 Stokke;720;Stokke;15255360,00;13316500,00;4342500,00;8974000,00;0,00;0,00;1141560,00;152600,00;424700,00;220000,00
0722 Nøtterøy;722;Nøtterøy;15783267,00;12173000,00;4703500,00;7469500,00;910415,00;0,00;2515352,00;42500,00;0,00;142000,00
0723 Tjøme;723;Tjøme;3976000,00;3899000,00;570000,00;3329000,00;0,00;0,00;0,00;0,00;0,00;77000,00
0728 Lardal;728;Lardal;1826300,00;1716500,00;696500,00;1020000,00;0,00;0,00;0,00;21800,00;0,00;88000,00
0805 Porsgrunn;805;Porsgrunn;22225978,00;19301000,00;3624000,00;15677000,00;800100,00;0,00;1721678,00;63200,00;143000,00;197000,00
0806 Skien;806;Skien;90437737,00;75179500,00;18915000,00;56264500,00;5682527,00;0,00;8104110,00;239800,00;143000,00;1088800,00
0807 Notodden;807;Notodden;22076364,00;18892200,00;7676500,00;11215700,00;776800,00;0,00;2102764,00;43600,00;0,00;261000,00
0811 Siljan;811;Siljan;5704100,00;5462500,00;2197000,00;3265500,00;0,00;0,00;0,00;43600,00;0,00;198000,00
0814 Bamble;814;Bamble;27588875,00;23207188,00;6239000,00;16968188,00;1163900,00;0,00;2833887,00;65400,00;0,00;318500,00
0815 Kragerø;815;Kragerø;27349216,00;23384500,00;7289500,00;16095000,00;1083356,00;0,00;2409960,00;174400,00;0,00;297000,00
0817 Drangedal;817;Drangedal;6724800,00;6604000,00;793000,00;5811000,00;0,00;0,00;0,00;21800,00;0,00;99000,00
0819 Nome;819;Nome;9062700,00;7287000,00;2524000,00;4763000,00;1589200,00;0,00;0,00;0,00;0,00;186500,00
0821 Bø (Telemark);821;Bø (Telem.);12984386,00;9310500,00;1816000,00;7494500,00;150900,00;0,00;3413186,00;21800,00;0,00;88000,00
0822 Sauherad;822;Sauherad;15577581,00;10234000,00;2593000,00;7641000,00;3144981,00;0,00;1902600,00;109000,00;0,00;187000,00
0826 Tinn;826;Tinn;6125200,00;4813000,00;961000,00;3852000,00;0,00;0,00;1268400,00;21800,00;0,00;22000,00
0827 Hjartdal;827;Hjartdal;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0828 Seljord;828;Seljord;6021061,00;5226500,00;1090000,00;4136500,00;718061,00;0,00;0,00;0,00;0,00;76500,00
0829 Kviteseid;829;Kviteseid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0830 Nissedal;830;Nissedal;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0831 Fyresdal;831;Fyresdal;5225500,00;5020000,00;1798000,00;3222000,00;0,00;0,00;0,00;42500,00;0,00;163000,00
0833 Tokke;833;Tokke;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0834 Vinje;834;Vinje;3502840,00;3332000,00;1260000,00;2072000,00;0,00;0,00;126840,00;0,00;0,00;44000,00
0901 Risør;901;Risør;13885071,00;10999000,00;3221500,00;7777500,00;836941,00;0,00;1786330,00;130800,00;0,00;132000,00
0904 Grimstad;904;Grimstad;31775490,00;24906000,00;6876000,00;18030000,00;3386100,00;0,00;2822190,00;85000,00;138700,00;437500,00
0906 Arendal;906;Arendal;56671567,00;45770000,00;13438000,00;32332000,00;3876127,00;0,00;5623240,00;172200,00;429000,00;801000,00
0911 Gjerstad;911;Gjerstad;9421020,00;7771500,00;2461000,00;5310500,00;800100,00;0,00;380520,00;83900,00;286000,00;99000,00
0912 Vegårshei;912;Vegårshei;1367000,00;1290000,00;0,00;1290000,00;0,00;0,00;0,00;0,00;0,00;77000,00
0914 Tvedestrand;914;Tvedestrand;6176500,00;6088500,00;1321500,00;4767000,00;0,00;0,00;0,00;11000,00;0,00;77000,00
0919 Froland;919;Froland;2623600,00;2325000,00;1635500,00;689500,00;0,00;0,00;211400,00;87200,00;0,00;0,00
0926 Lillesand;926;Lillesand;12175900,00;10471500,00;3586000,00;6885500,00;776800,00;0,00;634200,00;41400,00;0,00;252000,00
0928 Birkenes;928;Birkenes;4530700,00;4444000,00;593000,00;3851000,00;0,00;0,00;0,00;20700,00;0,00;66000,00
0929 Åmli;929;Åmli;2349800,00;2119000,00;1009500,00;1109500,00;0,00;0,00;0,00;21800,00;143000,00;66000,00
0935 Iveland;935;Iveland;2591600,00;2471000,00;1031000,00;1440000,00;0,00;0,00;0,00;43600,00;0,00;77000,00
0937 Evje og Hornnes;937;Evje og Hornnes;6409900,00;5031500,00;270000,00;4761500,00;0,00;0,00;1268400,00;0,00;0,00;110000,00
0938 Bygland;938;Bygland;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0940 Valle;940;Valle;4214040,00;3934500,00;700000,00;3234500,00;0,00;0,00;126840,00;20700,00;0,00;132000,00
0941 Bykle;941;Bykle;793500,00;782500,00;0,00;782500,00;0,00;0,00;0,00;0,00;0,00;11000,00
1001 Kristiansand;1001;Kristiansand;112496497,00;93835000,00;20079500,00;73755500,00;4415113,00;0,00;11963084,00;348800,00;429000,00;1505500,00
1002 Mandal;1002;Mandal;25139057,00;20615000,00;6013500,00;14601500,00;2353543,00;0,00;1633114,00;65400,00;0,00;472000,00
1003 Farsund;1003;Farsund;9504710,00;8933500,00;3272000,00;5661500,00;0,00;0,00;243110,00;86100,00;0,00;242000,00
1004 Flekkefjord;1004;Flekkefjord;20511124,00;12684900,00;4371500,00;8313400,00;6572454,00;0,00;558670,00;85000,00;269400,00;340700,00
1014 Vennesla;1014;Vennesla;12147600,00;11450000,00;3097000,00;8353000,00;401000,00;0,00;0,00;43600,00;0,00;253000,00
1017 Songdalen;1017;Songdalen;10012800,00;9771000,00;2833500,00;6937500,00;0,00;0,00;0,00;21800,00;0,00;220000,00
1018 Søgne;1018;Søgne;15578510,00;13779500,00;5038000,00;8741500,00;820070,00;0,00;761040,00;107900,00;0,00;110000,00
1021 Marnardal;1021;Marnardal;3433640,00;3219000,00;426500,00;2792500,00;0,00;0,00;126840,00;21800,00;0,00;66000,00
1026 Åseral;1026;Åseral;1730000,00;1675000,00;0,00;1675000,00;0,00;0,00;0,00;0,00;0,00;55000,00
1027 Audnedal;1027;Audnedal;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1029 Lindesnes;1029;Lindesnes;6448560,00;5201000,00;874500,00;4326500,00;978120,00;0,00;126840,00;43600,00;0,00;99000,00
1032 Lyngdal;1032;Lyngdal;12474490,00;10780500,00;2850500,00;7930000,00;0,00;0,00;1342390,00;43600,00;0,00;308000,00
1034 Hægebostad;1034;Hægebostad;3110000,00;3077000,00;313000,00;2764000,00;0,00;0,00;0,00;0,00;0,00;33000,00
1037 Kvinesdal;1037;Kvinesdal;7996080,00;6955500,00;1881000,00;5074500,00;0,00;0,00;887880,00;20700,00;0,00;132000,00
1046 Sirdal;1046;Sirdal;1683000,00;1650000,00;1050000,00;600000,00;0,00;0,00;0,00;0,00;0,00;33000,00
1101 Eigersund;1101;Eigersund;15439022,00;13719000,00;4214000,00;9505000,00;0,00;0,00;1468922,00;86100,00;0,00;165000,00
1102 Sandnes;1102;Sandnes;48158686,00;42018400,00;10747000,00;31271400,00;1297000,00;0,00;3683386,00;301900,00;286000,00;572000,00
1103 Stavanger;1103;Stavanger;78949717,00;65276750,00;19000500,00;46276250,00;5722495,00;0,00;6509272,00;366200,00;143000,00;932000,00
1106 Haugesund;1106;Haugesund;32768426,00;29839500,00;7782000,00;22057500,00;2020396,00;0,00;306530,00;151500,00;0,00;450500,00
1111 Sokndal;1111;Sokndal;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1112 Lund;1112;Lund;5387480,00;5036500,00;1472500,00;3564000,00;0,00;0,00;253680,00;64300,00;0,00;33000,00
1114 Bjerkreim;1114;Bjerkreim;156500,00;156500,00;0,00;156500,00;0,00;0,00;0,00;0,00;0,00;0,00
1119 Hå;1119;Hå;5518400,00;5312000,00;2341000,00;2971000,00;0,00;0,00;0,00;107900,00;0,00;98500,00
1120 Klepp;1120;Klepp;12669270,00;11623000,00;3109500,00;8513500,00;391350,00;0,00;380520,00;65400,00;0,00;209000,00
1121 Time;1121;Time;16443800,00;15982000,00;3572500,00;12409500,00;0,00;0,00;0,00;21800,00;0,00;440000,00
1122 Gjesdal;1122;Gjesdal;11412220,00;10715000,00;3612500,00;7102500,00;0,00;0,00;380520,00;109000,00;0,00;207700,00
1124 Sola;1124;Sola;9763680,00;9389000,00;2368500,00;7020500,00;0,00;0,00;253680,00;0,00;0,00;121000,00
1127 Randaberg;1127;Randaberg;15721510,00;13862500,00;4423000,00;9439500,00;0,00;0,00;1617210,00;21800,00;0,00;220000,00
1129 Forsand;1129;Forsand;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1130 Strand;1130;Strand;13297370,00;11898750,00;3602500,00;8296250,00;892340,00;0,00;253680,00;43600,00;0,00;209000,00
1133 Hjelmeland;1133;Hjelmeland;5102340,00;4865500,00;1564500,00;3301000,00;0,00;0,00;126840,00;0,00;0,00;110000,00
