kommune;kommune_nr;kommune_navn;bosetting.vedtak;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt;bosetting.anmodning;bosetting.anmodning
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent
1233 Ulvik;1233;Ulvik;.;.;0;.;5;.
1234 Granvin;1234;Granvin;0;.;0;.;5;.
1235 Voss;1235;Voss;25;100;25;100;40;160,00
1238 Kvam;1238;Kvam;15;100;1;6,67;25;166,67
1241 Fusa;1241;Fusa;.;.;0;.;10;.
1242 Samnanger;1242;Samnanger;0;.;0;.;25;.
1243 Os (Hord.);1243;Os (Hord.);10;100;9;90;25;250,00
1244 Austevoll;1244;Austevoll;.;.;2;.;20;.
1245 Sund;1245;Sund;0;.;2;.;25;.
1246 Fjell;1246;Fjell;20;100;12;60;45;225,00
1247 Askøy;1247;Askøy;25;100;22;88;45;180,00
1251 Vaksdal;1251;Vaksdal;6;100;8;133,33;25;416,67
1252 Modalen;1252;Modalen;0;.;0;.;5;.
1253 Osterøy;1253;Osterøy;.;.;0;.;20;.
1256 Meland;1256;Meland;10;100;12;120;35;350,00
1259 Øygarden;1259;Øygarden;15;100;15;100;35;233,33
1260 Radøy;1260;Radøy;6;100;3;50;25;416,67
1263 Lindås;1263;Lindås;17;100;14;82,35;25;147,06
1264 Austrheim;1264;Austrheim;15;100;4;26,67;10;66,67
1265 Fedje;1265;Fedje;0;.;0;.;5;.
1266 Masfjorden;1266;Masfjorden;0;.;0;.;5;.
1401 Flora;1401;Flora;40;100;39;97,5;40;100,00
1411 Gulen;1411;Gulen;.;.;0;.;10;.
1412 Solund;1412;Solund;.;.;0;.;5;.
1413 Hyllestad;1413;Hyllestad;8;100;7;87,5;5;62,50
1416 Høyanger;1416;Høyanger;9;100;17;188,89;15;166,67
1417 Vik;1417;Vik;10;100;1;10;10;100,00
1418 Balestrand;1418;Balestrand;0;.;0;.;15;.
1419 Leikanger;1419;Leikanger;10;100;5;50;10;100,00
1420 Sogndal;1420;Sogndal;35;100;34;97,14;35;100,00
1421 Aurland;1421;Aurland;.;.;0;.;5;.
1422 Lærdal;1422;Lærdal;.;.;0;.;15;.
1424 Årdal;1424;Årdal;.;.;0;.;20;.
1426 Luster;1426;Luster;10;100;11;110;15;150,00
1428 Askvoll;1428;Askvoll;.;.;0;.;10;.
1429 Fjaler;1429;Fjaler;0;.;0;.;10;.
1430 Gaular;1430;Gaular;.;.;0;.;10;.
1431 Jølster;1431;Jølster;5;100;2;40;15;300,00
1432 Førde;1432;Førde;20;100;23;115;40;200,00
1433 Naustdal;1433;Naustdal;.;.;0;.;10;.
1438 Bremanger;1438;Bremanger;.;.;0;.;25;.
1439 Vågsøy;1439;Vågsøy;.;.;0;.;10;.
1441 Selje;1441;Selje;.;.;0;.;10;.
1443 Eid;1443;Eid;10;100;9;90;30;300,00
1444 Hornindal;1444;Hornindal;.;.;0;.;5;.
1445 Gloppen;1445;Gloppen;15;100;16;106,67;30;200,00
1449 Stryn;1449;Stryn;20;100;20;100;35;175,00
1502 Molde;1502;Molde;55;100;53;96,36;55;100,00
1504 Ålesund;1504;Ålesund;40;100;40;100;60;150,00
1505 Kristiansund;1505;Kristiansund;40;100;42;105;50;125,00
1511 Vanylven;1511;Vanylven;.;.;0;.;0;.
1514 Sande (M. og R.);1514;Sande (M. og R.);.;.;0;.;10;.
1515 Herøy (M. og R.);1515;Herøy (M. og R.);10;100;10;100;25;250,00
1516 Ulstein;1516;Ulstein;20;100;21;105;25;125,00
1517 Hareid;1517;Hareid;10;100;0;0;15;150,00
1519 Volda;1519;Volda;25;100;23;92;30;120,00
1520 Ørsta;1520;Ørsta;25;100;23;92;35;140,00
1523 Ørskog;1523;Ørskog;10;100;4;40;10;100,00
1524 Norddal;1524;Norddal;.;.;0;.;0;.
1525 Stranda;1525;Stranda;0;.;0;.;10;.
1526 Stordal;1526;Stordal;.;.;1;.;0;.
1528 Sykkylven;1528;Sykkylven;5;100;20;400;20;400,00
1529 Skodje;1529;Skodje;0;.;0;.;15;.
1531 Sula;1531;Sula;6;100;7;116,67;20;333,33
1532 Giske;1532;Giske;6;100;5;83,33;15;250,00
1534 Haram;1534;Haram;10;100;11;110;25;250,00
1535 Vestnes;1535;Vestnes;15;100;17;113,33;15;100,00
1539 Rauma;1539;Rauma;.;.;0;.;15;.
1543 Nesset;1543;Nesset;.;.;0;.;10;.
1545 Midsund;1545;Midsund;.;.;0;.;0;.
1546 Sandøy;1546;Sandøy;.;.;0;.;0;.
1547 Aukra;1547;Aukra;0;.;1;.;10;.
1548 Fræna;1548;Fræna;15;100;9;60;25;166,67
1551 Eide;1551;Eide;5;100;3;60;15;300,00
1554 Averøy;1554;Averøy;15;100;15;100;15;100,00
1557 Gjemnes;1557;Gjemnes;.;.;0;.;0;.
1560 Tingvoll;1560;Tingvoll;5;100;3;60;10;200,00
1563 Sunndal;1563;Sunndal;25;100;41;164;25;100,00
1566 Surnadal;1566;Surnadal;15;100;11;73,33;15;100,00
1567 Rindal;1567;Rindal;.;.;0;.;0;.
1571 Halsa;1571;Halsa;.;.;0;.;0;.
1573 Smøla;1573;Smøla;.;.;0;.;0;.
1576 Aure;1576;Aure;5;100;13;260;10;200,00
1601 Trondheim;1601;Trondheim;250;100;251;100,4;290;116,00
1612 Hemne;1612;Hemne;3;100;2;66,67;10;333,33
1613 Snillfjord;1613;Snillfjord;.;.;0;.;0;.
1617 Hitra;1617;Hitra;.;.;1;.;10;.
1620 Frøya;1620;Frøya;.;.;0;.;10;.
1621 Ørland;1621;Ørland;.;.;0;.;15;.
1622 Agdenes;1622;Agdenes;.;.;0;.;0;.
1624 Rissa;1624;Rissa;15;100;14;93,33;15;100,00
1627 Bjugn;1627;Bjugn;0;.;0;.;10;.
1630 Åfjord;1630;Åfjord;.;.;1;.;10;.
1632 Roan;1632;Roan;.;.;0;.;0;.
1633 Osen;1633;Osen;.;.;0;.;0;.
1634 Oppdal;1634;Oppdal;15;100;15;100;20;133,33
1635 Rennebu;1635;Rennebu;10;100;11;110;10;100,00
1636 Meldal;1636;Meldal;.;.;0;.;10;.
1638 Orkdal;1638;Orkdal;20;100;21;105;25;125,00
1640 Røros;1640;Røros;10;100;3;30;15;150,00
1644 Holtålen;1644;Holtålen;.;.;0;.;0;.
