Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0807 Notodden;807;Notodden;261;182;79;32;47;4,5;3,5;14,3;10,2;19,6
0811 Siljan;811;Siljan;33;25; : ; : ; : ;2,8;2,3; : ; : ; : 
0814 Bamble;814;Bamble;250;193;57;14;43;3,7;3,1;13,5;5,9;23,2
0815 Kragerø;815;Kragerø;200;156;44;23;21;4,3;3,7;10,2;8,4;13,2
0817 Drangedal;817;Drangedal;60;45;15;8;7;3,3;2,7;11,9;8,5;22,1
0819 Nome;819;Nome;96;66;30;12;18;3,2;2,5;10,3;6,5;16,7
0821 Bø (Telemark);821;Bø (Telem.);88;55;33;10;23;3,4;2,3;13,8;7,6;21,4
0822 Sauherad;822;Sauherad;56;38;18;6;12;2,9;2,2;9,6;5,1;16,8
0826 Tinn;826;Tinn;74;49;25;5;20;2,7;2;7,6;2,8;13,5
0827 Hjartdal;827;Hjartdal;17;14; : ; : ; : ;2,5;2,1; : ; : ; : 
0828 Seljord;828;Seljord;33;22;11;6;5;2,5;1,8;9,6;6,4;24,5
0829 Kviteseid;829;Kviteseid;30;20;10;7;3;2,5;1,9;7,8;7,1;10,2
0830 Nissedal;830;Nissedal;15;12; : ; : ; : ;2,3;2; : ; : ; : 
0831 Fyresdal;831;Fyresdal;20;14; : ; : ; : ;3,3;2,6; : ; : ; : 
0833 Tokke;833;Tokke;20;18; : ; : ; : ;1,9;1,8; : ; : ; : 
0834 Vinje;834;Vinje;18;14;4;4;0;1;0,8;2,3;3,1;0
0901 Risør;901;Risør;129;94;35;15;20;4,2;3,3;14;9;24,2
0904 Grimstad;904;Grimstad;419;268;151;70;81;4,1;3;12,2;8,9;17,8
0906 Arendal;906;Arendal;979;631;348;155;193;4,7;3,5;13,6;10,4;18
0911 Gjerstad;911;Gjerstad;43;34;9;2;7;3,9;3,3;13,5;4,5;30,9
0912 Vegårshei;912;Vegårshei;48;36; : ; : ; : ;5,3;4,2; : ; : ; : 
0914 Tvedestrand;914;Tvedestrand;106;76;30;21;9;4;3,2;11,3;10,8;12,6
0919 Froland;919;Froland;116;89;27;16;11;4,5;3,7;13,3;11,8;16,5
0926 Lillesand;926;Lillesand;125;99;26;10;16;2,6;2,3;6,1;4,3;8,1
0928 Birkenes;928;Birkenes;74;61;13;7;6;3,2;2,9;5,5;5,2;5,9
0929 Åmli;929;Åmli;21;16;5;2;3;2,8;2,5;5,5;3,3;10,2
0935 Iveland;935;Iveland;12;9; : ; : ; : ;2;1,6; : ; : ; : 
0937 Evje og Hornnes;937;Evje og Hornnes;82;55;27;12;15;5;3,8;14,6;13,6;15,6
0938 Bygland;938;Bygland;18;17; : ; : ; : ;3,4;3,4; : ; : ; : 
0940 Valle;940;Valle;13;8; : ; : ; : ;2,1;1,4; : ; : ; : 
0941 Bykle;941;Bykle;16;12;4;3;1;3;2,8;4,2;3,8;5,5
1001 Kristiansand;1001;Kristiansand;1659;969;690;212;478;3,9;2,7;10,7;7,7;13
1002 Mandal;1002;Mandal;190;130;60;27;33;2,7;2,1;8,8;6,7;11,9
1003 Farsund;1003;Farsund;79;62;17;5;12;1,8;1,5;5,3;2,5;9,9
1004 Flekkefjord;1004;Flekkefjord;107;66;41;27;14;2,6;1,8;8,5;8,3;9,1
1014 Vennesla;1014;Vennesla;244;190;54;21;33;3,6;3,1;8,8;5,6;14
1017 Songdalen;1017;Songdalen;124;69;55;24;31;4,2;2,7;13,6;11,8;15,4
1018 Søgne;1018;Søgne;171;114;57;34;23;3,3;2,4;12,5;12,6;12,5
1021 Marnardal;1021;Marnardal;31;23;8;1;7;3,1;2,5;8,5;1,5;25,8
1026 Åseral;1026;Åseral;12;9; : ; : ; : ;3;2,4; : ; : ; : 
1027 Audnedal;1027;Audnedal;9;5; : ; : ; : ;1,1;0,7; : ; : ; : 
1029 Lindesnes;1029;Lindesnes;54;40;14;5;9;2,6;2,2;5,7;2,7;15,3
1032 Lyngdal;1032;Lyngdal;67;45;22;7;15;1,8;1,3;5,4;3,2;7,7
1034 Hægebostad;1034;Hægebostad;12;10; : ; : ; : ;1,5;1,3; : ; : ; : 
1037 Kvinesdal;1037;Kvinesdal;53;35;18;8;10;2;1,4;8,5;5,9;12,8
1046 Sirdal;1046;Sirdal;11;8;3;2;1;1,3;1,1;2,6;2,2;4,4
1101 Eigersund;1101;Eigersund;171;81;90;51;39;2,3;1,2;9,1;8,2;10,8
1102 Sandnes;1102;Sandnes;948;445;503;222;281;2,4;1,4;6,5;5;8,4
1103 Stavanger;1103;Stavanger;1425;724;701;295;406;2;1,3;4,6;3,5;6,1
1106 Haugesund;1106;Haugesund;628;346;282;146;136;3,4;2,3;9;7,6;11,2
1111 Sokndal;1111;Sokndal;32;24;8;2;6;2;1,6;7,5;3,5;12
1112 Lund;1112;Lund;36;25;11;3;8;2,3;1,8;8,4;3,8;15,4
1114 Bjerkreim;1114;Bjerkreim;16;12;4;3;1;1,2;1;2,3;2,2;2,8
1119 Hå;1119;Hå;209;80;129;80;49;2,2;1;8,2;6,6;13,2
1120 Klepp;1120;Klepp;203;117;86;44;42;2,1;1,4;6;4,3;10,3
1121 Time;1121;Time;182;102;80;36;44;1,9;1,2;7,5;5,4;10,8
1122 Gjesdal;1122;Gjesdal;127;74;53;30;23;2;1,3;6,3;4,7;11,8
1124 Sola;1124;Sola;216;122;94;56;38;1,6;1,1;4;3,7;4,4
1127 Randaberg;1127;Randaberg;102;52;50;22;28;1,9;1,1;7,3;4,6;13,4
1129 Forsand;1129;Forsand;5;3; : ; : ; : ;0,9;0,6; : ; : ; : 
1130 Strand;1130;Strand;144;104;40;24;16;2,4;1,9;6,6;6,4;6,9
1133 Hjelmeland;1133;Hjelmeland;23;9;14;10;4;1,8;0,9;5,3;4,9;6,8
1134 Suldal;1134;Suldal;10;5;5;1;4;0,6;0,3;2,5;0,7;7,1
1135 Sauda;1135;Sauda;46;32;14;6;8;2;1,5;7,9;5,3;12,6
1141 Finnøy;1141;Finnøy;19;13;6;6;0;1,3;1,1;2,2;2,3;0
1142 Rennesøy;1142;Rennesøy;35;19;16;15;1;1,4;0,9;5,2;5,8;2,1
1144 Kvitsøy;1144;Kvitsøy;4;3; : ; : ; : ;1,5;1,3; : ; : ; : 
1145 Bokn;1145;Bokn;12;9; : ; : ; : ;3;2,5; : ; : ; : 
1146 Tysvær;1146;Tysvær;120;84;36;13;23;2,3;1,8;8,4;4,3;18,6
1149 Karmøy;1149;Karmøy;632;444;188;112;76;3,1;2,5;9,5;8,3;12,2
1151 Utsira;1151;Utsira;0;0; : ; : ; : ;0;0; : ; : ; : 
1160 Vindafjord;1160;Vindafjord;130;77;53;51;2;3,1;2,1;8;9;2,1
1201 Bergen;1201;Bergen;3852;2155;1697;632;1065;2,7;1,8;7,6;5,1;10,9
1211 Etne;1211;Etne;34;27;7;6;1;1,8;1,6;2,6;2,5;4,6
1216 Sveio;1216;Sveio;55;41;14;4;10;2,1;1,7;5,5;2;17,3
1219 Bømlo;1219;Bømlo;141;81;60;21;39;2,5;1,6;10,3;5,4;20,6
1221 Stord;1221;Stord;312;174;138;71;67;3,3;2,1;13,1;11,1;16,1
1222 Fitjar;1222;Fitjar;26;18;8;7;1;1,8;1,3;6,7;7,3;4,4
1223 Tysnes;1223;Tysnes;30;22;8;6;2;2,4;2;6,1;5,9;6,8
1224 Kvinnherad;1224;Kvinnherad;167;123;44;25;19;2,7;2,1;9,2;7,9;11,6
1227 Jondal;1227;Jondal;11;7; : ; : ; : ;2,3;1,6; : ; : ; : 
1228 Odda;1228;Odda;78;56;22;12;10;2,3;1,9;5,8;5,3;6,6
1231 Ullensvang;1231;Ullensvang;29;21;8;4;4;1,8;1,5;4,7;3,6;6,7
1232 Eidfjord;1232;Eidfjord;11;7; : ; : ; : ;2,2;1,5; : ; : ; : 
1233 Ulvik;1233;Ulvik;17;8; : ; : ; : ;3,5;1,9; : ; : ; : 
1234 Granvin;1234;Granvin;6;5; : ; : ; : ;1,4;1,2; : ; : ; : 
1235 Voss;1235;Voss;139;91;48;22;26;2;1,4;8,9;6,1;14,7
1238 Kvam;1238;Kvam;67;44;23;11;12;1,7;1,3;5,1;3,4;9
1241 Fusa;1241;Fusa;34;24;10;5;5;1,9;1,4;6;3,9;13,4
1242 Samnanger;1242;Samnanger;28;21;7;1;6;2,3;1,9;7,9;1,8;17,7
1243 Os (Hord.);1243;Os (Hord.);249;159;90;59;31;2,6;1,9;8;7;10,8
1244 Austevoll;1244;Austevoll;44;28;16;13;3;1,9;1,4;4,3;4;6,8
1245 Sund;1245;Sund;108;77;31;17;14;3,2;2,6;7,8;6,1;11,9
1246 Fjell;1246;Fjell;316;217;99;50;49;2,6;1,9;8,2;6,1;12,4
1247 Askøy;1247;Askøy;347;247;100;41;59;2,5;1,9;8,1;4,9;14,9
1251 Vaksdal;1251;Vaksdal;51;31;20;10;10;2,6;1,7;12,6;9,9;17,3
1252 Modalen;1252;Modalen;2;2; : ; : ; : ;1,2;1,3; : ; : ; : 
1253 Osterøy;1253;Osterøy;104;77;27;19;8;2,7;2,2;7,5;6,4;12,6
1256 Meland;1256;Meland;96;71;25;13;12;2,5;2;6,8;5,3;9,7
1259 Øygarden;1259;Øygarden;87;62;25;12;13;3,7;3;9,2;7,1;12,6
1260 Radøy;1260;Radøy;84;53;31;19;12;3,4;2,5;10,5;7,6;25,2
1263 Lindås;1263;Lindås;205;140;65;36;29;2,7;2;9,6;7,3;16
1264 Austrheim;1264;Austrheim;34;22;12;8;4;2,3;1,8;5,3;4,5;8,6
1265 Fedje;1265;Fedje;1;1; : ; : ; : ;0,4;0,4; : ; : ; : 
1266 Masfjorden;1266;Masfjorden;10;8; : ; : ; : ;1,2;1; : ; : ; : 
1401 Flora;1401;Flora;163;99;64;17;47;2,8;1,9;9,2;4,2;16,3
1411 Gulen;1411;Gulen;10;3;7;6;1;0,9;0,3;5,7;6,5;3,4
1412 Solund;1412;Solund;7;5; : ; : ; : ;1,8;1,5; : ; : ; : 
1413 Hyllestad;1413;Hyllestad;6;4;2;1;1;0,9;0,7;2;1,2;6,8
1416 Høyanger;1416;Høyanger;57;44;13;7;6;2,9;2,5;6,3;6,2;6,3
1417 Vik;1417;Vik;17;11;6;5;1;1,3;1;4,1;4;4,9
1418 Balestrand;1418;Balestrand;8;5;3;2;1;1,3;1;2,5;2,3;2,8
1419 Leikanger;1419;Leikanger;13;7; : ; : ; : ;1,1;0,7; : ; : ; : 
1420 Sogndal;1420;Sogndal;51;36;15;10;5;1,3;1;4;3,8;4,6
1421 Aurland;1421;Aurland;26;17;9;8;1;3;2,2;8,5;8,5;8,8
1422 Lærdal;1422;Lærdal;29;23;6;4;2;2,8;2,4;6,1;5,4;8,4
1424 Årdal;1424;Årdal;74;48;26;15;11;2,7;2;8,6;6,7;13,9
1426 Luster;1426;Luster;27;22;5;2;3;1,1;1;2,8;1,4;9,5
1428 Askvoll;1428;Askvoll;20;14;6;5;1;1,6;1,2;7;7,9;4,4
1429 Fjaler;1429;Fjaler;14;10;4;2;2;1,2;0,9;3,9;2,7;7,4
1430 Gaular;1430;Gaular;18;13;5;5;0;1,3;1;3,9;4,3;0
1431 Jølster;1431;Jølster;23;15;8;3;5;1,5;1,1;5,9;3,3;11,3
1432 Førde;1432;Førde;87;57;30;13;17;1,3;0,9;4,5;3,2;6,7
1433 Naustdal;1433;Naustdal;17;14;3;2;1;1,3;1,1;3;2,7;4,2
1438 Bremanger;1438;Bremanger;45;16;29;12;17;2,6;1,1;9,9;5,9;19
1439 Vågsøy;1439;Vågsøy;110;68;42;31;11;3,9;2,8;11,1;11,2;10,8
1441 Selje;1441;Selje;37;25;12;7;5;3;2,2;11,4;9,2;17
1443 Eid;1443;Eid;39;35;4;2;2;1,3;1,3;1,7;1,2;2,9
