kommunenr-kommunenavn;kommune_nr;"Kommune
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1-5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2-5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk-samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
1145 Bokn;1145;Bokn;602100,00;0,00;0,00;0,00;0,00;602100,00;0,00;0,00;0,00;0,00
1146 Tysvær;1146;Tysvær;17887032,00;12541000,00;4355000,00;8186000,00;2263532,00;2609200,00;130900,00;91600,00;0,00;250800,00
1149 Karmøy;1149;Karmøy;37701443,00;28955600,00;8473000,00;20482600,00;223343,00;7524900,00;392700,00;160300,00;0,00;444600,00
1151 Utsira;1151;Utsira;324400,00;0,00;0,00;0,00;0,00;324400,00;0,00;0,00;0,00;0,00
1160 Vindafjord;1160;Vindafjord;11161600,00;8529600,00;1595000,00;6934600,00;0,00;2426600,00;0,00;45800,00;0,00;159600,00
1201 Bergen;1201;Bergen;331686441,00;242433175,00;80974125,00;161459050,00;2215271,00;66339700,00;15160495,00;859200,00;706500,00;3972100,00
1211 Etne;1211;Etne;3197600,00;2340000,00;2340000,00;0,00;0,00;811800,00;0,00;45800,00;0,00;0,00
1216 Sveio;1216;Sveio;10201000,00;8033000,00;1530000,00;6503000,00;0,00;1763200,00;130900,00;68700,00;0,00;205200,00
1219 Bømlo;1219;Bømlo;22185475,00;13849200,00;2745000,00;11104200,00;320000,00;6198400,00;1407175,00;68700,00;0,00;342000,00
1221 Stord;1221;Stord;13354025,00;7190000,00;1550000,00;5640200,00;0,00;5835200,00;32725,00;22900,00;147600,00;125400,00
1222 Fitjar;1222;Fitjar;795500,00;0,00;0,00;0,00;0,00;795500,00;0,00;0,00;0,00;0,00
1223 Tysnes;1223;Tysnes;829300,00;0,00;0,00;0,00;0,00;829300,00;0,00;0,00;0,00;0,00
1224 Kvinnherad;1224;Kvinnherad;16537349,00;12480000,00;3051000,00;9429000,00;0,00;2741200,00;850849,00;22900,00;147600,00;294800,00
1227 Jondal;1227;Jondal;680000,00;0,00;0,00;0,00;0,00;680000,00;0,00;0,00;0,00;0,00
1228 Odda;1228;Odda;10345682,00;4175000,00;4175000,00;0,00;675898,00;5117600,00;239984,00;91600,00;0,00;45600,00
1231 Ullensvang;1231;Ullensvang;13072700,00;8425300,00;3276500,00;5148800,00;0,00;3892600,00;392700,00;44700,00;147600,00;169800,00
1232 Eidfjord;1232;Eidfjord;1375100,00;760000,00;620000,00;140000,00;0,00;580800,00;0,00;22900,00;0,00;11400,00
1233 Ulvik;1233;Ulvik;701300,00;0,00;0,00;0,00;0,00;701300,00;0,00;0,00;0,00;0,00
1234 Granvin;1234;Granvin;181500,00;0,00;0,00;0,00;0,00;181500,00;0,00;0,00;0,00;0,00
1235 Voss;1235;Voss;23026966,00;15163950,00;4950500,00;10213450,00;0,00;6714700,00;873516,00;128600,00;0,00;146200,00
1238 Kvam;1238;Kvam;16074163,00;11893400,00;4090000,00;7803400,00;575663,00;3234000,00;0,00;22900,00;143000,00;205200,00
1241 Fusa;1241;Fusa;679300,00;0,00;0,00;0,00;0,00;679300,00;0,00;0,00;0,00;0,00
1242 Samnanger;1242;Samnanger;4466100,00;1301800,00;0,00;1301800,00;2344600,00;785500,00;0,00;0,00;0,00;34200,00
1243 Os (Hord.);1243;Os (Hord.);9695100,00;6138000,00;1495000,00;4643000,00;0,00;3346200,00;130900,00;45800,00;0,00;34200,00
1244 Austevoll;1244;Austevoll;1020000,00;70000,00;0,00;70000,00;0,00;950000,00;0,00;0,00;0,00;0,00
1245 Sund;1245;Sund;6581000,00;2749000,00;430000,00;2319000,00;0,00;3775000,00;0,00;0,00;0,00;57000,00
1246 Fjell;1246;Fjell;17633033,00;13328800,00;3820000,00;9508800,00;399033,00;3620000,00;0,00;45800,00;0,00;239400,00
1247 Askøy;1247;Askøy;24131430,00;17445500,00;4966500,00;12479000,00;0,00;4638500,00;1547630,00;113400,00;0,00;386400,00
1251 Vaksdal;1251;Vaksdal;11239600,00;9370000,00;3103000,00;6267000,00;0,00;1735100,00;0,00;43600,00;0,00;90900,00
1252 Modalen;1252;Modalen;446700,00;0,00;0,00;0,00;0,00;315800,00;130900,00;0,00;0,00;0,00
1253 Osterøy;1253;Osterøy;1521500,00;0,00;0,00;0,00;0,00;1521500,00;0,00;0,00;0,00;0,00
1256 Meland;1256;Meland;8819700,00;6142200,00;2005000,00;4137200,00;210600,00;2011400,00;261800,00;68700,00;0,00;125000,00
1259 Øygarden;1259;Øygarden;13440600,00;11074100,00;3341500,00;7732600,00;0,00;2263900,00;0,00;0,00;0,00;102600,00
1260 Radøy;1260;Radøy;5213900,00;3534200,00;958000,00;2576200,00;0,00;1622700,00;0,00;0,00;0,00;57000,00
1263 Lindås;1263;Lindås;10739865,00;6684800,00;2705000,00;3979800,00;0,00;2695100,00;1257165,00;45800,00;0,00;57000,00
1264 Austrheim;1264;Austrheim;2014600,00;900000,00;740000,00;160000,00;0,00;1080300,00;0,00;22900,00;0,00;11400,00
1265 Fedje;1265;Fedje;175000,00;0,00;0,00;0,00;0,00;175000,00;0,00;0,00;0,00;0,00
1266 Masfjorden;1266;Masfjorden;608800,00;0,00;0,00;0,00;0,00;608800,00;0,00;0,00;0,00;0,00
1401 Flora;1401;Flora;37686500,00;28159400,00;8124000,00;20035400,00;0,00;7148700,00;1570800,00;205000,00;295200,00;307400,00
1411 Gulen;1411;Gulen;540000,00;0,00;0,00;0,00;0,00;540000,00;0,00;0,00;0,00;0,00
1412 Solund;1412;Solund;62800,00;0,00;0,00;0,00;0,00;62800,00;0,00;0,00;0,00;0,00
1413 Hyllestad;1413;Hyllestad;1467200,00;1215000,00;1215000,00;0,00;0,00;206400,00;0,00;45800,00;0,00;0,00
1416 Høyanger;1416;Høyanger;9267875,00;7286800,00;4100000,00;3186800,00;0,00;1432600,00;229075,00;45800,00;0,00;273600,00
1417 Vik;1417;Vik;1562800,00;971800,00;0,00;971800,00;0,00;568200,00;0,00;0,00;0,00;22800,00
1418 Balestrand;1418;Balestrand;3698200,00;2849000,00;0,00;2849000,00;0,00;815000,00;0,00;0,00;0,00;34200,00
1419 Leikanger;1419;Leikanger;3634600,00;2603600,00;765000,00;1838600,00;0,00;928400,00;0,00;0,00;0,00;102600,00
1420 Sogndal;1420;Sogndal;28811283,00;19532900,00;9346500,00;10186400,00;0,00;8736300,00;109083,00;91600,00;147600,00;193800,00
1421 Aurland;1421;Aurland;295200,00;0,00;0,00;0,00;0,00;295200,00;0,00;0,00;0,00;0,00
1422 Lærdal;1422;Lærdal;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1424 Årdal;1424;Årdal;4130700,00;270000,00;0,00;270000,00;0,00;3860700,00;0,00;0,00;0,00;0,00
1426 Luster;1426;Luster;5122300,00;4125800,00;1700000,00;2425800,00;0,00;859400,00;0,00;68700,00;0,00;68400,00
1428 Askvoll;1428;Askvoll;849000,00;0,00;0,00;0,00;0,00;849000,00;0,00;0,00;0,00;0,00
1429 Fjaler;1429;Fjaler;966800,00;0,00;0,00;0,00;0,00;966800,00;0,00;0,00;0,00;0,00
1430 Gaular;1430;Gaular;684400,00;0,00;0,00;0,00;0,00;684400,00;0,00;0,00;0,00;0,00
1431 Jølster;1431;Jølster;9816000,00;4284400,00;445000,00;3839400,00;0,00;5452700,00;0,00;44700,00;0,00;34200,00
1432 Førde;1432;Førde;21139700,00;13059700,00;4501500,00;8558200,00;0,00;7101100,00;523600,00;182100,00;0,00;273200,00
1433 Naustdal;1433;Naustdal;540000,00;0,00;0,00;0,00;0,00;540000,00;0,00;0,00;0,00;0,00
1438 Bremanger;1438;Bremanger;13654300,00;6829800,00;2400000,00;4429800,00;0,00;6385500,00;130900,00;68700,00;0,00;239400,00
1439 Vågsøy;1439;Vågsøy;1077100,00;80000,00;0,00;80000,00;0,00;997100,00;0,00;0,00;0,00;0,00
1441 Selje;1441;Selje;956500,00;0,00;0,00;0,00;0,00;956500,00;0,00;0,00;0,00;0,00
1443 Eid;1443;Eid;8466910,00;5510200,00;1878000,00;3632200,00;0,00;1504000,00;1328110,00;67600,00;0,00;57000,00
1444 Hornindal;1444;Hornindal;184400,00;0,00;0,00;0,00;0,00;184400,00;0,00;0,00;0,00;0,00
1445 Gloppen;1445;Gloppen;13070165,00;9591400,00;4108000,00;5483400,00;0,00;1978900,00;1362865,00;45800,00;0,00;91200,00
1449 Stryn;1449;Stryn;15722700,00;13031600,00;5091000,00;7940600,00;0,00;2248100,00;0,00;135200,00;0,00;307800,00
1502 Molde;1502;Molde;55628243,00;39167100,00;12617500,00;26549600,00;1516789,00;10117600,00;3805654,00;201700,00;147600,00;671800,00
1504 Ålesund;1504;Ålesund;44098559,00;26527700,00;8810000,00;17717700,00;0,00;13674500,00;3348859,00;68700,00;0,00;478800,00
1505 Kristiansund;1505;Kristiansund;29169900,00;23453600,00;3799500,00;19654100,00;0,00;5157400,00;0,00;68700,00;0,00;490200,00
1511 Vanylven;1511;Vanylven;744300,00;0,00;0,00;0,00;0,00;744300,00;0,00;0,00;0,00;0,00
1514 Sande (M. og R.);1514;Sande (M. og R.);354400,00;0,00;0,00;0,00;0,00;354400,00;0,00;0,00;0,00;0,00
1515 Herøy (M. og R.);1515;Herøy (M. og R.);7193300,00;5445800,00;1840000,00;3605800,00;0,00;1599100,00;0,00;45800,00;0,00;102600,00
1516 Ulstein;1516;Ulstein;21451696,00;13980000,00;5834000,00;8146000,00;700296,00;6144800,00;261800,00;91600,00;0,00;273200,00
1517 Hareid;1517;Hareid;6823970,00;4039800,00;145000,00;3894800,00;0,00;1671700,00;1032570,00;22900,00;0,00;57000,00
1519 Volda;1519;Volda;35635562,00;21407700,00;6146500,00;15261200,00;2670430,00;7493700,00;3519332,00;135200,00;0,00;409200,00
1520 Ørsta;1520;Ørsta;19058728,00;13149400,00;3686500,00;9462900,00;689833,00;2940100,00;2006795,00;45800,00;0,00;226800,00
1523 Ørskog;1523;Ørskog;861600,00;0,00;0,00;0,00;0,00;861600,00;0,00;0,00;0,00;0,00
1524 Norddal;1524;Norddal;355800,00;0,00;0,00;0,00;0,00;355800,00;0,00;0,00;0,00;0,00
1525 Stranda;1525;Stranda;891200,00;0,00;0,00;0,00;0,00;891200,00;0,00;0,00;0,00;0,00
1526 Stordal;1526;Stordal;453200,00;215000,00;215000,00;0,00;0,00;238200,00;0,00;0,00;0,00;0,00
1528 Sykkylven;1528;Sykkylven;11330900,00;8954700,00;2659500,00;6295200,00;0,00;2028000,00;0,00;0,00;143000,00;205200,00
1529 Skodje;1529;Skodje;967700,00;0,00;0,00;0,00;0,00;967700,00;0,00;0,00;0,00;0,00
1531 Sula;1531;Sula;2946100,00;1595000,00;1055000,00;540000,00;0,00;1236800,00;0,00;68700,00;0,00;45600,00
1532 Giske;1532;Giske;11229500,00;8744300,00;3071500,00;5672800,00;0,00;2246400,00;0,00;45800,00;0,00;193000,00
1534 Haram;1534;Haram;13958900,00;10359000,00;2873000,00;7486000,00;0,00;3225300,00;0,00;21800,00;147600,00;205200,00
1535 Vestnes;1535;Vestnes;6639555,00;333600,00;0,00;333600,00;0,00;5680900,00;613655,00;0,00;0,00;11400,00
1539 Rauma;1539;Rauma;1254300,00;0,00;0,00;0,00;0,00;1254300,00;0,00;0,00;0,00;0,00
1543 Nesset;1543;Nesset;231300,00;0,00;0,00;0,00;0,00;231300,00;0,00;0,00;0,00;0,00
1545 Midsund;1545;Midsund;1260900,00;0,00;0,00;0,00;0,00;1260900,00;0,00;0,00;0,00;0,00
1546 Sandøy;1546;Sandøy;664200,00;0,00;0,00;0,00;0,00;664200,00;0,00;0,00;0,00;0,00
1547 Aukra;1547;Aukra;2686200,00;1434000,00;360000,00;1074000,00;0,00;1240800,00;0,00;0,00;0,00;11400,00
1548 Fræna;1548;Fræna;7039400,00;5239000,00;1815000,00;3424000,00;0,00;1686300,00;0,00;22900,00;0,00;91200,00
1551 Eide;1551;Eide;4025300,00;2812600,00;895000,00;1917600,00;0,00;1167000,00;0,00;22900,00;0,00;22800,00
1554 Averøy;1554;Averøy;3277300,00;1910000,00;1910000,00;0,00;0,00;1333000,00;0,00;22900,00;0,00;11400,00
1557 Gjemnes;1557;Gjemnes;790800,00;0,00;0,00;0,00;0,00;790800,00;0,00;0,00;0,00;0,00
1560 Tingvoll;1560;Tingvoll;6982000,00;2778600,00;645000,00;2133600,00;0,00;3264300,00;916300,00;0,00;0,00;22800,00
1563 Sunndal;1563;Sunndal;41179495,00;24529800,00;9345000,00;15184800,00;686588,00;12667900,00;2759807,00;45800,00;147600,00;342000,00
1566 Surnadal;1566;Surnadal;3589700,00;2505000,00;2505000,00;0,00;0,00;1038900,00;0,00;45800,00;0,00;0,00
1567 Rindal;1567;Rindal;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1571 Halsa;1571;Halsa;785100,00;0,00;0,00;0,00;0,00;785100,00;0,00;0,00;0,00;0,00
1573 Smøla;1573;Smøla;218300,00;0,00;0,00;0,00;0,00;218300,00;0,00;0,00;0,00;0,00
1576 Aure;1576;Aure;15054451,00;11700225,00;4874500,00;6825725,00;731626,00;2036400,00;0,00;178800,00;147600,00;259800,00
1601 Trondheim;1601;Trondheim;277253420,00;187048300,00;52675000,00;134373300,00;29293933,00;45334930,00;11295957,00;812300,00;881000,00;2587000,00
1612 Hemne;1612;Hemne;7072500,00;2409000,00;1055000,00;1354000,00;0,00;4333200,00;261800,00;22900,00;0,00;45600,00
1613 Snillfjord;1613;Snillfjord;562300,00;0,00;0,00;0,00;0,00;562300,00;0,00;0,00;0,00;0,00
1617 Hitra;1617;Hitra;7990000,00;4029000,00;165000,00;3864000,00;0,00;3938200,00;0,00;0,00;0,00;22800,00
1620 Frøya;1620;Frøya;1255700,00;0,00;0,00;0,00;0,00;1255700,00;0,00;0,00;0,00;0,00
1621 Ørland;1621;Ørland;1050100,00;0,00;0,00;0,00;0,00;1050100,00;0,00;0,00;0,00;0,00
1622 Agdenes;1622;Agdenes;324400,00;0,00;0,00;0,00;0,00;324400,00;0,00;0,00;0,00;0,00
1624 Rissa;1624;Rissa;6007300,00;3669400,00;1460000,00;2209400,00;0,00;1518200,00;785400,00;22900,00;0,00;11400,00
1627 Bjugn;1627;Bjugn;1390000,00;0,00;0,00;0,00;0,00;1390000,00;0,00;0,00;0,00;0,00
1630 Åfjord;1630;Åfjord;1121900,00;215000,00;215000,00;0,00;0,00;906900,00;0,00;0,00;0,00;0,00
1632 Roan;1632;Roan;278600,00;0,00;0,00;0,00;0,00;278600,00;0,00;0,00;0,00;0,00
1633 Osen;1633;Osen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1634 Oppdal;1634;Oppdal;11872900,00;9612200,00;2746500,00;6865700,00;0,00;2101900,00;0,00;67600,00;0,00;91200,00
1635 Rennebu;1635;Rennebu;913200,00;670000,00;670000,00;0,00;0,00;208900,00;0,00;22900,00;0,00;11400,00
1636 Meldal;1636;Meldal;1236400,00;0,00;0,00;0,00;0,00;1236400,00;0,00;0,00;0,00;0,00
1638 Orkdal;1638;Orkdal;22589400,00;18203600,00;6009500,00;12194100,00;0,00;3303400,00;523600,00;201700,00;143000,00;214100,00
1640 Røros;1640;Røros;6269400,00;4822600,00;1275000,00;3547600,00;0,00;1310000,00;0,00;0,00;0,00;136800,00
1644 Holtålen;1644;Holtålen;637100,00;0,00;0,00;0,00;0,00;637100,00;0,00;0,00;0,00;0,00
1648 Midtre Gauldal;1648;Midtre Gauldal;8098300,00;6280600,00;1975000,00;4305600,00;0,00;1692200,00;0,00;22900,00;0,00;102600,00
1653 Melhus;1653;Melhus;15146100,00;11833600,00;4164800,00;7668800,00;0,00;2516900,00;523600,00;67600,00;0,00;204400,00
1657 Skaun;1657;Skaun;4753900,00;3420400,00;1025000,00;2395400,00;0,00;1265100,00;0,00;0,00;0,00;68400,00
1662 Klæbu;1662;Klæbu;2623713,00;350000,00;0,00;350000,00;1008013,00;1265700,00;0,00;0,00;0,00;0,00
1663 Malvik;1663;Malvik;8656200,00;6171200,00;1940000,00;4231200,00;0,00;2382400,00;0,00;0,00;0,00;102600,00
1664 Selbu;1664;Selbu;671000,00;0,00;0,00;0,00;0,00;671000,00;0,00;0,00;0,00;0,00
1665 Tydal;1665;Tydal;212400,00;0,00;0,00;0,00;0,00;212400,00;0,00;0,00;0,00;0,00
1702 Steinkjer;1702;Steinkjer;40666930,00;27582500,00;8544000,00;19038500,00;0,00;9854400,00;2594830,00;135200,00;0,00;500000,00
1703 Namsos;1703;Namsos;42558100,00;30162200,00;10211500,00;19950700,00;0,00;11354800,00;130900,00;226800,00;147600,00;535800,00
1711 Meråker;1711;Meråker;12208060,00;8999200,00;2195000,00;6804200,00;302960,00;2734800,00;0,00;22900,00;0,00;148200,00
1714 Stjørdal;1714;Stjørdal;41135055,00;30127950,00;8181000,00;21946950,00;1047655,00;6283700,00;3038350,00;130800,00;143000,00;363600,00
1717 Frosta;1717;Frosta;868100,00;0,00;0,00;0,00;0,00;868100,00;0,00;0,00;0,00;0,00
1718 Leksvik;1718;Leksvik;5259580,00;3342600,00;1585000,00;1757600,00;0,00;1489980,00;392700,00;22900,00;0,00;11400,00
1719 Levanger;1719;Levanger;39010794,00;27790050,00;7946500,00;19843550,00;600888,00;6874700,00;3174756,00;91600,00;0,00;478800,00
1721 Verdal;1721;Verdal;21100300,00;17252900,00;6590000,00;10662900,00;0,00;3067100,00;392700,00;0,00;0,00;387600,00
1724 Verran;1724;Verran;6494800,00;5127600,00;2510000,00;2617600,00;0,00;1287200,00;0,00;45800,00;0,00;34200,00
1725 Namdalseid;1725;Namdalseid;651100,00;0,00;0,00;0,00;0,00;651100,00;0,00;0,00;0,00;0,00
1736 Snåsa;1736;Snåsa;302800,00;0,00;0,00;0,00;0,00;302800,00;0,00;0,00;0,00;0,00
1738 Lierne;1738;Lierne;256400,00;70000,00;0,00;70000,00;0,00;175000,00;0,00;0,00;0,00;11400,00
1739 Røyrvik;1739;Røyrvik;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1740 Namsskogan;1740;Namsskogan;228800,00;0,00;0,00;0,00;0,00;228800,00;0,00;0,00;0,00;0,00
1742 Grong;1742;Grong;23076414,00;11281100,00;2086500,00;9194600,00;0,00;8165100,00;3096614,00;21800,00;295200,00;216600,00
1743 Høylandet;1743;Høylandet;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1744 Overhalla;1744;Overhalla;8398818,00;5568700,00;2291500,00;3277200,00;183753,00;1158000,00;1362865,00;22900,00;0,00;102600,00
1748 Fosnes;1748;Fosnes;695400,00;0,00;0,00;0,00;0,00;695400,00;0,00;0,00;0,00;0,00
1749 Flatanger;1749;Flatanger;655900,00;0,00;0,00;0,00;0,00;655900,00;0,00;0,00;0,00;0,00
1750 Vikna;1750;Vikna;11721200,00;9502800,00;3130000,00;6372800,00;0,00;2013300,00;0,00;68700,00;0,00;136400,00
1751 Nærøy;1751;Nærøy;14427200,00;11695500,00;4324550,00;7370950,00;0,00;2480600,00;0,00;68700,00;0,00;182400,00
1755 Leka;1755;Leka;637100,00;0,00;0,00;0,00;0,00;637100,00;0,00;0,00;0,00;0,00
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);10067600,00;8124000,00;2993000,00;5131000,00;0,00;1717500,00;0,00;66500,00;0,00;159600,00
1804 Bodø;1804;Bodø;92444716,00;59958500,00;19322000,00;40636500,00;1606383,00;25770700,00;3708833,00;489500,00;0,00;910800,00
1805 Narvik;1805;Narvik;33529400,00;22219000,00;7582000,00;14637000,00;1221800,00;9114200,00;261800,00;270400,00;0,00;442200,00
1811 Bindal;1811;Bindal;666200,00;70000,00;0,00;70000,00;0,00;596200,00;0,00;0,00;0,00;0,00
1812 Sømna;1812;Sømna;5834900,00;4378400,00;860000,00;3518400,00;0,00;1410900,00;0,00;0,00;0,00;45600,00
1813 Brønnøy;1813;Brønnøy;16441900,00;12912200,00;2940000,00;9972200,00;0,00;3233000,00;0,00;68700,00;0,00;228000,00
1815 Vega;1815;Vega;896200,00;0,00;0,00;0,00;0,00;896200,00;0,00;0,00;0,00;0,00
1816 Vevelstad;1816;Vevelstad;206400,00;0,00;0,00;0,00;0,00;206400,00;0,00;0,00;0,00;0,00
1818 Herøy (Nordl.);1818;Herøy (Nordl.);4761500,00;3496200,00;465000,00;3031200,00;0,00;1197300,00;0,00;0,00;0,00;68000,00
1820 Alstahaug;1820;Alstahaug;30888422,00;20837300,00;5584500,00;15252800,00;0,00;7717700,00;1798522,00;80100,00;0,00;454800,00
1822 Leirfjord;1822;Leirfjord;12917600,00;11048800,00;5125000,00;5923800,00;0,00;1406700,00;130900,00;137400,00;0,00;193800,00
1824 Vefsn;1824;Vefsn;25824675,00;15654000,00;4865000,00;10789000,00;0,00;7835100,00;2061675,00;68700,00;0,00;205200,00
1825 Grane;1825;Grane;315000,00;0,00;0,00;0,00;0,00;315000,00;0,00;0,00;0,00;0,00
1826 Hattfjelldal;1826;Hattfjelldal;7544700,00;2623000,00;815000,00;1808000,00;0,00;4830400,00;0,00;22900,00;0,00;68400,00
1827 Dønna;1827;Dønna;662700,00;0,00;0,00;0,00;0,00;662700,00;0,00;0,00;0,00;0,00
1828 Nesna;1828;Nesna;21044319,00;10060700,00;2496500,00;7564200,00;160000,00;6813900,00;3838719,00;0,00;0,00;171000,00
1832 Hemnes;1832;Hemnes;6705600,00;5259800,00;1065000,00;4194800,00;0,00;1297500,00;0,00;22900,00;0,00;125400,00
1833 Rana;1833;Rana;40080158,00;29726000,00;8915000,00;20811000,00;0,00;8992000,00;599958,00;135200,00;0,00;627000,00
1834 Lurøy;1834;Lurøy;788600,00;0,00;0,00;0,00;0,00;788600,00;0,00;0,00;0,00;0,00
1835 Træna;1835;Træna;245000,00;70000,00;0,00;70000,00;0,00;175000,00;0,00;0,00;0,00;0,00
1836 Rødøy;1836;Rødøy;709700,00;0,00;0,00;0,00;0,00;709700,00;0,00;0,00;0,00;0,00
1837 Meløy;1837;Meløy;7376352,00;5203900,00;1281500,00;3922400,00;314700,00;1686400,00;102952,00;0,00;0,00;68400,00
1838 Gildeskål;1838;Gildeskål;11081200,00;9430600,00;5303000,00;4127600,00;0,00;1469800,00;0,00;0,00;0,00;180800,00
1839 Beiarn;1839;Beiarn;1685200,00;1365000,00;1365000,00;0,00;0,00;228800,00;0,00;45800,00;0,00;45600,00
1840 Saltdal;1840;Saltdal;14378800,00;5657600,00;1740000,00;3917600,00;0,00;8595600,00;0,00;45800,00;0,00;79800,00
1841 Fauske;1841;Fauske;21224082,00;15462900,00;5991500,00;9471400,00;2116682,00;2836900,00;261800,00;181000,00;0,00;364800,00
1845 Sørfold;1845;Sørfold;877900,00;0,00;0,00;0,00;0,00;877900,00;0,00;0,00;0,00;0,00
1848 Steigen;1848;Steigen;7838700,00;6558500,00;2631500,00;3927000,00;0,00;1122800,00;0,00;21800,00;0,00;135600,00
1849 Hamarøy;1849;Hamarøy;12331335,00;7021400,00;3417000,00;3604400,00;0,00;1766100,00;3430035,00;45800,00;0,00;68000,00
1850 Tysfjord;1850;Tysfjord;4921800,00;3542200,00;1525000,00;2017200,00;0,00;1311100,00;0,00;0,00;0,00;68500,00
1851 Lødingen;1851;Lødingen;15596370,00;7604900,00;1966500,00;5638400,00;0,00;7548400,00;272370,00;22900,00;0,00;147800,00
1852 Tjeldsund;1852;Tjeldsund;916200,00;0,00;0,00;0,00;0,00;916200,00;0,00;0,00;0,00;0,00
1853 Evenes;1853;Evenes;7226900,00;5766800,00;1838000,00;3928800,00;0,00;1303300,00;0,00;43600,00;0,00;113200,00
1854 Ballangen;1854;Ballangen;7715900,00;6112800,00;2143000,00;3969800,00;0,00;1511900,00;0,00;0,00;0,00;91200,00
1856 Røst;1856;Røst;208900,00;0,00;0,00;0,00;0,00;208900,00;0,00;0,00;0,00;0,00
1857 Værøy;1857;Værøy;259100,00;0,00;0,00;0,00;0,00;259100,00;0,00;0,00;0,00;0,00
1859 Flakstad;1859;Flakstad;540000,00;0,00;0,00;0,00;0,00;540000,00;0,00;0,00;0,00;0,00
1860 Vestvågøy;1860;Vestvågøy;44099669,00;27912000,00;7428000,00;20484000,00;4338000,00;8253600,00;2628569,00;182100,00;295200,00;490200,00
1865 Vågan;1865;Vågan;32794075,00;21970200,00;6336500,00;15633700,00;489450,00;7338300,00;2519825,00;179900,00;0,00;296400,00
1866 Hadsel;1866;Hadsel;28804701,00;17762500,00;1310000,00;16452500,00;4197801,00;6154800,00;130900,00;22900,00;0,00;535800,00
1867 Bø (Nordl.);1867;Bø (Nordl.);5578219,00;4035000,00;2250000,00;1785000,00;460219,00;900300,00;0,00;68700,00;0,00;114000,00
1868 Øksnes;1868;Øksnes;5059300,00;3278800,00;2198000,00;1080800,00;0,00;1735800,00;0,00;44700,00;0,00;0,00
1870 Sortland;1870;Sortland;26832867,00;20954900,00;6461500,00;14493400,00;0,00;3298100,00;1919867,00;113400,00;147600,00;399000,00
1871 Andøy;1871;Andøy;24151300,00;20347300,00;6683500,00;13663800,00;430000,00;2735000,00;0,00;174400,00;0,00;464600,00
1874 Moskenes;1874;Moskenes;271700,00;0,00;0,00;0,00;0,00;271700,00;0,00;0,00;0,00;0,00
1902 Tromsø;1902;Tromsø;108939925,00;78202900,00;22009000,00;56193900,00;1841200,00;22117700,00;5006925,00;582200,00;143000,00;1046000,00
1903 Harstad (f.o.m 01.01.2013);1903;Harstad (f.o.m. 01.01.2013);65051989,00;48462600,00;13419000,00;35043600,00;2487389,00;12471300,00;523600,00;297700,00;0,00;809400,00
1911 Kvæfjord;1911;Kvæfjord;14854340,00;7432400,00;620000,00;6812400,00;792140,00;6368200,00;0,00;0,00;147600,00;114000,00
1913 Skånland;1913;Skånland;6604300,00;5059100,00;1840000,00;3219100,00;0,00;1157700,00;261800,00;68700,00;0,00;57000,00
1917 Ibestad;1917;Ibestad;7237588,00;3067000,00;643000,00;2424000,00;800100,00;728400,00;2540288,00;0,00;0,00;101800,00
1919 Gratangen;1919;Gratangen;2941400,00;1959000,00;0,00;1959000,00;0,00;914000,00;0,00;0,00;0,00;68400,00
1920 Lavangen;1920;Lavangen;184400,00;0,00;0,00;0,00;0,00;184400,00;0,00;0,00;0,00;0,00
1922 Bardu;1922;Bardu;11518300,00;5797600,00;2515000,00;3282600,00;0,00;5663700,00;0,00;0,00;0,00;57000,00
1923 Salangen;1923;Salangen;23075200,00;9364800,00;2691000,00;6673800,00;0,00;7003400,00;6684100,00;22900,00;0,00;0,00
1924 Målselv;1924;Målselv;14088600,00;7975200,00;2990000,00;4985200,00;0,00;5930700,00;0,00;68700,00;0,00;114000,00
1925 Sørreisa;1925;Sørreisa;3434700,00;2010000,00;2010000,00;0,00;0,00;1356200,00;0,00;22900,00;0,00;45600,00
1926 Dyrøy;1926;Dyrøy;775000,00;0,00;0,00;0,00;0,00;775000,00;0,00;0,00;0,00;0,00
1927 Tranøy;1927;Tranøy;10794800,00;9052600,00;3354500,00;5698100,00;0,00;1514400,00;0,00;45800,00;0,00;182000,00
1928 Torsken;1928;Torsken;291500,00;0,00;0,00;0,00;0,00;291500,00;0,00;0,00;0,00;0,00
1929 Berg;1929;Berg;8426400,00;6677100,00;831500,00;5845600,00;328000,00;1218700,00;0,00;21800,00;0,00;180800,00
