kommune;kommune_nr;kommune_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle
;;;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1101 Eigersund;1101;Eigersund;5,9;9,6;24,1;16,1;5
1102 Sandnes;1102;Sandnes;5,3;12;18,5;15,3;3,8
1103 Stavanger;1103;Stavanger;6,6;11,2;22,6;17,2;4,8
1106 Haugesund;1106;Haugesund;8,7;22;29,7;25,9;6,7
1111 Sokndal;1111;Sokndal;6,4;:;:;:;6,3
1112 Lund;1112;Lund;6,3;:;25,9;17,1;5,6
1114 Bjerkreim;1114;Bjerkreim;2,6;:;:;:;2,4
1119 Hå;1119;Hå;5,5;16,1;29,3;20,1;3,9
1120 Klepp;1120;Klepp;4,8;14,6;26,1;18,8;3,4
1121 Time;1121;Time;4,5;12,2;26,5;19,2;3,3
1122 Gjesdal;1122;Gjesdal;4,1;7,7;15,2;10;3,5
1124 Sola;1124;Sola;4,5;11,3;15,8;13,2;3,3
1127 Randaberg;1127;Randaberg;4,3;15,7;15,1;15,4;3,3
1129 Forsand;1129;Forsand;4,7;21,5;:;22,2;3,3
1130 Strand;1130;Strand;5,6;16,3;21,8;18,7;4,6
1133 Hjelmeland;1133;Hjelmeland;7;18,4;28,2;21,6;4,7
1134 Suldal;1134;Suldal;7,2;10,2;51;25,7;5,7
1135 Sauda;1135;Sauda;6,4;25;28,1;26,3;5,2
1141 Finnøy;1141;Finnøy;6,8;20,9;:;19,5;5,5
1142 Rennesøy;1142;Rennesøy;4;15,6;35,1;19,6;2,5
1144 Kvitsøy;1144;Kvitsøy;4,2;:;:;:;3,7
1145 Bokn;1145;Bokn;6,8;:;:;24,5;5,6
1146 Tysvær;1146;Tysvær;4,4;19,1;26,7;22,7;3,4
1149 Karmøy;1149;Karmøy;7,3;21,8;30,2;25,2;6
1151 Utsira;1151;Utsira;4,6;:;:;:;3,9
1160 Vindafjord;1160;Vindafjord;7;23,1;38,2;26,6;5,3
1201 Bergen;1201;Bergen;9,2;19,7;30,8;25,7;7,2
1211 Etne;1211;Etne;6;21;:;20,5;4,9
1216 Sveio;1216;Sveio;6,7;21,3;29,8;24,5;5,4
1219 Bømlo;1219;Bømlo;6,8;14,6;33,9;23;5,6
1221 Stord;1221;Stord;6,3;14,8;31,1;22,5;5
1222 Fitjar;1222;Fitjar;5,4;:;:;12,1;5,1
1223 Tysnes;1223;Tysnes;8;26,2;:;22,1;7,1
1224 Kvinnherad;1224;Kvinnherad;6,6;26,9;31;28,6;5,4
1227 Jondal;1227;Jondal;6,8;:;:;:;6,1
1228 Odda;1228;Odda;6;10,3;17,5;13,2;5,4
1231 Ullensvang;1231;Ullensvang;6,6;11;25;16,7;5,8
1232 Eidfjord;1232;Eidfjord;7,8;28,6;:;25,4;6,4
