Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
1235 Voss;1235;Voss;971;1744;747;1734;4310;2146;2516;28;64;32;208;454;70;54;943;1680;715;1526;3856;2076;2462;503;880;393;907;2211;1085;1093;16;31;19;119;252;39;24;487;849;374;788;1959;1046;1069;468;864;354;827;2099;1061;1423;12;33;13;89;202;31;30;456;831;341;738;1897;1030;1393
1238 Kvam;1238;Kvam;576;1052;474;1071;2555;1326;1530;18;92;43;170;434;57;31;558;960;431;901;2121;1269;1499;296;554;254;564;1385;679;672;10;54;23;85;261;41;12;286;500;231;479;1124;638;660;280;498;220;507;1170;647;858;8;38;20;85;173;16;19;272;460;200;422;997;631;839
1241 Fusa;1241;Fusa;238;571;211;369;1171;626;643;5;24;3;45;128;25;8;233;547;208;324;1043;601;635;117;283;105;205;620;328;300;1;11;0;21;74;9;1;116;272;105;184;546;319;299;121;288;106;164;551;298;343;4;13;3;24;54;16;7;117;275;103;140;497;282;336
1242 Samnanger;1242;Samnanger;180;289;119;269;773;419;387;0;20;7;21;91;10;6;180;269;112;248;682;409;381;93;154;65;124;419;215;175;0;10;3;8;43;5;3;93;144;62;116;376;210;172;87;135;54;145;354;204;212;0;10;4;13;48;5;3;87;125;50;132;306;199;209
1243 Os;1243;Os (Hord.);1754;2578;999;2413;6313;2524;2097;61;131;61;348;994;103;37;1693;2447;938;2065;5319;2421;2060;879;1323;522;1258;3252;1262;976;32;64;25;172;551;54;17;847;1259;497;1086;2701;1208;959;875;1255;477;1155;3061;1262;1121;29;67;36;176;443;49;20;846;1188;441;979;2618;1213;1101
1244 Austevoll;1244;Austevoll;439;671;257;645;1564;704;644;13;40;9;117;294;26;8;426;631;248;528;1270;678;636;220;350;138;327;843;380;302;5;23;4;53;178;18;3;215;327;134;274;665;362;299;219;321;119;318;721;324;342;8;17;5;64;116;8;5;211;304;114;254;605;316;337
1245 Sund;1245;Sund;628;933;322;850;2171;981;750;13;63;18;124;328;52;24;615;870;304;726;1843;929;726;326;485;171;454;1128;518;357;5;31;8;66;178;31;15;321;454;163;388;950;487;342;302;448;151;396;1043;463;393;8;32;10;58;150;21;9;294;416;141;338;893;442;384
1246 Fjell;1246;Fjell;2033;3556;1587;2996;8536;2897;2247;54;189;75;315;1097;135;66;1979;3367;1512;2681;7439;2762;2181;1061;1760;841;1515;4395;1502;1040;27;87;38;147;599;84;24;1034;1673;803;1368;3796;1418;1016;972;1796;746;1481;4141;1395;1207;27;102;37;168;498;51;42;945;1694;709;1313;3643;1344;1165
1247 Askøy;1247;Askøy;2648;4033;1483;3144;9675;3496;2867;57;191;80;330;1153;151;63;2591;3842;1403;2814;8522;3345;2804;1362;2052;791;1555;5002;1784;1314;24;93;43;167;637;90;31;1338;1959;748;1388;4365;1694;1283;1286;1981;692;1589;4673;1712;1553;33;98;37;163;516;61;32;1253;1883;655;1426;4157;1651;1521
1251 Vaksdal;1251;Vaksdal;280;482;221;486;1241;608;822;11;23;10;53;143;19;12;269;459;211;433;1098;589;810;145;231;120;232;646;333;362;8;12;7;27;77;9;4;137;219;113;205;569;324;358;135;251;101;254;595;275;460;3;11;3;26;66;10;8;132;240;98;228;529;265;452
1252 Modalen;1252;Modalen;25;56;22;38;127;49;55;0;3;0;3;14;0;0;25;53;22;35;113;49;55;11;22;12;20;65;29;25;0;3;0;0;7;0;0;11;19;12;20;58;29;25;14;34;10;18;62;20;30;0;0;0;3;7;0;0;14;34;10;15;55;20;30
1253 Osterøy;1253;Osterøy;564;1060;468;984;2472;1117;1121;26;65;23;109;325;28;8;538;995;445;875;2147;1089;1113;279;564;233;499;1304;584;534;14;26;13;48;182;21;5;265;538;220;451;1122;563;529;285;496;235;485;1168;533;587;12;39;10;61;143;7;3;273;457;225;424;1025;526;584
1256 Meland;1256;Meland;744;1088;425;983;2557;997;750;18;70;30;114;315;25;10;726;1018;395;869;2242;972;740;398;562;205;496;1309;510;337;10;33;15;53;169;13;0;388;529;190;443;1140;497;337;346;526;220;487;1248;487;413;8;37;15;61;146;12;10;338;489;205;426;1102;475;403
1259 Øygarden;1259;Øygarden;400;634;261;583;1541;686;599;12;38;22;75;228;34;7;388;596;239;508;1313;652;592;200;325;139;301;807;363;285;7;18;12;40;119;16;4;193;307;127;261;688;347;281;200;309;122;282;734;323;314;5;20;10;35;109;18;3;195;289;112;247;625;305;311
1260 Radøy;1260;Radøy;378;642;289;566;1674;773;717;10;53;26;58;287;24;6;368;589;263;508;1387;749;711;201;314;155;304;881;406;329;5;26;13;33;166;12;3;196;288;142;271;715;394;326;177;328;134;262;793;367;388;5;27;13;25;121;12;3;172;301;121;237;672;355;385
1263 Lindås;1263;Lindås;1226;2086;830;1745;4915;2278;1989;27;102;41;207;575;71;28;1199;1984;789;1538;4340;2207;1961;641;1024;443;892;2566;1154;937;15;46;23;93;312;44;14;626;978;420;799;2254;1110;923;585;1062;387;853;2349;1124;1052;12;56;18;114;263;27;14;573;1006;369;739;2086;1097;1038
1264 Austrheim;1264;Austrheim;200;338;143;324;950;433;445;3;24;10;53;212;17;6;197;314;133;271;738;416;439;97;180;68;171;522;221;214;3;11;6;33;140;9;0;94;169;62;138;382;212;214;103;158;75;153;428;212;231;0;13;4;20;72;8;6;103;145;71;133;356;204;225
1265 Fedje;1265;Fedje;29;80;34;37;160;104;117;3;4;0;0;19;3;0;26;76;34;37;141;101;117;12;35;18;19;81;55;51;0;1;0;0;8;2;0;12;34;18;19;73;53;51;17;45;16;18;79;49;66;3;3;0;0;11;1;0;14;42;16;18;68;48;66
1266 Masfjorden;1266;Masfjorden;110;202;103;187;458;286;347;3;3;0;6;31;11;4;107;199;103;181;427;275;343;55;106;55;96;235;149;164;0;3;0;4;14;5;2;55;103;55;92;221;144;162;55;96;48;91;223;137;183;3;0;0;2;17;6;2;52;96;48;89;206;131;181
1401 Flora;1401;Flora;899;1607;741;1464;3865;1723;1480;41;108;56;235;672;90;32;858;1499;685;1229;3193;1633;1448;468;808;386;770;2033;882;688;21;60;26;113;376;50;15;447;748;360;657;1657;832;673;431;799;355;694;1832;841;792;20;48;30;122;296;40;17;411;751;325;572;1536;801;775
1411 Gulen;1411;Gulen;123;292;148;249;706;373;424;9;16;6;33;105;11;5;114;276;142;216;601;362;419;66;139;65;129;358;197;196;6;7;3;15;49;5;0;60;132;62;114;309;192;196;57;153;83;120;348;176;228;3;9;3;18;56;6;5;54;144;80;102;292;170;223
1412 Solund;1412;Solund;35;89;42;72;253;152;172;0;9;3;10;47;8;0;35;80;39;62;206;144;172;19;38;18;45;136;89;79;0;4;0;6;28;4;0;19;34;18;39;108;85;79;16;51;24;27;117;63;93;0;5;3;4;19;4;0;16;46;21;23;98;59;93
1413 Hyllestad;1413;Hyllestad;59;174;78;117;443;213;307;4;6;0;6;91;15;0;55;168;78;111;352;198;307;27;82;39;75;245;112;141;0;2;0;2;64;9;0;27;80;39;73;181;103;141;32;92;39;42;198;101;166;4;4;0;4;27;6;0;28;88;39;38;171;95;166
1416 Høyanger;1416;Høyanger;240;561;260;419;1311;641;751;10;52;19;35;183;23;6;230;509;241;384;1128;618;745;113;281;143;226;693;339;330;3;28;9;17;97;12;0;110;253;134;209;596;327;330;127;280;117;193;618;302;421;7;24;10;18;86;11;6;120;256;107;175;532;291;415
1417 Vik;1417;Vik;160;316;143;292;753;449;575;8;24;4;45;118;13;7;152;292;139;247;635;436;568;82;164;69;146;392;238;249;3;14;0;24;62;5;4;79;150;69;122;330;233;245;78;152;74;146;361;211;326;5;10;3;21;56;8;3;73;142;71;125;305;203;323
1418 Balestrand;1418;Balestrand;77;150;84;145;398;224;228;10;14;8;30;101;12;9;67;136;76;115;297;212;219;40;75;44;73;195;117;99;5;7;4;12;47;5;5;35;68;40;61;148;112;94;37;75;40;72;203;107;129;5;7;4;18;54;7;4;32;68;36;54;149;100;125
1419 Leikanger;1419;Leikanger;159;325;119;253;708;342;362;0;20;5;19;66;8;3;159;305;114;234;642;334;359;88;161;67;112;346;171;165;0;7;3;7;25;4;1;88;154;64;105;321;167;164;71;164;52;141;362;171;197;0;13;2;12;41;4;2;71;151;50;129;321;167;195
1420 Sogndal;1420;Sogndal;548;936;413;1232;2477;992;1025;17;47;27;190;337;40;12;531;889;386;1042;2140;952;1013;273;476;214;618;1300;494;448;10;18;16;103;198;23;7;263;458;198;515;1102;471;441;275;460;199;614;1177;498;577;7;29;11;87;139;17;5;268;431;188;527;1038;481;572
1421 Aurland;1421;Aurland;83;192;84;230;549;269;308;6;12;3;24;89;13;3;77;180;81;206;460;256;305;38;92;45;124;280;141;142;5;6;3;14;41;7;3;33;86;42;110;239;134;139;45;100;39;106;269;128;166;1;6;0;10;48;6;0;44;94;39;96;221;122;166
1422 Lærdal;1422;Lærdal;127;263;125;231;675;383;370;4;10;0;14;78;24;10;123;253;125;217;597;359;360;68;142;69;124;357;184;172;2;4;0;5;43;10;4;66;138;69;119;314;174;168;59;121;56;107;318;199;198;2;6;0;9;35;14;6;57;115;56;98;283;185;192
1424 Årdal;1424;Årdal;320;579;298;629;1816;806;1048;13;32;11;113;283;46;17;307;547;287;516;1533;760;1031;168;311;161;340;988;432;450;5;16;5;70;180;28;7;163;295;156;270;808;404;443;152;268;137;289;828;374;598;8;16;6;43;103;18;10;144;252;131;246;725;356;588
1426 Luster;1426;Luster;357;666;291;593;1536;785;861;6;27;6;54;152;23;11;351;639;285;539;1384;762;850;185;361;142;290;788;414;400;3;17;3;26;88;13;4;182;344;139;264;700;401;396;172;305;149;303;748;371;461;3;10;3;28;64;10;7;169;295;146;275;684;361;454
1428 Askvoll;1428;Askvoll;180;353;161;313;829;523;652;4;18;7;17;88;15;14;176;335;154;296;741;508;638;89;176;80;159;420;281;314;0;7;0;8;41;8;7;89;169;80;151;379;273;307;91;177;81;154;409;242;338;4;11;7;9;47;7;7;87;166;74;145;362;235;331
1429 Fjaler;1429;Fjaler;210;312;278;332;750;442;529;6;17;143;60;89;21;4;204;295;135;272;661;421;525;110;148;129;176;393;238;252;3;6;60;27;37;10;0;107;142;69;149;356;228;252;100;164;149;156;357;204;277;3;11;83;33;52;11;3;97;153;66;123;305;193;274
1430 Gaular;1430;Gaular;232;398;168;324;883;475;448;7;21;12;26;107;13;6;225;377;156;298;776;462;442;115;221;87;161;474;253;200;4;14;5;14;62;6;3;111;207;82;147;412;247;197;117;177;81;163;409;222;248;3;7;7;12;45;7;3;114;170;74;151;364;215;245
1431 Jølster;1431;Jølster;244;432;157;377;961;436;463;11;14;2;70;119;7;6;233;418;155;307;842;429;457;133;242;76;199;508;222;211;7;8;3;43;71;3;3;126;234;73;156;437;219;208;111;190;81;178;453;214;252;4;6;0;27;48;4;3;107;184;81;151;405;210;249
1432 Førde;1432;Førde;1088;1793;726;1844;4296;1678;1260;37;95;39;249;526;75;24;1051;1698;687;1595;3770;1603;1236;563;950;370;947;2140;824;567;12;55;19;120;291;39;9;551;895;351;827;1849;785;558;525;843;356;897;2156;854;693;25;40;20;129;235;36;15;500;803;336;768;1921;818;678
1433 Naustdal;1433;Naustdal;208;367;157;333;866;411;434;3;13;6;18;83;14;6;205;354;151;315;783;397;428;113;199;92;172;458;210;213;3;10;3;4;44;7;2;110;189;89;168;414;203;211;95;168;65;161;408;201;221;0;3;3;14;39;7;4;95;165;62;147;369;194;217
1438 Bremanger;1438;Bremanger;236;511;230;401;1183;573;816;18;71;28;98;264;35;13;218;440;202;303;919;538;803;125;251;134;216;624;315;361;5;30;12;50;137;20;4;120;221;122;166;487;295;357;111;260;96;185;559;258;455;13;41;16;48;127;15;9;98;219;80;137;432;243;446
1439 Vågsøy;1439;Vågsøy;435;756;337;737;1826;988;1012;15;47;17;121;328;53;15;420;709;320;616;1498;935;997;232;382;192;397;957;529;438;8;25;10;63;193;33;5;224;357;182;334;764;496;433;203;374;145;340;869;459;574;7;22;7;58;135;20;10;196;352;138;282;734;439;564
1441 Selje;1441;Selje;157;330;188;282;820;505;500;0;9;6;23;90;22;8;157;321;182;259;730;483;492;74;156;87;133;433;264;225;0;5;5;8;43;10;3;74;151;82;125;390;254;222;83;174;101;149;387;241;275;0;4;1;15;47;12;5;83;170;100;134;340;229;270
1443 Eid;1443;Eid;429;822;350;701;1874;876;874;6;47;29;71;201;37;10;423;775;321;630;1673;839;864;215;416;185;356;975;452;387;6;24;16;35;98;23;6;209;392;169;321;877;429;381;214;406;165;345;899;424;487;0;23;13;36;103;14;4;214;383;152;309;796;410;483
1444 Hornindal;1444;Hornindal;80;175;76;145;361;169;217;3;3;0;14;41;6;0;77;172;76;131;320;163;217;45;92;42;70;192;94;109;2;2;0;5;21;2;0;43;90;42;65;171;92;109;35;83;34;75;169;75;108;1;1;0;9;20;4;0;34;82;34;66;149;71;108
1445 Gloppen;1445;Gloppen;359;752;344;644;1668;925;1002;10;45;26;64;174;24;10;349;707;318;580;1494;901;992;190;386;177;330;845;473;457;5;27;13;36;92;8;3;185;359;164;294;753;465;454;169;366;167;314;823;452;545;5;18;13;28;82;16;7;164;348;154;286;741;436;538
1449 Stryn;1449;Stryn;528;961;388;845;2303;1001;1108;33;112;34;190;549;66;26;495;849;354;655;1754;935;1082;290;479;195;487;1267;514;513;16;52;22;111;352;37;13;274;427;173;376;915;477;500;238;482;193;358;1036;487;595;17;60;12;79;197;29;13;221;422;181;279;839;458;582
1502 Molde;1502;Molde;1770;3037;1498;3396;8512;3996;3839;42;194;102;554;1256;169;74;1728;2843;1396;2842;7256;3827;3765;902;1546;745;1808;4364;1981;1682;20;106;64;284;698;84;27;882;1440;681;1524;3666;1897;1655;868;1491;753;1588;4148;2015;2157;22;88;38;270;558;85;47;846;1403;715;1318;3590;1930;2110
1504 Ålesund;1504;Ålesund;3369;5586;2297;6601;15613;6271;6010;120;325;163;1273;2677;315;125;3249;5261;2134;5328;12936;5956;5885;1750;2891;1182;3442;8238;3157;2637;63;180;71;692;1561;167;48;1687;2711;1111;2750;6677;2990;2589;1619;2695;1115;3159;7375;3114;3373;57;145;92;581;1116;148;77;1562;2550;1023;2578;6259;2966;3296
1505 Kristiansund;1505;Kristiansund;1682;2843;1199;3264;8001;3915;3491;81;228;85;542;1299;145;78;1601;2615;1114;2722;6702;3770;3413;833;1495;634;1725;4184;1950;1540;38;129;50;284;723;80;30;795;1366;584;1441;3461;1870;1510;849;1348;565;1539;3817;1965;1951;43;99;35;258;576;65;48;806;1249;530;1281;3241;1900;1903
1511 Vanylven;1511;Vanylven;170;375;194;320;934;627;682;5;12;7;27;100;14;4;165;363;187;293;834;613;678;94;195;106;178;495;322;319;5;7;0;11;44;6;4;89;188;106;167;451;316;315;76;180;88;142;439;305;363;0;5;7;16;56;8;0;76;175;81;126;383;297;363
1514 Sande;1514;Sande (M. og R.);148;309;136;296;844;415;488;15;33;17;66;230;37;9;133;276;119;230;614;378;479;76;178;71;161;480;224;207;9;23;6;42;157;26;3;67;155;65;119;323;198;204;72;131;65;135;364;191;281;6;10;11;24;73;11;6;66;121;54;111;291;180;275
1515 Herøy;1515;Herøy (M. og R.);610;1162;511;1025;2900;1298;1341;28;79;27;193;479;49;24;582;1083;484;832;2421;1249;1317;315;602;257;514;1491;697;625;11;46;18;87;235;25;7;304;556;239;427;1256;672;618;295;560;254;511;1409;601;716;17;33;9;106;244;24;17;278;527;245;405;1165;577;699
1516 Ulstein;1516;Ulstein;597;1180;437;964;2908;1039;967;34;79;34;184;733;83;17;563;1101;403;780;2175;956;950;300;596;218;511;1625;545;438;17;53;21;92;488;54;10;283;543;197;419;1137;491;428;297;584;219;453;1283;494;529;17;26;13;92;245;29;7;280;558;206;361;1038;465;522
1517 Hareid;1517;Hareid;405;609;282;648;1636;717;724;20;71;24;119;396;43;12;385;538;258;529;1240;674;712;216;312;142;338;851;375;310;9;35;14;56;226;25;4;207;277;128;282;625;350;306;189;297;140;310;785;342;414;11;36;10;63;170;18;8;178;261;130;247;615;324;406
1519 Volda;1519;Volda;604;1108;538;1319;2708;1281;1351;12;58;56;209;332;46;17;592;1050;482;1110;2376;1235;1334;304;544;303;684;1392;650;586;4;28;39;108;179;21;4;300;516;264;576;1213;629;582;300;564;235;635;1316;631;765;8;30;17;101;153;25;13;292;534;218;534;1163;606;752
1520 Ørsta;1520;Ørsta;800;1305;578;1302;3273;1574;1704;15;70;30;142;366;47;22;785;1235;548;1160;2907;1527;1682;413;651;311;688;1731;801;748;8;37;17;64;198;25;9;405;614;294;624;1533;776;739;387;654;267;614;1542;773;956;7;33;13;78;168;22;13;380;621;254;536;1374;751;943
1523 Ørskog;1523;Ørskog;160;284;108;257;728;396;368;10;34;8;44;174;31;6;150;250;100;213;554;365;362;88;163;48;123;380;212;168;3;20;5;18;93;21;3;85;143;43;105;287;191;165;72;121;60;134;348;184;200;7;14;3;26;81;10;3;65;107;57;108;267;174;197
1524 Norddal;1524;Norddal;106;235;91;152;493;276;332;4;17;7;10;82;12;11;102;218;84;142;411;264;321;55;116;46;79;252;141;152;4;9;4;4;40;5;3;51;107;42;75;212;136;149;51;119;45;73;241;135;180;0;8;3;6;42;7;8;51;111;42;67;199;128;172
1525 Stranda;1525;Stranda;268;580;252;579;1439;646;852;13;53;20;170;313;33;14;255;527;232;409;1126;613;838;131;282;136;315;780;334;368;4;26;9;89;185;17;10;127;256;127;226;595;317;358;137;298;116;264;659;312;484;9;27;11;81;128;16;4;128;271;105;183;531;296;480
1526 Stordal;1526;Stordal;66;163;52;103;344;140;167;0;25;5;25;80;9;3;66;138;47;78;264;131;164;31;77;22;53;183;73;74;0;15;2;14;44;5;1;31;62;20;39;139;68;73;35;86;30;50;161;67;93;0;10;3;11;36;4;2;35;76;27;39;125;63;91
1528 Sykkylven;1528;Sykkylven;553;1052;404;877;2529;1189;1126;17;71;32;174;446;68;16;536;981;372;703;2083;1121;1110;273;512;208;465;1293;607;521;5;34;15;86;229;42;6;268;478;193;379;1064;565;515;280;540;196;412;1236;582;605;12;37;17;88;217;26;10;268;503;179;324;1019;556;595
1529 Skodje;1529;Skodje;426;576;247;534;1476;620;508;8;23;10;72;200;21;11;418;553;237;462;1276;599;497;220;287;125;255;781;320;240;0;12;7;32;109;13;3;220;275;118;223;672;307;237;206;289;122;279;695;300;268;8;11;3;40;91;8;8;198;278;119;239;604;292;260
1531 Sula;1531;Sula;802;1170;440;1066;2821;1212;1140;30;64;23;134;466;56;17;772;1106;417;932;2355;1156;1123;396;597;241;557;1505;623;503;16;35;15;69;274;33;8;380;562;226;488;1231;590;495;406;573;199;509;1316;589;637;14;29;8;65;192;23;9;392;544;191;444;1124;566;628
1532 Giske;1532;Giske;641;1153;423;970;2500;1053;999;16;75;27;126;389;49;17;625;1078;396;844;2111;1004;982;312;584;235;483;1315;543;452;5;45;13;66;209;29;7;307;539;222;417;1106;514;445;329;569;188;487;1185;510;547;11;30;14;60;180;20;10;318;539;174;427;1005;490;537
1534 Haram;1534;Haram;641;1179;499;1002;2893;1408;1462;36;123;54;182;641;92;30;605;1056;445;820;2252;1316;1432;330;589;252;524;1552;766;669;16;63;25;73;350;52;15;314;526;227;451;1202;714;654;311;590;247;478;1341;642;793;20;60;29;109;291;40;15;291;530;218;369;1050;602;778
1535 Vestnes;1535;Vestnes;407;765;408;797;2117;1085;1036;19;52;22;112;393;52;13;388;713;386;685;1724;1033;1023;196;393;219;424;1136;571;494;7;25;10;61;229;30;7;189;368;209;363;907;541;487;211;372;189;373;981;514;542;12;27;12;51;164;22;6;199;345;177;322;817;492;536
1539 Rauma;1539;Rauma;522;866;407;809;2296;1213;1340;13;59;22;78;271;47;18;509;807;385;731;2025;1166;1322;270;456;204;430;1186;636;578;8;31;13;37;134;28;7;262;425;191;393;1052;608;571;252;410;203;379;1110;577;762;5;28;9;41;137;19;11;247;382;194;338;973;558;751
1543 Nesset;1543;Nesset;170;359;154;370;918;497;533;0;10;3;14;91;14;8;170;349;151;356;827;483;525;85;178;89;192;489;261;248;0;4;2;5;44;6;2;85;174;87;187;445;255;246;85;181;65;178;429;236;285;0;6;1;9;47;8;6;85;175;64;169;382;228;279
1545 Midsund;1545;Midsund;149;284;128;184;624;298;369;3;29;18;31;133;13;4;146;255;110;153;491;285;365;76;146;70;95;325;159;173;0;19;9;10;63;9;0;76;127;61;85;262;150;173;73;138;58;89;299;139;196;3;10;9;21;70;4;4;70;128;49;68;229;135;192
1546 Sandøy;1546;Sandøy;88;158;67;116;380;237;239;6;23;8;29;84;11;7;82;135;59;87;296;226;232;54;89;31;68;200;122;98;3;14;5;15;40;7;3;51;75;26;53;160;115;95;34;69;36;48;180;115;141;3;9;3;14;44;4;4;31;60;33;34;136;111;137
1547 Aukra;1547;Aukra;254;475;172;394;1039;505;538;12;37;11;53;177;28;7;242;438;161;341;862;477;531;121;248;83;204;537;262;251;4;18;8;23;96;16;3;117;230;75;181;441;246;248;133;227;89;190;502;243;287;8;19;3;30;81;12;4;125;208;86;160;421;231;283
1548 Fræna;1548;Fræna;702;1305;540;1209;3156;1435;1373;32;73;32;124;412;59;17;670;1232;508;1085;2744;1376;1356;354;632;275;629;1655;743;616;17;31;16;59;218;27;5;337;601;259;570;1437;716;611;348;673;265;580;1501;692;757;15;42;16;65;194;32;12;333;631;249;515;1307;660;745
1551 Eide;1551;Eide;267;493;193;416;1074;531;497;9;27;10;42;121;23;6;258;466;183;374;953;508;491;144;258;98;215;558;275;230;5;18;5;19;63;12;3;139;240;93;196;495;263;227;123;235;95;201;516;256;267;4;9;5;23;58;11;3;119;226;90;178;458;245;264
1554 Averøy;1554;Averøy;395;713;308;631;1816;939;885;13;32;15;63;258;37;11;382;681;293;568;1558;902;874;189;384;157;349;933;486;421;6;16;10;31;126;25;4;183;368;147;318;807;461;417;206;329;151;282;883;453;464;7;16;5;32;132;12;7;199;313;146;250;751;441;457
1557 Gjemnes;1557;Gjemnes;155;354;108;272;786;462;428;0;15;11;45;83;11;3;155;339;97;227;703;451;425;73;184;56;140;406;247;200;0;7;6;23;44;7;0;73;177;50;117;362;240;200;82;170;52;132;380;215;228;0;8;5;22;39;4;3;82;162;47;110;341;211;225
1560 Tingvoll;1560;Tingvoll;181;370;135;314;943;502;619;2;24;9;37;140;18;6;179;346;126;277;803;484;613;94;194;77;170;484;259;279;0;16;6;21;67;9;3;94;178;71;149;417;250;276;87;176;58;144;459;243;340;2;8;3;16;73;9;3;85;168;55;128;386;234;337
1563 Sunndal;1563;Sunndal;380;846;423;853;2266;1162;1241;12;71;60;132;249;36;10;368;775;363;721;2017;1126;1231;181;434;248;473;1139;607;518;3;34;45;78;114;16;4;178;400;203;395;1025;591;514;199;412;175;380;1127;555;723;9;37;15;54;135;20;6;190;375;160;326;992;535;717
1566 Surnadal;1566;Surnadal;335;737;354;652;1831;984;1061;7;20;11;35;124;30;6;328;717;343;617;1707;954;1055;174;366;190;343;961;501;505;7;11;6;16;57;13;3;167;355;184;327;904;488;502;161;371;164;309;870;483;556;0;9;5;19;67;17;3;161;362;159;290;803;466;553
1567 Rindal;1567;Rindal;127;258;119;234;598;296;414;0;3;0;6;13;3;0;127;255;119;228;585;293;414;47;148;59;124;304;144;193;0;3;0;3;5;1;0;47;145;59;121;299;143;193;80;110;60;110;294;152;221;0;0;0;3;8;2;0;80;110;60;107;286;150;221
1571 Halsa;1571;Halsa;75;191;65;158;438;310;344;0;3;0;15;35;9;3;75;188;65;143;403;301;341;41;104;24;86;229;156;154;0;2;0;10;15;2;0;41;102;24;76;214;154;154;34;87;41;72;209;154;190;0;1;0;5;20;7;3;34;86;41;67;189;147;187
1573 Smøla;1573;Smøla;126;236;92;234;645;392;441;4;24;3;19;98;16;7;122;212;89;215;547;376;434;61;119;44;121;341;207;199;0;14;0;10;52;7;2;61;105;44;111;289;200;197;65;117;48;113;304;185;242;4;10;3;9;46;9;5;61;107;45;104;258;176;237
1576 Aure;1576;Aure;199;427;179;350;1147;596;679;11;32;14;41;191;18;12;188;395;165;309;956;578;667;102;214;88;199;605;326;309;3;12;7;27;98;10;5;99;202;81;172;507;316;304;97;213;91;151;542;270;370;8;20;7;14;93;8;7;89;193;84;137;449;262;363
1601 Trondheim;1601;Trondheim;13724;20153;8549;32635;62803;23096;21075;357;1072;616;5533;10265;1507;696;13367;19081;7933;27102;52538;21589;20379;7077;10254;4333;17235;32600;11406;9088;182;559;311;2973;5690;797;297;6895;9695;4022;14262;26910;10609;8791;6647;9899;4216;15400;30203;11690;11987;175;513;305;2560;4575;710;399;6472;9386;3911;12840;25628;10980;11588
1612 Hemne;1612;Hemne;273;519;262;498;1278;648;746;3;23;13;53;103;22;7;270;496;249;445;1175;626;739;134;261;126;262;646;335;347;3;13;8;33;44;13;0;131;248;118;229;602;322;347;139;258;136;236;632;313;399;0;10;5;20;59;9;7;139;248;131;216;573;304;392
1613 Snillfjord;1613;Snillfjord;41;116;60;103;303;168;189;0;6;0;0;29;3;4;41;110;60;103;274;165;185;22;71;40;59;164;92;92;0;6;0;0;17;0;2;22;65;40;59;147;92;90;19;45;20;44;139;76;97;0;0;0;0;12;3;2;19;45;20;44;127;73;95
1617 Hitra;1617;Hitra;254;508;236;568;1519;678;759;12;58;19;194;413;46;12;242;450;217;374;1106;632;747;137;274;117;292;842;350;356;8;36;9;104;250;27;5;129;238;108;188;592;323;351;117;234;119;276;677;328;403;4;22;10;90;163;19;7;113;212;109;186;514;309;396
1620 Frøya;1620;Frøya;332;500;246;586;1536;645;702;31;55;24;216;402;35;0;301;445;222;370;1134;610;702;168;249;116;305;836;355;315;20;24;9;116;224;23;0;148;225;107;189;612;332;315;164;251;130;281;700;290;387;11;31;15;100;178;12;0;153;220;115;181;522;278;387
1621 Ørland;1621;Ørland;332;604;306;686;1672;705;859;3;17;12;36;151;18;7;329;587;294;650;1521;687;852;174;306;157;365;846;363;385;3;7;5;14;72;9;2;171;299;152;351;774;354;383;158;298;149;321;826;342;474;0;10;7;22;79;9;5;158;288;142;299;747;333;469
