Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
0233 Nittedal;233;Nittedal;1817;3198;1271;2256;8536;2734;2573;32;129;41;375;1469;267;170;1785;3069;1230;1881;7067;2467;2403;915;1577;661;1207;4298;1390;1200;17;67;24;205;801;148;74;898;1510;637;1002;3497;1242;1126;902;1621;610;1049;4238;1344;1373;15;62;17;170;668;119;96;887;1559;593;879;3570;1225;1277
0234 Gjerdrum;234;Gjerdrum;480;904;357;626;2420;783;722;15;50;18;129;438;41;26;465;854;339;497;1982;742;696;261;476;182;354;1256;388;341;8;26;12;84;278;28;9;253;450;170;270;978;360;332;219;428;175;272;1164;395;381;7;24;6;45;160;13;17;212;404;169;227;1004;382;364
0235 Ullensaker;235;Ullensaker;2816;4568;1541;4015;12198;3790;3510;101;305;155;1040;2846;369;187;2715;4263;1386;2975;9352;3421;3323;1422;2305;788;2057;6287;1897;1597;55;164;79;515;1515;206;86;1367;2141;709;1542;4772;1691;1511;1394;2263;753;1958;5911;1893;1913;46;141;76;525;1331;163;101;1348;2122;677;1433;4580;1730;1812
0236 Nes;236;Nes (Ak.);1376;2509;1076;2377;7211;3006;2609;23;147;92;319;1004;171;87;1353;2362;984;2058;6207;2835;2522;676;1273;576;1254;3656;1565;1175;9;75;53;163;512;92;34;667;1198;523;1091;3144;1473;1141;700;1236;500;1123;3555;1441;1434;14;72;39;156;492;79;53;686;1164;461;967;3063;1362;1381
0237 Eidsvoll;237;Eidsvoll;1797;2884;1105;2648;8173;3259;2823;39;183;87;370;1308;172;103;1758;2701;1018;2278;6865;3087;2720;931;1500;575;1351;4201;1617;1258;24;86;44;171;672;83;51;907;1414;531;1180;3529;1534;1207;866;1384;530;1297;3972;1642;1565;15;97;43;199;636;89;52;851;1287;487;1098;3336;1553;1513
0238 Nannestad;238;Nannestad;853;1658;616;1367;4389;1501;1323;30;113;60;291;882;118;52;823;1545;556;1076;3507;1383;1271;434;827;333;735;2297;776;590;18;47;29;148;505;67;28;416;780;304;587;1792;709;562;419;831;283;632;2092;725;733;12;66;31;143;377;51;24;407;765;252;489;1715;674;709
0239 Hurdal;239;Hurdal;174;308;149;281;869;455;459;6;14;8;26;108;26;15;168;294;141;255;761;429;444;91;166;89;144;437;228;220;6;6;4;14;53;14;7;85;160;85;130;384;214;213;83;142;60;137;432;227;239;0;8;4;12;55;12;8;83;134;56;125;377;215;231
0301 Oslo;301;Oslo kommune;51877;62133;23587;113731;245564;71512;66059;2061;5770;3572;33295;84988;14557;7479;49816;56363;20015;80436;160576;56955;58580;26584;31679;11982;54228;128565;35425;27681;1050;2947;1845;15589;46581;8016;3284;25534;28732;10137;38639;81984;27409;24397;25293;30454;11605;59503;116999;36087;38378;1011;2823;1727;17706;38407;6541;4195;24282;27631;9878;41797;78592;29546;34183
0402 Kongsvinger;402;Kongsvinger;1076;1964;886;1992;5693;3089;3125;24;122;84;292;881;208;115;1052;1842;802;1700;4812;2881;3010;568;961;455;1070;2833;1483;1350;9;61;49;161;437;106;51;559;900;406;909;2396;1377;1299;508;1003;431;922;2860;1606;1775;15;61;35;131;444;102;64;493;942;396;791;2416;1504;1711
0403 Hamar;403;Hamar;1786;3280;1433;3717;9315;4825;5164;66;218;137;573;1360;264;177;1720;3062;1296;3144;7955;4561;4987;948;1734;757;1948;4629;2313;2130;37;120;75;289;729;120;63;911;1614;682;1659;3900;2193;2067;838;1546;676;1769;4686;2512;3034;29;98;62;284;631;144;114;809;1448;614;1485;4055;2368;2920
